date,order,price,cost,commission,gross,net,comission
2017-03-17,BUY,52.800000000000004,90669.71951917573,,,,0.0
2017-07-06,SELL,63.452000000000005,90669.71951917573,,,,0.0
2017-07-06,CLOSE,,,,18291.929021179156,18291.929021179156,
2017-08-07,BUY,71.47,106593.9837834371,,,,0.0
2017-09-11,SELL,70.27000000000001,106593.9837834371,,,,0.0
2017-09-11,CLOSE,,,,-1789.7408778525719,-1789.7408778525719,
2017-09-12,BUY,72.898,105082.60964207153,,,,0.0
2017-09-28,SELL,67.976,105082.60964207153,,,,0.0
2017-09-28,CLOSE,,,,-7095.072631049903,-7095.072631049903,
2017-10-13,BUY,71.396,98826.29578839206,,,,0.0
2017-10-16,SELL,70.752,98826.29578839206,,,,0.0
2017-10-16,CLOSE,,,,-891.4243723419382,-891.4243723419382,
2017-10-19,BUY,71.112,96553.46928275733,,,,0.0
2017-10-23,SELL,69.976,96553.46928275733,,,,0.0
2017-10-23,CLOSE,,,,-1542.4223915121488,-1542.4223915121488,
2017-12-12,BUY,66.09,96726.71853128403,,,,0.0
2017-12-29,SELL,63.236,96726.71853128403,,,,0.0
2017-12-29,CLOSE,,,,-4177.001886643736,-4177.001886643736,
2018-01-09,BUY,67.03200000000001,92172.87572085978,,,,0.0
2018-02-09,SELL,63.986000000000004,92172.87572085978,,,,0.0
2018-02-09,CLOSE,,,,-4188.426116567302,-4188.426116567302,
2018-02-23,BUY,69.566,89172.62825133966,,,,0.0
2018-03-07,SELL,65.088,89172.62825133966,,,,0.0
2018-03-07,CLOSE,,,,-5740.088970323142,-5740.088970323142,
2018-03-14,BUY,67.352,82338.90030113587,,,,0.0
2018-03-15,SELL,65.876,82338.90030113587,,,,0.0
2018-03-15,CLOSE,,,,-1804.4336744933553,-1804.4336744933553,
2018-05-08,BUY,60.15999999999998,81423.7258517652,,,,0.0
2018-05-17,SELL,57.17999999999999,81423.7258517652,,,,0.0
2018-05-17,CLOSE,,,,-4033.2896116731963,-4033.2896116731963,
2018-06-05,BUY,59.54,78580.4257362784,,,,0.0
2018-06-06,SELL,60.1,78580.4257362784,,,,0.0
2018-06-06,CLOSE,,,,739.0836145837434,739.0836145837434,
2018-06-07,BUY,63.230000000000004,78163.95715904246,,,,0.0
2018-07-09,SELL,62.398,78163.95715904246,,,,0.0
2018-07-09,CLOSE,,,,-1028.5056516894415,-1028.5056516894415,
2018-08-06,BUY,69.092,77458.91063072003,,,,0.0
2018-08-21,SELL,62.122,77458.91063072003,,,,0.0
2018-08-21,CLOSE,,,,-7814.053828172849,-7814.053828172849,
2018-09-28,BUY,54.052,62427.227825216614,,,,0.0
2018-10-01,SELL,61.15399999999999,62427.227825216614,,,,0.0
2018-10-01,CLOSE,,,,8202.437874910978,8202.437874910978,
2018-10-26,BUY,61.65000000000002,76769.86657246378,,,,0.0
2018-12-21,SELL,63.47999999999999,76769.86657246378,,,,0.0
2018-12-21,CLOSE,,,,2278.8135576254163,2278.8135576254163,
2019-01-14,BUY,68.476,79336.23094343634,,,,0.0
2019-01-22,SELL,60.96399999999999,79336.23094343634,,,,0.0
2019-01-22,CLOSE,,,,-8703.396326407703,-8703.396326407703,
2019-06-18,BUY,45.744,73825.0052096029,,,,0.0
2019-08-06,SELL,46.376,73825.0052096029,,,,0.0
2019-08-06,CLOSE,,,,1019.9677180060528,1019.9677180060528,
2019-09-11,BUY,47.476,74126.51362559003,,,,0.0
2020-03-09,SELL,121.078,74126.51362559003,,,,0.0
2020-03-09,CLOSE,,,,114918.26724809752,114918.26724809752,
2020-04-14,BUY,139.794,190033.9153060861,,,,0.0
2020-10-29,SELL,409.9599999999999,190033.9153060861,,,,0.0
2020-10-29,CLOSE,,,,367259.7018654881,367259.7018654881,
2020-11-06,BUY,436.1,505206.7639453335,,,,0.0
2020-11-09,SELL,439.5,505206.7639453335,,,,0.0
2020-11-09,CLOSE,,,,3938.782383430686,3938.782383430686,
2020-11-19,BUY,492.0,516685.9506227732,,,,0.0
2021-02-18,SELL,780.9,516685.9506227732,,,,0.0
2021-02-18,CLOSE,,,,303395.46978642105,303395.46978642105,
2021-04-13,BUY,712.7,796087.1965599806,,,,0.0
2021-05-05,SELL,681.06,796087.1965599806,,,,0.0
2021-05-05,CLOSE,,,,-35341.937560204664,-35341.937560204664,
2021-06-23,BUY,632.0,762304.4077156965,,,,0.0
