date,order,price,cost,commission,gross,net,comission
2019-07-24,BUY,51.8,90107.8510959063,,,,0.0
2019-07-24,SELL,47.19,90107.8510959063,,,,0.0
2019-07-24,CLOSE,,,,-8019.250840774672,-8019.250840774672,
2019-07-29,BUY,46.628,82789.77639449046,,,,0.0
2019-08-01,SELL,47.306,82789.77639449046,,,,0.0
2019-08-01,CLOSE,,,,1203.8146263074614,1203.8146263074614,
2019-08-06,BUY,46.18916,83929.99639463885,,,,0.0
2019-08-06,SELL,45.54278,83929.99639463885,,,,0.0
2019-08-06,CLOSE,,,,-1174.5325325155666,-1174.5325325155666,
2019-08-06,BUY,46.024,82794.63656912536,,,,0.0
2019-08-07,SELL,45.472,82794.63656912536,,,,0.0
2019-08-07,CLOSE,,,,-993.0175427202581,-993.0175427202581,
2019-08-07,BUY,46.35,81938.64761755317,,,,0.0
2019-08-09,SELL,46.942,81938.64761755317,,,,0.0
2019-08-09,CLOSE,,,,1046.5518746405908,1046.5518746405908,
2019-08-13,BUY,46.725,82862.52925304111,,,,0.0
2019-08-14,SELL,45.852,82862.52925304111,,,,0.0
2019-08-14,CLOSE,,,,-1548.1859398160573,-1548.1859398160573,
2019-08-16,BUY,44.42,81471.1781216829,,,,0.0
2019-08-20,SELL,44.489999999999995,81471.1781216829,,,,0.0
2019-08-20,CLOSE,,,,128.38771878698392,128.38771878698392,
2019-08-22,BUY,45.31,81525.41220407639,,,,0.0
2019-08-23,SELL,44.79999999999999,81525.41220407639,,,,0.0
2019-08-23,CLOSE,,,,-917.6331985009793,-917.6331985009793,
2019-08-23,BUY,44.726,80771.57994932047,,,,0.0
2019-08-23,SELL,43.89,80771.57994932047,,,,0.0
2019-08-23,CLOSE,,,,-1509.7491579312211,-1509.7491579312211,
2019-08-27,BUY,43.11,79391.06332123475,,,,0.0
2019-08-27,SELL,42.828,79391.06332123475,,,,0.0
2019-08-27,CLOSE,,,,-519.3291546413342,-519.3291546413342,
2019-08-27,BUY,43.04,78927.35026755145,,,,0.0
2019-08-27,SELL,42.816,78927.35026755145,,,,0.0
2019-08-27,CLOSE,,,,-410.7743136601129,-410.7743136601129,
2019-08-28,BUY,43.038,78579.56320352125,,,,0.0
2019-08-28,SELL,43.17,78579.56320352125,,,,0.0
2019-08-28,CLOSE,,,,241.00800090304378,241.00800090304378,
2019-08-28,BUY,43.276,78756.3619628233,,,,0.0
2019-09-04,SELL,44.72,78756.3619628233,,,,0.0
2019-09-04,CLOSE,,,,2627.8811968369646,2627.8811968369646,
2019-09-05,BUY,45.178,81143.24582072572,,,,0.0
2019-09-13,SELL,48.96,81143.24582072572,,,,0.0
2019-09-13,CLOSE,,,,6792.769836955707,6792.769836955707,
2019-09-16,BUY,49.4,87164.92291029898,,,,0.0
