,open,high,low,close,volume
2001-09-20,0.29089,0.30268,0.27679,0.28000,411174400
2001-09-21,0.26429,0.29018,0.26214,0.28089,570516800
2001-09-24,0.28768,0.30071,0.28482,0.29375,294537600
2001-09-25,0.28821,0.28964,0.27411,0.27750,374404800
2001-09-26,0.28232,0.28375,0.26661,0.27054,493796800
2001-09-27,0.27232,0.28125,0.27143,0.27696,322240800
2001-09-28,0.28054,0.28411,0.27482,0.27696,365108800
2001-10-01,0.27661,0.28554,0.27196,0.27750,208208000
2001-10-02,0.27554,0.28268,0.26571,0.26875,235883200
2001-10-03,0.26696,0.27429,0.26482,0.26750,683043200
2001-10-04,0.27411,0.29018,0.26768,0.28357,401122400
2001-10-05,0.27500,0.28839,0.26768,0.28821,342686400
2001-10-08,0.27804,0.29196,0.27679,0.28929,207984000
2001-10-09,0.28661,0.28929,0.27911,0.28571,174025600
2001-10-10,0.28750,0.30089,0.28482,0.30036,307759200
2001-10-11,0.30214,0.31679,0.30089,0.31679,334163200
2001-10-12,0.30911,0.32286,0.30107,0.32161,287812000
2001-10-15,0.32054,0.32821,0.32054,0.32125,318752000
2001-10-16,0.32304,0.32500,0.31732,0.32161,202949600
2001-10-17,0.32750,0.32875,0.30286,0.30339,285538400
2001-10-18,0.30875,0.32554,0.30875,0.32143,612572800
2001-10-19,0.32036,0.32857,0.31929,0.32679,166790400
2001-10-22,0.32518,0.34054,0.32304,0.33964,391938400
2001-10-23,0.34143,0.34679,0.31911,0.32393,684980800
2001-10-24,0.32250,0.34089,0.31696,0.33839,374427200
2001-10-25,0.32929,0.34375,0.32429,0.34268,254951200
2001-10-26,0.33679,0.34375,0.33250,0.33339,278964000
2001-10-29,0.33161,0.33339,0.31429,0.31482,239181600
2001-10-30,0.31036,0.32143,0.30464,0.31429,276763200
2001-10-31,0.31661,0.32857,0.31143,0.31357,273750400
2001-11-01,0.31518,0.33536,0.30804,0.33196,312995200
2001-11-02,0.33071,0.33679,0.32429,0.33161,197204000
2001-11-05,0.33643,0.34375,0.33232,0.34054,235793600
2001-11-06,0.33857,0.35036,0.33089,0.34946,316019200
2001-11-07,0.34750,0.35946,0.34518,0.34982,382989600
2001-11-08,0.35054,0.35518,0.33161,0.33411,342143200
2001-11-09,0.33214,0.34375,0.33125,0.33411,134293600
2001-11-12,0.33321,0.34232,0.32071,0.33482,201499200
2001-11-13,0.34071,0.34625,0.33411,0.34589,224672000
2001-11-14,0.34982,0.35536,0.34196,0.35018,221149600
2001-11-15,0.34732,0.35536,0.34339,0.34732,213029600
2001-11-16,0.34411,0.34446,0.32857,0.33875,230664000
2001-11-19,0.33929,0.35804,0.33857,0.35714,332589600
2001-11-20,0.35393,0.36071,0.34821,0.34875,276584000
2001-11-21,0.35018,0.35357,0.34393,0.35143,201583200
2001-11-23,0.35196,0.35625,0.34946,0.35429,60004000
2001-11-26,0.35607,0.38482,0.35500,0.38161,460689600
2001-11-27,0.37857,0.38429,0.36607,0.37500,268553600
2001-11-28,0.37232,0.37875,0.36446,0.36661,250611200
2001-11-29,0.36786,0.36964,0.36054,0.36464,202764800
2001-11-30,0.36554,0.38286,0.36161,0.38036,303912000
2001-12-03,0.37607,0.38000,0.36786,0.37589,181165600
2001-12-04,0.37589,0.40286,0.37000,0.40000,380419200
2001-12-05,0.39929,0.42911,0.39589,0.42429,568579200
2001-12-06,0.41929,0.41964,0.39536,0.40679,338934400
2001-12-07,0.40107,0.40554,0.39286,0.40250,203515200
2001-12-10,0.39804,0.41054,0.39696,0.40250,170010400
