,open,high,low,close,volume
2019-06-20 08:00:00,50.09250,50.15250,49.60503,49.69750,8502058
2019-06-20 12:00:00,49.69750,49.89500,49.53250,49.88250,7097690
2019-06-20 16:00:00,49.88000,49.99500,49.84250,49.84485,2682284
2019-06-21 08:00:00,49.70000,50.18500,49.53750,50.06215,12695162
2019-06-21 12:00:00,50.06080,50.21250,49.90250,49.93535,9429406
2019-06-21 16:00:00,49.93500,49.99500,49.65750,49.69250,4038363
2019-06-24 08:00:00,49.63500,50.04000,49.54250,49.87000,6542743
2019-06-24 12:00:00,49.87095,49.90000,49.71500,49.73000,5736894
2019-06-24 16:00:00,49.73250,49.84000,49.61500,49.63750,2166679
2019-06-25 08:00:00,49.60750,49.81500,49.41000,49.43500,6778493
2019-06-25 12:00:00,49.43500,49.52250,48.83750,48.92000,9057837
2019-06-25 16:00:00,48.91750,49.05000,48.82250,48.89250,2812329
2019-06-26 08:00:00,49.44250,50.24750,49.33750,50.02163,11159929
2019-06-26 12:00:00,50.02535,50.23000,49.82250,49.99000,9620185
2019-06-26 16:00:00,49.99000,50.05000,49.94250,49.95000,2341098
2019-06-27 08:00:00,50.07250,50.39250,49.98000,50.02988,7949700
2019-06-27 12:00:00,50.03250,50.10000,49.89250,50.00312,6086272
2019-06-27 16:00:00,50.00250,50.01750,49.91813,49.94173,1662380
2019-06-28 08:00:00,49.67000,49.87375,49.26250,49.49250,7263256
2019-06-28 12:00:00,49.49250,49.85000,49.28000,49.34250,8860909
2019-06-28 16:00:00,49.34125,49.50750,49.30250,49.48000,4056090
2019-07-01 08:00:00,50.79250,51.12250,50.57500,50.58500,12776489
2019-07-01 12:00:00,50.58750,50.67750,50.16250,50.36750,9378241
2019-07-01 16:00:00,50.37000,50.48250,50.30000,50.34250,2411407
2019-07-02 08:00:00,50.35250,50.78307,50.34000,50.64750,6862210
2019-07-02 12:00:00,50.64875,50.65125,50.42245,50.61750,7308719
2019-07-02 16:00:00,50.61750,50.69500,50.56250,50.67750,1866567
2019-07-03 08:00:00,50.79750,50.94875,50.67252,50.89500,5367736
2019-07-03 12:00:00,50.89500,51.14000,50.88500,51.11253,1961521
2019-07-05 08:00:00,50.91750,51.11502,50.87250,50.97000,6498773
2019-07-05 12:00:00,50.97250,51.27000,50.89275,51.20500,6574526
2019-07-05 16:00:00,51.20500,51.21750,50.93000,50.97390,1820757
2019-07-08 08:00:00,50.20250,50.35000,49.60250,50.04000,13028494
2019-07-08 12:00:00,50.03503,50.04250,49.82500,49.98000,7383262
2019-07-08 16:00:00,49.98750,50.01250,49.94000,50.00250,2251061
2019-07-09 08:00:00,49.80250,50.19000,49.70250,50.03500,8880758
2019-07-09 12:00:00,50.03260,50.37125,50.02000,50.20625,7035798
2019-07-09 16:00:00,50.20750,50.37500,50.18625,50.32750,2074596
2019-07-10 08:00:00,50.46250,50.93250,50.40000,50.56500,7846621
2019-07-10 12:00:00,50.56750,50.89500,50.56125,50.85847,6212634
2019-07-10 16:00:00,50.85750,50.88125,50.75750,50.79250,1959256
2019-07-11 08:00:00,50.81500,51.09750,50.77520,51.02000,7342715
2019-07-11 12:00:00,51.02250,51.06250,50.54000,50.61395,6797144
2019-07-11 16:00:00,50.61500,50.67000,50.42750,50.43500,2313860
2019-07-12 08:00:00,50.69250,50.98750,50.62250,50.97375,6582449
2019-07-12 12:00:00,50.97500,51.00000,50.70135,50.81000,6841058
2019-07-12 16:00:00,50.81000,50.86750,50.77250,50.81000,2333805
2019-07-15 08:00:00,51.09250,51.46750,51.08750,51.23385,7754601
2019-07-15 12:00:00,51.23375,51.30000,51.03000,51.27500,5305033
2019-07-15 16:00:00,51.27500,51.30500,51.19000,51.30000,1624778
2019-07-16 08:00:00,51.14750,51.52750,51.00250,51.26500,5720061
2019-07-16 12:00:00,51.26500,51.29750,50.87500,51.15000,7347549
2019-07-16 16:00:00,51.14500,51.23250,51.06500,51.09750,1530570
2019-07-17 08:00:00,51.01250,51.19000,50.91500,51.14090,5240256
2019-07-17 12:00:00,51.14000,51.27288,51.01000,51.02000,4820377
2019-07-17 16:00:00,51.02250,51.04500,50.84932,50.86500,1517363
2019-07-18 08:00:00,51.00000,51.44500,50.92500,50.99750,7252559
2019-07-18 12:00:00,50.99750,51.47000,50.97182,51.33250,6785685
2019-07-18 16:00:00,51.33443,51.40000,51.27750,51.37250,1450279
2019-07-19 08:00:00,51.58000,51.58500,51.15750,51.25000,7290620
2019-07-19 12:00:00,51.25125,51.28750,50.66750,50.77500,8580619
2019-07-19 16:00:00,50.77500,50.82500,50.59000,50.64250,2622318
2019-07-22 08:00:00,50.91250,51.59500,50.90250,51.49500,9422316
2019-07-22 12:00:00,51.49250,51.73750,51.46750,51.70750,7396869
2019-07-22 16:00:00,51.70750,51.80750,51.65750,51.80500,2602826
2019-07-23 08:00:00,52.11500,52.19750,51.85750,52.04332,6907880
2019-07-23 12:00:00,52.04250,52.16250,51.82250,52.14700,7859931
2019-07-23 16:00:00,52.14625,52.22750,52.10625,52.19125,1597758
2019-07-24 08:00:00,51.98750,52.28750,51.89250,51.97590,5833670
2019-07-24 12:00:00,51.98183,52.15500,51.79250,52.13000,5867277
2019-07-24 16:00:00,52.13250,52.15500,52.04775,52.09000,1349838
2019-07-25 08:00:00,52.21750,52.31000,51.93250,52.02250,5197183
2019-07-25 12:00:00,52.02340,52.09750,51.70000,51.82250,5171233
2019-07-25 16:00:00,51.82250,51.83887,51.68250,51.76250,1732280
2019-07-26 08:00:00,51.89250,52.43250,51.78500,52.05250,8655171
2019-07-26 12:00:00,52.05000,52.10498,51.93925,52.03750,4950880
2019-07-26 16:00:00,52.03750,52.13000,51.93500,51.93750,2013320
2019-07-29 08:00:00,52.12000,52.57750,52.11000,52.56500,9148672
2019-07-29 12:00:00,52.56750,52.66000,52.46338,52.58250,7917739
2019-07-29 16:00:00,52.58250,52.59000,52.41750,52.41750,2294248
2019-07-30 08:00:00,52.19000,52.39750,51.82750,52.01000,9391957
2019-07-30 12:00:00,52.00855,52.54000,51.93750,52.35375,11930238
2019-07-30 16:00:00,52.35375,52.36750,52.08590,52.17125,3346717
2019-07-31 08:00:00,54.10000,55.34250,54.08000,54.47250,35347223
2019-07-31 12:00:00,54.47250,54.54500,52.82500,53.82188,23965239
2019-07-31 16:00:00,53.82750,53.82750,53.19500,53.19500,5862961
2019-08-01 08:00:00,53.47500,54.44250,53.45500,54.41250,14756304
2019-08-01 12:00:00,54.41500,54.50750,51.68587,52.26000,31922214
2019-08-01 16:00:00,52.25500,52.44250,51.87500,52.06300,5206022
2019-08-02 08:00:00,51.26500,51.60750,50.40750,50.73750,18810539
2019-08-02 12:00:00,50.73750,51.15500,50.60500,51.03250,13491943
2019-08-02 16:00:00,51.03250,51.18500,50.80250,51.02250,4345675
2019-08-05 08:00:00,49.49750,49.66225,48.57500,48.83000,19554310
2019-08-05 12:00:00,48.83500,48.91875,48.14500,48.24500,20752281
2019-08-05 16:00:00,48.24125,48.57250,48.20500,48.30500,5802388
2019-08-06 08:00:00,49.07750,49.51675,48.58500,48.80750,17935325
2019-08-06 12:00:00,48.81250,49.35750,48.51000,49.16000,12546648
2019-08-06 16:00:00,49.15750,49.30250,49.10000,49.26000,2703362
2019-08-07 08:00:00,48.85250,49.35000,48.45500,49.17750,13013551
2019-08-07 12:00:00,49.18750,49.69223,48.88500,49.66875,12973999
2019-08-07 16:00:00,49.67250,49.89000,49.61250,49.78000,3785973
2019-08-08 08:00:00,50.03000,50.53405,49.84750,50.39185,10535720
2019-08-08 12:00:00,50.39250,50.64250,50.37750,50.59500,9623368
2019-08-08 16:00:00,50.59750,50.87500,50.58250,50.85750,3614540
2019-08-09 08:00:00,50.35492,50.61750,49.82250,49.83247,8839154
2019-08-09 12:00:00,49.83250,50.66750,49.82745,50.63250,9991589
2019-08-09 16:00:00,50.62750,50.69000,50.21000,50.26250,3192502
2019-08-12 08:00:00,49.90500,50.49000,49.86000,50.32250,9218230
2019-08-12 12:00:00,50.32500,50.51290,49.78750,50.04168,9020698
2019-08-12 16:00:00,50.04125,50.19000,49.98750,50.12500,1851363
2019-08-13 08:00:00,50.25500,53.03500,50.20750,52.01125,26455527
2019-08-13 12:00:00,52.00500,52.50000,51.89750,52.32250,13563129
2019-08-13 16:00:00,52.32000,52.38250,52.20500,52.25008,3347001
2019-08-14 08:00:00,50.79000,51.61000,50.67500,51.14000,14836775
2019-08-14 12:00:00,51.13000,51.20250,50.64672,50.83250,13759644
2019-08-14 16:00:00,50.83000,50.89482,50.65000,50.69000,3412865
2019-08-15 08:00:00,51.02250,51.28500,50.13250,50.31750,12151366
2019-08-15 12:00:00,50.32250,50.67500,49.91750,50.37250,10753029
2019-08-15 16:00:00,50.36750,50.62500,50.34000,50.43000,2324319
2019-08-16 08:00:00,51.07750,51.79000,50.96000,51.55220,12845770
2019-08-16 12:00:00,51.55000,51.78500,51.37250,51.60250,9202727
2019-08-16 16:00:00,51.60000,51.73750,51.53750,51.58250,3097339
2019-08-19 08:00:00,52.67000,53.18267,52.52500,52.99500,11688478
2019-08-19 12:00:00,52.99000,53.04500,52.71000,52.83250,7657934
2019-08-19 16:00:00,52.83125,52.84000,52.53250,52.58000,2613835
2019-08-20 08:00:00,52.82250,53.32750,52.62750,53.16222,9590461
2019-08-20 12:00:00,53.15750,53.27000,52.71000,52.87622,9573990
2019-08-20 16:00:00,52.87750,52.89250,52.58000,52.58750,2388384
2019-08-21 08:00:00,53.18500,53.41250,53.14000,53.34750,8291618
2019-08-21 12:00:00,53.34500,53.38750,52.90750,53.13500,8818635
2019-08-21 16:00:00,53.14000,53.18250,53.03000,53.16250,2022119
2019-08-22 08:00:00,53.34215,53.60875,52.68750,52.91500,9936455
2019-08-22 12:00:00,52.91750,53.28247,52.88500,53.12000,6921621
2019-08-22 16:00:00,53.11750,53.32500,53.06000,53.11250,2852369
2019-08-23 08:00:00,52.35750,53.01275,51.05250,51.43050,16128766
2019-08-23 12:00:00,51.43750,51.49500,50.47750,50.76750,19894800
2019-08-23 16:00:00,50.77000,50.89000,50.25000,50.65750,5782812
2019-08-26 08:00:00,51.46500,51.79750,51.26432,51.60587,12317225
2019-08-26 12:00:00,51.60250,51.79500,51.33000,51.43835,8790181
2019-08-26 16:00:00,51.44000,51.65000,51.29500,51.65000,2734424
2019-08-27 08:00:00,52.01693,52.04000,51.08273,51.14630,8281132
2019-08-27 12:00:00,51.14250,51.50000,50.88250,51.20250,8391583
2019-08-27 16:00:00,51.20500,51.33250,51.01250,51.03500,3110217
2019-08-28 08:00:00,51.02500,51.36250,50.83000,51.35500,7209267
2019-08-28 12:00:00,51.35250,51.43000,51.08750,51.30500,5624009
2019-08-28 16:00:00,51.30125,51.39500,51.22250,51.38000,1478372
2019-08-29 08:00:00,52.16250,52.28250,51.66375,52.01000,8273112
2019-08-29 12:00:00,52.01750,52.33000,51.97250,52.08500,8498029
2019-08-29 16:00:00,52.08562,52.27500,52.08562,52.27500,2151233
2019-08-30 08:00:00,52.51487,52.53000,51.86750,51.92670,6967497
2019-08-30 12:00:00,52.00000,52.03750,51.80250,51.97000,6810894
2019-08-30 16:00:00,51.97000,52.18750,51.86500,52.18500,3446926
2019-09-03 08:00:00,51.61000,51.74500,51.05500,51.26000,9197669
2019-09-03 12:00:00,51.25250,51.44750,51.11500,51.41170,6944255
2019-09-03 16:00:00,51.41250,51.52500,51.38750,51.42375,2061658
2019-09-04 08:00:00,52.11750,52.18000,51.83000,52.02345,6485825
2019-09-04 12:00:00,52.02330,52.36858,51.92500,52.32625,8328134
2019-09-04 16:00:00,52.32750,52.37000,52.26250,52.31250,2032188
