,open,high,low,close,volume
2021-06-08 16:45:00,1.57040,1.58760,1.57040,1.57900,
2021-06-08 17:00:00,1.58050,1.58680,1.57470,1.58590,
2021-06-08 17:15:00,1.58400,1.58400,1.57140,1.57140,
2021-06-08 17:30:00,1.57210,1.57210,1.55820,1.56950,
2021-06-08 17:45:00,1.57270,1.57950,1.57220,1.57220,
2021-06-08 18:00:00,1.56730,1.57520,1.56390,1.56600,
2021-06-08 18:15:00,1.57070,1.58700,1.57070,1.58590,
2021-06-08 18:30:00,1.58800,1.59070,1.56910,1.56910,
2021-06-08 18:45:00,1.57220,1.57540,1.56760,1.57240,
2021-06-08 19:00:00,1.57560,1.58730,1.57560,1.58730,
2021-06-08 19:15:00,1.58230,1.58230,1.57240,1.57260,
2021-06-08 19:30:00,1.57400,1.58460,1.56960,1.58450,
2021-06-08 19:45:00,1.58410,1.58870,1.58010,1.58220,
2021-06-08 20:00:00,1.58400,1.59030,1.55760,1.55910,
2021-06-08 20:15:00,1.56010,1.56010,1.54150,1.54360,
2021-06-08 20:30:00,1.54930,1.56110,1.54600,1.55020,
2021-06-08 20:45:00,1.54760,1.54760,1.52830,1.52830,
2021-06-08 21:00:00,1.53540,1.53660,1.52680,1.52890,
2021-06-08 21:15:00,1.53280,1.53710,1.52710,1.52870,
2021-06-08 21:30:00,1.52570,1.52570,1.51110,1.51230,
2021-06-08 21:45:00,1.51150,1.51670,1.49580,1.49580,
2021-06-08 22:00:00,1.50540,1.50980,1.48990,1.48990,
2021-06-08 22:15:00,1.49950,1.49950,1.48400,1.49380,
2021-06-08 22:30:00,1.49000,1.50340,1.48460,1.50220,
2021-06-08 22:45:00,1.50060,1.52620,1.50060,1.50710,
2021-06-08 23:00:00,1.50500,1.52000,1.49890,1.52000,
2021-06-08 23:15:00,1.52230,1.52360,1.51320,1.51790,
2021-06-08 23:30:00,1.51420,1.51420,1.50530,1.51050,
2021-06-08 23:45:00,1.51240,1.51780,1.50680,1.50810,
2021-06-09 00:00:00,1.51210,1.51440,1.49700,1.50700,
2021-06-09 00:15:00,1.50280,1.50280,1.49450,1.50230,
2021-06-09 00:30:00,1.50260,1.51320,1.50150,1.50150,
2021-06-09 00:45:00,1.50450,1.52150,1.50450,1.52150,
2021-06-09 01:00:00,1.52180,1.53360,1.51860,1.53010,
2021-06-09 01:15:00,1.53380,1.54600,1.53380,1.53770,
2021-06-09 01:30:00,1.53720,1.53840,1.53360,1.53640,
2021-06-09 01:45:00,1.53820,1.53820,1.53320,1.53530,
2021-06-09 02:00:00,1.53390,1.53550,1.52900,1.53120,
2021-06-09 02:15:00,1.53570,1.55040,1.53570,1.55040,
2021-06-09 02:30:00,1.55160,1.56890,1.54680,1.56890,
2021-06-09 02:45:00,1.56640,1.58040,1.56640,1.57560,
2021-06-09 03:00:00,1.57640,1.57640,1.56570,1.56570,
2021-06-09 03:15:00,1.56470,1.56770,1.55790,1.55940,
2021-06-09 03:30:00,1.55750,1.56940,1.55750,1.56930,
