,open,high,low,close,volume
2018-04-24,0.27126,0.28700,0.25821,0.26854,
2018-04-25,0.26873,0.29390,0.25716,0.29327,
2018-04-26,0.29343,0.30580,0.28310,0.28446,
2018-04-27,0.28395,0.36449,0.28207,0.35605,
2018-04-28,0.35675,0.38600,0.34278,0.36252,
2018-04-29,0.36255,0.36285,0.33069,0.34099,
2018-04-30,0.34145,0.36034,0.31880,0.35502,
2018-05-01,0.35504,0.37586,0.34525,0.37200,
2018-05-02,0.37199,0.38849,0.36489,0.36682,
2018-05-03,0.36716,0.36811,0.34701,0.35841,
2018-05-04,0.35800,0.37433,0.35800,0.36502,
2018-05-05,0.36501,0.36553,0.33560,0.34656,
2018-05-06,0.34601,0.34691,0.31665,0.33189,
2018-05-07,0.33177,0.34558,0.31711,0.32213,
2018-05-08,0.32213,0.32371,0.29906,0.31838,
2018-05-09,0.32000,0.32197,0.29147,0.29170,
2018-05-10,0.29169,0.29307,0.24884,0.25470,
2018-05-11,0.25615,0.27809,0.23470,0.26550,
2018-05-12,0.26527,0.28349,0.25664,0.27718,
2018-05-13,0.27687,0.27790,0.25206,0.26598,
2018-05-14,0.26618,0.27459,0.25193,0.25394,
2018-05-15,0.25372,0.25565,0.23777,0.25237,
2018-05-16,0.25269,0.26030,0.23740,0.23941,
2018-05-17,0.23836,0.24498,0.23075,0.24324,
2018-05-18,0.24390,0.24731,0.23600,0.24206,
2018-05-19,0.24099,0.26003,0.23870,0.25556,
2018-05-20,0.25560,0.25990,0.24333,0.24563,
2018-05-21,0.24595,0.24720,0.21910,0.22022,
2018-05-22,0.22019,0.22310,0.19271,0.19782,
2018-05-23,0.19790,0.21025,0.18943,0.20700,
2018-05-24,0.20730,0.20839,0.19400,0.19798,
2018-05-25,0.19777,0.20390,0.19394,0.19504,
2018-05-26,0.19491,0.19531,0.19011,0.19200,
2018-05-27,0.19186,0.19382,0.17148,0.17240,
2018-05-28,0.17258,0.20867,0.17060,0.20164,
2018-05-29,0.20189,0.21657,0.19731,0.20779,
2018-05-30,0.20775,0.22848,0.20366,0.22329,
2018-05-31,0.22329,0.22801,0.21389,0.22046,
2018-06-01,0.22024,0.22896,0.21668,0.22686,
2018-06-02,0.22642,0.23676,0.22262,0.22642,
2018-06-03,0.22661,0.23028,0.20903,0.21243,
2018-06-04,0.21243,0.22100,0.20227,0.21840,
2018-06-05,0.21839,0.21946,0.20853,0.21444,
2018-06-06,0.21481,0.21863,0.20820,0.21052,
2018-06-07,0.20999,0.21035,0.20054,0.20448,
2018-06-08,0.20430,0.21000,0.20032,0.20057,
2018-06-09,0.20065,0.20065,0.16851,0.17344,
2018-06-10,0.17343,0.18037,0.16416,0.17897,
2018-06-11,0.17927,0.18090,0.15815,0.16290,
2018-06-12,0.16290,0.16569,0.14550,0.15796,
2018-06-13,0.15791,0.17539,0.15322,0.17062,
2018-06-14,0.17048,0.17084,0.16003,0.16100,
2018-06-15,0.16099,0.16422,0.15811,0.16209,
2018-06-16,0.16234,0.16395,0.15982,0.16011,
2018-06-17,0.16049,0.16810,0.15543,0.16370,
2018-06-18,0.16384,0.17110,0.16121,0.16681,
2018-06-19,0.16675,0.16700,0.15722,0.16182,
2018-06-20,0.16162,0.16341,0.15672,0.15800,
2018-06-21,0.15797,0.15850,0.13432,0.13803,
2018-06-22,0.13786,0.14178,0.13346,0.13714,
2018-06-23,0.13758,0.13806,0.11971,0.13093,
2018-06-24,0.13075,0.13880,0.12689,0.13521,
2018-06-25,0.13521,0.13570,0.12499,0.12542,
2018-06-26,0.12519,0.12812,0.12286,0.12752,
2018-06-27,0.12753,0.12837,0.11742,0.11822,
2018-06-28,0.11864,0.12699,0.11370,0.12534,
2018-06-29,0.12550,0.13810,0.12534,0.13784,
2018-06-30,0.13805,0.14577,0.13310,0.14194,
2018-07-01,0.14220,0.16003,0.13767,0.15449,
2018-07-02,0.15436,0.16047,0.14812,0.14961,
2018-07-03,0.14966,0.15989,0.14588,0.15112,
2018-07-04,0.15114,0.15536,0.14345,0.14736,
2018-07-05,0.14729,0.14759,0.13811,0.14501,
2018-07-06,0.14528,0.14838,0.13705,0.14767,
2018-07-07,0.14789,0.14940,0.14405,0.14483,
2018-07-08,0.14470,0.14575,0.13877,0.13916,
2018-07-09,0.13901,0.13972,0.12715,0.12796,
2018-07-10,0.12796,0.13351,0.12489,0.13144,
2018-07-11,0.13144,0.13144,0.12218,0.12739,
2018-07-12,0.12707,0.14356,0.12473,0.13750,
2018-07-13,0.13740,0.14058,0.13315,0.13644,
2018-07-14,0.13629,0.14593,0.13465,0.14237,
2018-07-15,0.14222,0.15840,0.14073,0.15667,
2018-07-16,0.15614,0.17626,0.15010,0.17135,
2018-07-17,0.17109,0.19582,0.17109,0.18038,
2018-07-18,0.18055,0.19199,0.17215,0.18165,
2018-07-19,0.18190,0.18299,0.15965,0.16124,
2018-07-20,0.16126,0.16937,0.15400,0.16325,
2018-07-21,0.16325,0.17874,0.16173,0.16930,
2018-07-22,0.16938,0.18030,0.16423,0.16423,
2018-07-23,0.16411,0.17840,0.16015,0.17364,
2018-07-24,0.17282,0.17726,0.16651,0.17269,
2018-07-25,0.17291,0.17541,0.16167,0.16432,
2018-07-26,0.16401,0.16921,0.15589,0.16597,
2018-07-27,0.16625,0.16662,0.15922,0.16430,
2018-07-28,0.16439,0.16527,0.15954,0.16247,
2018-07-29,0.16274,0.16296,0.14773,0.15330,
2018-07-30,0.15299,0.15349,0.13902,0.14158,
2018-07-31,0.14144,0.14413,0.13533,0.13983,
2018-08-01,0.13996,0.14143,0.12851,0.13091,
2018-08-02,0.13079,0.13441,0.12321,0.12947,
2018-08-03,0.12994,0.13358,0.12353,0.12639,
2018-08-04,0.12600,0.13126,0.12440,0.13063,
2018-08-05,0.13049,0.13576,0.12679,0.12953,
2018-08-06,0.12950,0.13225,0.12266,0.12365,
2018-08-07,0.12367,0.12372,0.10898,0.11271,
2018-08-08,0.11299,0.12624,0.11274,0.12201,
2018-08-09,0.12221,0.12365,0.11152,0.11462,
2018-08-10,0.11462,0.11598,0.10739,0.11022,
2018-08-11,0.11013,0.11413,0.10895,0.11184,
2018-08-12,0.11153,0.11398,0.10100,0.10105,
2018-08-13,0.10104,0.10112,0.08426,0.09362,
2018-08-14,0.09350,0.10100,0.09339,0.09356,
2018-08-15,0.09366,0.09819,0.09167,0.09458,
2018-08-16,0.09477,0.10988,0.09397,0.10988,
2018-08-17,0.11000,0.11221,0.09535,0.09831,
2018-08-18,0.09859,0.10350,0.09649,0.10143,
2018-08-19,0.10124,0.10295,0.09180,0.09200,
2018-08-20,0.09184,0.09533,0.09075,0.09469,
2018-08-21,0.09469,0.10079,0.08693,0.08941,
2018-08-22,0.08926,0.09369,0.08840,0.09232,
2018-08-23,0.09232,0.09449,0.09053,0.09381,
2018-08-24,0.09381,0.09477,0.09177,0.09402,
2018-08-25,0.09413,0.09459,0.09059,0.09311,
2018-08-26,0.09306,0.10142,0.09207,0.10042,
2018-08-27,0.10051,0.10735,0.09977,0.10556,
2018-08-28,0.10556,0.10913,0.10148,0.10550,
2018-08-29,0.10535,0.10753,0.09670,0.10065,
2018-08-30,0.10075,0.10336,0.09852,0.10170,
2018-08-31,0.10145,0.11003,0.10145,0.10700,
2018-09-01,0.10698,0.10745,0.10220,0.10476,
2018-09-02,0.10470,0.10549,0.10233,0.10360,
2018-09-03,0.10352,0.10705,0.10334,0.10522,
