,open,high,low,close,volume
2021-01-03 04:00:00,0.17679,0.18173,0.17679,0.17925,
2021-01-03 05:00:00,0.17959,0.18695,0.17944,0.18622,
2021-01-03 06:00:00,0.18772,0.19378,0.18756,0.18898,
2021-01-03 07:00:00,0.18941,0.19444,0.18848,0.19315,
2021-01-03 08:00:00,0.19419,0.20321,0.19204,0.19793,
2021-01-03 09:00:00,0.19833,0.20196,0.19356,0.19655,
2021-01-03 10:00:00,0.19714,0.19862,0.18970,0.19589,
2021-01-03 11:00:00,0.19725,0.20155,0.19251,0.19251,
2021-01-03 12:00:00,0.19346,0.19674,0.19250,0.19481,
2021-01-03 13:00:00,0.19572,0.19595,0.19071,0.19359,
2021-01-03 14:00:00,0.19349,0.19553,0.19160,0.19477,
2021-01-03 15:00:00,0.19504,0.19881,0.19504,0.19860,
2021-01-03 16:00:00,0.19866,0.20151,0.19675,0.19992,
2021-01-03 17:00:00,0.19913,0.20216,0.19748,0.20140,
2021-01-03 18:00:00,0.20116,0.20924,0.20083,0.20571,
2021-01-03 19:00:00,0.20686,0.22029,0.20686,0.21458,
2021-01-03 20:00:00,0.21477,0.21735,0.21261,0.21567,
2021-01-03 21:00:00,0.21518,0.21626,0.21175,0.21626,
2021-01-03 22:00:00,0.21630,0.22429,0.21580,0.22304,
2021-01-03 23:00:00,0.22227,0.23166,0.22227,0.22768,
2021-01-04 00:00:00,0.22723,0.23149,0.22299,0.23149,
2021-01-04 01:00:00,0.23067,0.23965,0.22779,0.22803,
2021-01-04 02:00:00,0.22847,0.23095,0.20986,0.21596,
2021-01-04 03:00:00,0.21848,0.22253,0.20727,0.21415,
2021-01-04 04:00:00,0.21314,0.21580,0.19727,0.20829,
2021-01-04 05:00:00,0.20840,0.20961,0.19315,0.20886,
2021-01-04 06:00:00,0.20863,0.21269,0.20322,0.21269,
2021-01-04 07:00:00,0.21280,0.21472,0.20885,0.21135,
2021-01-04 08:00:00,0.21045,0.21231,0.20503,0.21231,
2021-01-04 09:00:00,0.21290,0.21744,0.21207,0.21674,
2021-01-04 10:00:00,0.21727,0.21740,0.21395,0.21571,
2021-01-04 11:00:00,0.21742,0.21758,0.20700,0.21131,
2021-01-04 12:00:00,0.21245,0.21294,0.20408,0.20764,
2021-01-04 13:00:00,0.20814,0.21234,0.20814,0.21146,
2021-01-04 14:00:00,0.21188,0.21648,0.21175,0.21648,
2021-01-04 15:00:00,0.21706,0.21743,0.21208,0.21234,
2021-01-04 16:00:00,0.21288,0.21496,0.20969,0.21207,
2021-01-04 17:00:00,0.21224,0.21915,0.21116,0.21915,
2021-01-04 18:00:00,0.21737,0.22587,0.21421,0.22587,
2021-01-04 19:00:00,0.22656,0.23035,0.22252,0.22306,
2021-01-04 20:00:00,0.22468,0.22575,0.21828,0.22181,
2021-01-04 21:00:00,0.22239,0.22280,0.21565,0.21757,
2021-01-04 22:00:00,0.21785,0.22009,0.21358,0.21358,
2021-01-04 23:00:00,0.21398,0.21668,0.21042,0.21217,
2021-01-05 00:00:00,0.21283,0.21554,0.20712,0.20966,
2021-01-05 01:00:00,0.20958,0.21970,0.20733,0.21951,
2021-01-05 02:00:00,0.21970,0.22497,0.21703,0.21800,
2021-01-05 03:00:00,0.21940,0.22855,0.21908,0.22677,
2021-01-05 04:00:00,0.22734,0.23493,0.22734,0.23090,
2021-01-05 05:00:00,0.23178,0.23700,0.22777,0.23466,
2021-01-05 06:00:00,0.23549,0.23887,0.23063,0.23078,
2021-01-05 07:00:00,0.23113,0.23369,0.22669,0.23122,
2021-01-05 08:00:00,0.23140,0.23562,0.22873,0.22873,
2021-01-05 09:00:00,0.22914,0.23650,0.22532,0.23650,
2021-01-05 10:00:00,0.23750,0.24519,0.23314,0.24519,
2021-01-05 11:00:00,0.24417,0.25542,0.24123,0.25542,
2021-01-05 12:00:00,0.25687,0.25702,0.24781,0.25178,
2021-01-05 13:00:00,0.25231,0.25231,0.24632,0.24972,
2021-01-05 14:00:00,0.24981,0.25216,0.24350,0.24996,
2021-01-05 15:00:00,0.24962,0.25439,0.24884,0.25050,
2021-01-05 16:00:00,0.25044,0.25959,0.24958,0.25586,
2021-01-05 17:00:00,0.25648,0.26400,0.25648,0.26174,
2021-01-05 18:00:00,0.26212,0.26299,0.25407,0.25858,
2021-01-05 19:00:00,0.25883,0.27007,0.25404,0.26680,
2021-01-05 20:00:00,0.26716,0.27201,0.26321,0.26555,
2021-01-05 21:00:00,0.26552,0.27468,0.26520,0.27074,
2021-01-05 22:00:00,0.27014,0.27023,0.26432,0.26593,
2021-01-05 23:00:00,0.26561,0.26997,0.26116,0.26838,
2021-01-06 00:00:00,0.26809,0.26829,0.26240,0.26460,
2021-01-06 01:00:00,0.26383,0.26953,0.26383,0.26900,
2021-01-06 02:00:00,0.26828,0.27895,0.26600,0.27886,
2021-01-06 03:00:00,0.28052,0.28812,0.27694,0.27977,
2021-01-06 04:00:00,0.27925,0.28065,0.27057,0.27438,
2021-01-06 05:00:00,0.27434,0.28694,0.27384,0.28541,
2021-01-06 06:00:00,0.28749,0.29563,0.28245,0.29563,
2021-01-06 07:00:00,0.29690,0.33983,0.28916,0.31784,
2021-01-06 08:00:00,0.31690,0.32200,0.29759,0.31429,
2021-01-06 09:00:00,0.31315,0.31493,0.28804,0.29067,
2021-01-06 10:00:00,0.29043,0.30833,0.29043,0.30833,
2021-01-06 11:00:00,0.30831,0.31237,0.29719,0.29951,
2021-01-06 12:00:00,0.30066,0.31257,0.30066,0.30965,
2021-01-06 13:00:00,0.30878,0.31178,0.30542,0.30754,
2021-01-06 14:00:00,0.30769,0.30866,0.29369,0.29369,
2021-01-06 15:00:00,0.29316,0.31236,0.29006,0.30674,
2021-01-06 16:00:00,0.30774,0.30870,0.30242,0.30624,
2021-01-06 17:00:00,0.30501,0.33490,0.30501,0.33057,
2021-01-06 18:00:00,0.33278,0.34731,0.32532,0.33270,
2021-01-06 19:00:00,0.33530,0.34674,0.31940,0.34246,
2021-01-06 20:00:00,0.34743,0.35347,0.33852,0.34270,
2021-01-06 21:00:00,0.34243,0.34243,0.32535,0.34011,
2021-01-06 22:00:00,0.33948,0.34428,0.33731,0.33838,
2021-01-06 23:00:00,0.33792,0.33792,0.32746,0.33069,
2021-01-07 00:00:00,0.33171,0.33737,0.32933,0.33384,
2021-01-07 01:00:00,0.33404,0.34221,0.32438,0.33844,
2021-01-07 02:00:00,0.33852,0.34373,0.32750,0.32846,
2021-01-07 03:00:00,0.33149,0.33330,0.31758,0.33005,
2021-01-07 04:00:00,0.32931,0.33275,0.32211,0.33100,
2021-01-07 05:00:00,0.32779,0.32866,0.30641,0.30807,
2021-01-07 06:00:00,0.30966,0.32213,0.30966,0.31123,
2021-01-07 07:00:00,0.31171,0.32610,0.31171,0.31798,
2021-01-07 08:00:00,0.31619,0.32257,0.31326,0.32034,
2021-01-07 09:00:00,0.31904,0.32200,0.31337,0.31659,
2021-01-07 10:00:00,0.31833,0.32000,0.31478,0.31842,
2021-01-07 11:00:00,0.31921,0.33200,0.31794,0.32275,
2021-01-07 12:00:00,0.32202,0.32610,0.31880,0.31976,
2021-01-07 13:00:00,0.31994,0.31994,0.27971,0.29700,
2021-01-07 14:00:00,0.29921,0.31812,0.29232,0.31159,
2021-01-07 15:00:00,0.31200,0.31221,0.30726,0.31004,
2021-01-07 16:00:00,0.31054,0.31692,0.30997,0.31202,
2021-01-07 17:00:00,0.31199,0.31240,0.30070,0.30260,
2021-01-07 18:00:00,0.30292,0.30292,0.29221,0.29775,
2021-01-07 19:00:00,0.29971,0.30651,0.29239,0.29239,
2021-01-07 20:00:00,0.29495,0.29742,0.28482,0.28824,
2021-01-07 21:00:00,0.28897,0.28909,0.26502,0.27835,
2021-01-07 22:00:00,0.27586,0.28875,0.27586,0.28206,
2021-01-07 23:00:00,0.28124,0.28438,0.27574,0.28413,
2021-01-08 00:00:00,0.28404,0.28407,0.27640,0.27689,
2021-01-08 01:00:00,0.27837,0.29464,0.27383,0.29336,
2021-01-08 02:00:00,0.28996,0.31357,0.28834,0.31241,
2021-01-08 03:00:00,0.31594,0.31713,0.30734,0.31077,
2021-01-08 04:00:00,0.31262,0.31387,0.30046,0.30785,
2021-01-08 05:00:00,0.30835,0.31820,0.30370,0.31501,
2021-01-08 06:00:00,0.31714,0.32124,0.30774,0.30866,
2021-01-08 07:00:00,0.30948,0.31400,0.29995,0.30407,
2021-01-08 08:00:00,0.30513,0.31009,0.29684,0.30954,
2021-01-08 09:00:00,0.30990,0.31051,0.30505,0.30931,
2021-01-08 10:00:00,0.30933,0.30939,0.29119,0.29872,
2021-01-08 11:00:00,0.30067,0.30558,0.29777,0.30175,
2021-01-08 12:00:00,0.30203,0.30500,0.29683,0.29704,
2021-01-08 13:00:00,0.29797,0.29801,0.28832,0.29213,
2021-01-08 14:00:00,0.29333,0.29664,0.29185,0.29235,
2021-01-08 15:00:00,0.29128,0.29488,0.28510,0.28510,
2021-01-08 16:00:00,0.28398,0.29187,0.28380,0.28878,
