time,open,high,low,close,volume
2021-07-02 20:00:00,52.87,52.94,52.7,52.91,33229
2021-07-02 19:55:00,52.95,52.99,52.9,52.9,24139
2021-07-02 19:50:00,53.1,53.12,52.91,52.96,26383
2021-07-02 19:45:00,52.9,53.13,52.9,53.12,31442
2021-07-02 19:40:00,52.9401,53.0,52.7,53.0,34213
2021-07-02 19:35:00,53.06,53.15,52.95,52.95,41515
2021-07-02 19:30:00,52.82,53.12,52.82,53.12,71506
2021-07-02 19:25:00,52.76,52.85,52.7,52.85,13369
2021-07-02 19:20:00,52.65,52.89,52.65,52.8,29598
2021-07-02 19:15:00,52.55,52.64,52.55,52.64,14696
2021-07-02 19:10:00,52.49,52.59,52.49,52.55,30402
2021-07-02 19:05:00,52.41,52.48,52.4,52.48,12820
2021-07-02 19:00:00,52.47,52.47,52.42,52.42,16148
2021-07-02 18:55:00,52.44,52.46,52.44,52.46,7309
2021-07-02 18:50:00,52.44,52.44,52.41,52.43,7089
2021-07-02 18:45:00,52.39,52.44,52.39,52.44,6166
2021-07-02 18:40:00,52.35,52.39,52.35,52.39,8926
2021-07-02 18:35:00,52.38,52.4,52.33,52.39,17332
2021-07-02 18:30:00,52.35,52.37,52.35,52.37,7934
2021-07-02 18:25:00,52.33,52.4,52.33,52.36,16786
2021-07-02 18:20:00,52.35,52.39,52.33,52.35,16728
2021-07-02 18:15:00,52.4,52.4,52.35,52.35,12230
2021-07-02 18:10:00,52.38,52.4,52.38,52.4,2488
2021-07-02 18:05:00,52.4,52.4,52.38,52.38,7743
2021-07-02 18:00:00,52.35,52.4,52.35,52.3999,23392
2021-07-02 17:55:00,52.37,52.38,52.35,52.35,13878
2021-07-02 17:50:00,52.3099,52.38,52.3099,52.36,10165
2021-07-02 17:45:00,52.44,52.44,52.31,52.32,12410
2021-07-02 17:40:00,52.39,52.46,52.39,52.45,22440
2021-07-02 17:35:00,52.31,52.39,52.3,52.38,18508
2021-07-02 17:30:00,52.15,52.31,52.13,52.31,51656
2021-07-02 17:25:00,52.06,52.15,52.06,52.15,9649
2021-07-02 17:20:00,52.02,52.06,52.02,52.03,10290
2021-07-02 17:15:00,52.05,52.06,52.0201,52.0201,12293
2021-07-02 17:10:00,52.05,52.11,52.03,52.11,35048
2021-07-02 17:05:00,52.1,52.1,52.05,52.07,9911
2021-07-02 17:00:00,52.04,52.1,52.02,52.1,10502
2021-07-02 16:55:00,52.04,52.06,52.02,52.03,558172
2021-07-02 16:50:00,52.09,52.1,52.01,52.06,14179
2021-07-02 16:45:00,52.12,52.13,52.09,52.11,31801
2021-07-02 16:40:00,52.15,52.17,52.12,52.13,24312
