,open,high,low,close,volume
2013-12-18,19.18000,19.79000,18.90000,18.90000,5457200
2013-12-19,18.90000,19.49000,18.81000,19.49000,1605400
2013-12-20,19.65000,19.77000,19.40000,19.68000,737100
2013-12-23,19.79000,19.99000,19.50000,19.74000,698100
2013-12-24,19.74000,19.82000,19.50000,19.53000,213700
2013-12-26,19.55000,19.90000,19.35000,19.78000,416500
2013-12-27,19.93000,20.59000,19.53000,20.14000,758200
2013-12-30,20.10000,20.14000,19.82000,19.98000,246800
2013-12-31,19.96000,20.72000,19.96000,20.55000,313900
2014-01-02,20.62000,20.94000,19.96000,20.18000,425800
2014-01-03,20.10000,20.28000,19.78000,20.02000,298700
2014-01-06,20.05000,20.10000,19.81000,20.01000,509700
2014-01-07,20.04000,20.17000,19.93000,20.05000,856800
2014-01-08,20.10000,20.10000,19.89000,19.96000,497900
2014-01-09,19.96000,20.05000,19.81000,20.03000,290200
2014-01-10,20.05000,20.15000,19.99000,20.04000,660100
2014-01-13,19.90000,20.01000,19.75000,19.98000,392600
2014-01-14,19.86000,20.34000,19.75000,20.12000,215800
2014-01-15,20.18000,20.30000,19.81000,19.99000,311800
2014-01-16,19.92000,20.49000,19.90000,20.30000,279300
2014-01-17,20.18000,20.49000,20.04000,20.24000,131400
2014-01-21,20.40000,21.00000,20.32000,20.85000,620300
2014-01-22,20.94000,21.49000,20.92000,21.26000,326800
2014-01-23,21.27000,21.27000,20.50000,21.27000,154300
2014-01-24,21.27000,21.61000,20.80000,21.37000,409000
2014-01-27,21.26000,21.47000,21.02000,21.35000,497200
2014-01-28,21.97000,21.97000,21.10000,21.91000,332600
2014-01-29,21.92000,21.92000,21.35000,21.64000,77200
2014-01-30,21.88000,22.00000,21.43000,21.53000,122700
2014-01-31,21.25000,21.82000,21.16000,21.37000,230800
2014-02-03,21.50000,21.50000,21.01000,21.05000,232200
2014-02-04,21.05000,21.17000,20.62000,21.02000,311500
2014-02-05,20.84000,21.13000,20.30000,21.04000,362000
2014-02-06,20.99000,21.16000,20.71000,21.16000,211600
2014-02-07,21.21000,21.33000,20.91000,21.32000,129900
2014-02-10,21.25000,21.37000,21.07000,21.37000,118300
2014-02-11,21.46000,21.78000,21.30000,21.77000,156200
2014-02-12,21.71000,22.09000,21.46000,22.04000,147900
2014-02-13,21.74000,22.45000,21.72000,22.10000,183400
2014-02-14,22.18000,22.18000,21.32000,22.00000,172600
2014-02-18,22.10000,22.10000,21.80000,21.99000,183800
2014-02-19,21.92000,22.25000,21.76000,21.93000,210900
2014-02-20,21.80000,22.06000,21.63000,21.95000,179800
2014-02-21,22.00000,22.64000,21.79000,22.31000,303800
