,open,high,low,close,volume
2020-01-17 15:00:00,7.19500,7.24000,7.17000,7.23850,187195
2020-01-17 15:30:00,7.23500,7.28500,7.21000,7.28000,324633
2020-01-21 09:30:00,7.27000,7.32000,7.23000,7.25000,231717
2020-01-21 10:00:00,7.24500,7.25000,7.23000,7.24980,90826
2020-01-21 10:30:00,7.25000,7.27000,7.20000,7.20000,114051
2020-01-21 11:00:00,7.20500,7.24000,7.20000,7.23000,74110
2020-01-21 11:30:00,7.23000,7.29000,7.22000,7.26000,109345
2020-01-21 12:00:00,7.27000,7.27000,7.20000,7.20000,139889
2020-01-21 12:30:00,7.21000,7.22000,7.18000,7.21000,69042
2020-01-21 13:00:00,7.21000,7.23000,7.19000,7.23000,121412
2020-01-21 13:30:00,7.22500,7.24000,7.22000,7.22000,76402
2020-01-21 14:00:00,7.22000,7.26000,7.22000,7.24500,60470
2020-01-21 14:30:00,7.24000,7.26000,7.22500,7.26000,148486
2020-01-21 15:00:00,7.25500,7.28000,7.21000,7.24000,176257
2020-01-21 15:30:00,7.24000,7.26000,7.15000,7.18000,316346
2020-01-22 09:30:00,7.17000,7.22000,7.06000,7.11000,253943
2020-01-22 10:00:00,7.10990,7.15000,7.07000,7.08000,135215
2020-01-22 10:30:00,7.08000,7.11000,7.05000,7.08000,199880
2020-01-22 11:00:00,7.08000,7.14000,7.07000,7.12500,117801
2020-01-22 11:30:00,7.11500,7.13980,7.02000,7.02000,246404
2020-01-22 12:00:00,7.02500,7.05000,7.00000,7.02000,153510
2020-01-22 12:30:00,7.02000,7.02000,7.00000,7.00010,140369
2020-01-22 13:00:00,7.00500,7.02000,7.00000,7.01500,89127
2020-01-22 13:30:00,7.01000,7.01650,7.00000,7.01000,91075
2020-01-22 14:00:00,7.00500,7.01000,6.94000,6.95000,349962
2020-01-22 14:30:00,6.94000,6.97000,6.94000,6.96500,122385
2020-01-22 15:00:00,6.97000,6.97000,6.93000,6.93500,259116
2020-01-22 15:30:00,6.94000,6.96000,6.93000,6.96000,303200
2020-01-23 09:30:00,6.96500,6.98500,6.68150,6.80000,503359
2020-01-23 10:00:00,6.80000,6.83000,6.76000,6.83000,179569
2020-01-23 10:30:00,6.82670,6.83000,6.77000,6.80000,86457
2020-01-23 11:00:00,6.80000,6.84000,6.78500,6.82000,87549
2020-01-23 11:30:00,6.83000,6.87680,6.83000,6.87000,105027
2020-01-23 12:00:00,6.86500,6.86670,6.79000,6.79500,163051
2020-01-23 12:30:00,6.79500,6.82000,6.78000,6.80720,213599
2020-01-23 13:00:00,6.81000,6.86000,6.81000,6.85000,83486
2020-01-23 13:30:00,6.84500,6.84900,6.82000,6.82500,37524
2020-01-23 14:00:00,6.82000,6.90000,6.82000,6.89500,84275
2020-01-23 14:30:00,6.89500,6.90000,6.87000,6.87000,41610
2020-01-23 15:00:00,6.87000,6.87000,6.83000,6.85500,74858
2020-01-23 15:30:00,6.85500,6.87500,6.80000,6.80000,227727
2020-01-24 09:30:00,6.75000,6.80000,6.67000,6.69000,293984
2020-01-24 10:00:00,6.70000,6.78000,6.69000,6.76000,91738
2020-01-24 10:30:00,6.75340,6.75340,6.74000,6.74300,57560
2020-01-24 11:00:00,6.75000,6.75000,6.67500,6.67990,89869
2020-01-24 11:30:00,6.67840,6.70000,6.67010,6.68000,126232
2020-01-24 12:00:00,6.67990,6.71000,6.67000,6.69060,132223
2020-01-24 12:30:00,6.69380,6.70310,6.67000,6.68000,34483
2020-01-24 13:00:00,6.67500,6.68000,6.64000,6.64500,175562
2020-01-24 13:30:00,6.64500,6.64500,6.60000,6.61500,230821
2020-01-24 14:00:00,6.61930,6.68000,6.60000,6.66000,125281
2020-01-24 14:30:00,6.68000,6.69000,6.63000,6.68000,179303
2020-01-24 15:00:00,6.68500,6.75000,6.68500,6.75000,167535
2020-01-24 15:30:00,6.74500,6.78000,6.73000,6.73000,396764
2020-01-27 09:30:00,6.45000,6.45000,6.25550,6.43000,1016483
2020-01-27 10:00:00,6.40900,6.53500,6.39500,6.48330,330537
2020-01-27 10:30:00,6.48850,6.52000,6.42000,6.42500,161053
2020-01-27 11:00:00,6.42500,6.48500,6.42500,6.48500,83582
2020-01-27 11:30:00,6.48500,6.51000,6.44170,6.49500,114594
2020-01-27 12:00:00,6.49000,6.49000,6.42000,6.42500,78998
2020-01-27 12:30:00,6.42000,6.42000,6.37000,6.41000,210203
2020-01-27 13:00:00,6.40110,6.43000,6.40000,6.42500,89733
2020-01-27 13:30:00,6.42500,6.43000,6.38980,6.39000,98676
2020-01-27 14:00:00,6.38000,6.39600,6.32000,6.36000,275854
2020-01-27 14:30:00,6.35500,6.38000,6.35000,6.37500,99793
2020-01-27 15:00:00,6.37100,6.38000,6.37000,6.38000,59492
2020-01-27 15:30:00,6.37500,6.38000,6.34000,6.36000,454699
2020-01-28 09:30:00,6.37620,6.40000,6.30000,6.32500,238589
2020-01-28 10:00:00,6.32900,6.36710,6.32730,6.34000,126250
2020-01-28 10:30:00,6.34000,6.42000,6.34000,6.40000,177962
2020-01-28 11:00:00,6.41000,6.49000,6.36500,6.47000,134479
2020-01-28 11:30:00,6.48000,6.64000,6.47940,6.64000,187031
2020-01-28 12:00:00,6.65000,6.70000,6.61110,6.62500,153704
2020-01-28 12:30:00,6.62550,6.64840,6.59210,6.59500,68534
2020-01-28 13:00:00,6.58500,6.60500,6.53000,6.59000,110986
2020-01-28 13:30:00,6.58500,6.63000,6.58500,6.59000,61669
2020-01-28 14:00:00,6.58500,6.63000,6.58500,6.63000,70452
2020-01-28 14:30:00,6.62550,6.64800,6.61000,6.61500,62934
2020-01-28 15:00:00,6.61320,6.69000,6.61320,6.69000,72958
2020-01-28 15:30:00,6.69000,6.80000,6.69000,6.80000,416952
2020-01-29 09:30:00,6.86000,6.89000,6.78000,6.79000,228106
2020-01-29 10:00:00,6.79000,6.83000,6.75000,6.76000,166959
2020-01-29 10:30:00,6.76000,6.77000,6.74000,6.74000,93624
2020-01-29 11:00:00,6.75000,6.77500,6.72000,6.75010,78001
2020-01-29 11:30:00,6.76000,6.76000,6.70000,6.72300,83665
2020-01-29 12:00:00,6.74000,6.75500,6.70000,6.73000,98210
2020-01-29 12:30:00,6.73000,6.74000,6.71500,6.72000,75947
2020-01-29 13:00:00,6.72500,6.75000,6.72500,6.75000,62396
2020-01-29 13:30:00,6.74000,6.78000,6.71000,6.76580,70174
2020-01-29 14:00:00,6.76000,6.81000,6.76000,6.78000,44114
2020-01-29 14:30:00,6.77500,6.83000,6.76980,6.80130,69185
2020-01-29 15:00:00,6.80000,6.80840,6.73500,6.76000,47756
2020-01-29 15:30:00,6.76000,6.79000,6.75500,6.77000,205818
2020-01-30 09:30:00,6.63000,6.64000,6.52000,6.57500,319527
2020-01-30 10:00:00,6.58000,6.63000,6.56500,6.58500,118063
2020-01-30 10:30:00,6.58500,6.61520,6.55000,6.58000,126279
2020-01-30 11:00:00,6.57500,6.84000,6.57500,6.82500,183824
2020-01-30 11:30:00,6.82500,6.84500,6.78000,6.80000,148344
2020-01-30 12:00:00,6.80000,6.83000,6.77000,6.77000,52407
2020-01-30 12:30:00,6.78000,6.81000,6.76000,6.76000,102928
2020-01-30 13:00:00,6.75340,6.77000,6.74000,6.74000,36557
2020-01-30 13:30:00,6.75000,6.77000,6.75000,6.76000,29559
2020-01-30 14:00:00,6.76000,6.81000,6.75000,6.80000,63563
2020-01-30 14:30:00,6.79000,6.83200,6.79000,6.81770,49209
2020-01-30 15:00:00,6.83000,6.86500,6.82000,6.86000,64266
2020-01-30 15:30:00,6.85520,6.88000,6.82000,6.82000,185837
2020-01-31 09:30:00,6.87000,6.87000,6.61500,6.63000,130596
2020-01-31 10:00:00,6.63500,6.64000,6.59000,6.60340,128977
2020-01-31 10:30:00,6.60500,6.61000,6.59000,6.59000,61207
2020-01-31 11:00:00,6.60000,6.65000,6.58000,6.64500,119934
2020-01-31 11:30:00,6.64500,6.72000,6.64500,6.68000,83338
2020-01-31 12:00:00,6.67500,6.69500,6.60500,6.61000,94075
2020-01-31 12:30:00,6.62000,6.62000,6.58500,6.61000,131788
2020-01-31 13:00:00,6.60000,6.61660,6.53000,6.54000,121501
2020-01-31 13:30:00,6.53000,6.61000,6.53000,6.59000,115299
