,open,high,low,close,volume
2021-06-08 21:15:00,341.54001,342.73001,341.06000,342.20001,
2021-06-08 21:30:00,341.82001,341.82001,338.19000,338.19000,
2021-06-08 21:45:00,337.45001,338.57999,335.72000,335.72000,
2021-06-08 22:00:00,337.45001,338.72000,335.34000,335.34000,
2021-06-08 22:15:00,336.47000,337.25000,334.10999,336.07001,
2021-06-08 22:30:00,335.10999,337.60999,333.70999,337.60999,
2021-06-08 22:45:00,337.04999,343.88000,337.04999,341.00000,
2021-06-08 23:00:00,341.42999,343.50000,338.56000,343.50000,
2021-06-08 23:15:00,344.26999,345.32999,342.39999,342.45001,
2021-06-08 23:30:00,342.67001,342.67001,340.64001,342.35001,
2021-06-08 23:45:00,342.28000,342.60999,341.04001,341.60999,
2021-06-09 00:00:00,342.35999,344.12000,339.51999,340.82999,
2021-06-09 00:15:00,340.19000,340.19000,336.92999,338.41000,
2021-06-09 00:30:00,337.98001,340.82999,337.98001,338.53000,
2021-06-09 00:45:00,338.76999,342.38000,338.76999,342.38000,
2021-06-09 01:00:00,341.92001,345.12000,341.92001,344.73001,
2021-06-09 01:15:00,345.76001,349.04001,345.76001,349.04001,
2021-06-09 01:30:00,347.89001,347.89001,346.26999,347.07999,
2021-06-09 01:45:00,346.92999,347.35999,346.09000,347.35999,
2021-06-09 02:00:00,346.91000,349.23999,346.07001,347.98001,
2021-06-09 02:15:00,348.10999,352.81000,348.10999,352.17001,
2021-06-09 02:30:00,353.47000,354.89999,351.29001,354.89999,
2021-06-09 02:45:00,355.72000,358.41000,355.72000,358.10999,
2021-06-09 03:00:00,357.07999,360.92999,356.66000,359.13000,
2021-06-09 03:15:00,359.07999,359.39999,356.54999,356.92999,
2021-06-09 03:30:00,356.51999,358.20001,356.23001,357.81000,
2021-06-09 03:45:00,357.25000,357.35999,352.72000,352.72000,
2021-06-09 04:00:00,351.64999,354.31000,349.00000,353.82999,
2021-06-09 04:15:00,353.64001,353.64001,350.53000,350.73999,
2021-06-09 04:30:00,349.48999,352.10001,348.57001,350.22000,
2021-06-09 04:45:00,350.81000,351.32001,348.53000,349.79999,
2021-06-09 05:00:00,350.00000,352.50000,349.69000,349.89001,
2021-06-09 05:15:00,351.45999,355.04999,351.45999,352.78000,
2021-06-09 05:30:00,353.60001,353.60001,350.64999,352.54999,
2021-06-09 05:45:00,352.09000,352.09000,348.66000,348.70999,
2021-06-09 06:00:00,348.47000,350.26999,348.17999,349.26001,
2021-06-09 06:15:00,349.20999,353.07001,349.20999,353.07001,
2021-06-09 06:30:00,352.64001,355.26999,352.29001,354.22000,
2021-06-09 06:45:00,355.10999,355.10999,352.31000,353.60001,
2021-06-09 07:00:00,353.34000,355.01999,351.72000,354.26001,
2021-06-09 07:15:00,354.19000,357.28000,354.19000,355.22000,
2021-06-09 07:30:00,355.38000,356.39999,353.82999,356.39999,
2021-06-09 07:45:00,356.48999,359.81000,356.48999,359.81000,
2021-06-09 08:00:00,359.60001,363.29001,359.60001,362.85001,
2021-06-09 08:15:00,363.44000,363.44000,359.50000,359.50000,
2021-06-09 08:30:00,360.17999,360.17999,356.39001,358.04001,
2021-06-09 08:45:00,357.14001,357.25000,355.48001,356.79999,
2021-06-09 09:00:00,356.10001,357.48999,355.25000,357.48999,
2021-06-09 09:15:00,356.79999,358.13000,355.64001,356.14999,
2021-06-09 09:30:00,355.50000,356.75000,353.66000,354.78000,
2021-06-09 09:45:00,354.34000,356.32001,354.26999,356.32001,
2021-06-09 10:00:00,356.06000,360.51001,356.06000,359.34000,
2021-06-09 10:15:00,358.98001,358.98001,355.72000,356.29001,
2021-06-09 10:30:00,357.31000,358.88000,357.29001,358.59000,
2021-06-09 10:45:00,358.79001,359.13000,351.03000,351.03000,
2021-06-09 11:00:00,352.19000,359.70001,351.23001,359.07999,
2021-06-09 11:15:00,359.79999,364.37000,359.79999,363.47000,
2021-06-09 11:30:00,364.01999,369.17999,364.01999,367.54999,
2021-06-09 11:45:00,367.91000,368.53000,365.37000,368.23001,
2021-06-09 12:00:00,368.92999,368.92999,362.98999,366.10999,
2021-06-09 12:15:00,366.72000,367.47000,365.25000,366.45001,
2021-06-09 12:30:00,366.23999,368.85999,365.29999,368.85999,
2021-06-09 12:45:00,370.70999,373.57001,370.70999,372.44000,
2021-06-09 13:00:00,371.57999,374.89001,371.57999,374.89001,
2021-06-09 13:15:00,374.38000,378.47000,373.98001,374.19000,
2021-06-09 13:30:00,372.85001,374.06000,372.00000,372.89999,
2021-06-09 13:45:00,373.35999,374.16000,371.32999,373.70001,
2021-06-09 14:00:00,374.45001,375.67001,371.81000,372.37000,
2021-06-09 14:15:00,372.34000,372.34000,368.76999,368.82001,
2021-06-09 14:30:00,369.22000,369.32999,365.51001,368.04001,
2021-06-09 14:45:00,367.39999,370.12000,366.45001,366.45001,
2021-06-09 15:00:00,368.17001,368.95999,363.57001,363.57001,
2021-06-09 15:15:00,364.89999,367.14999,364.89999,366.98999,
2021-06-09 15:30:00,366.51999,367.82001,366.39001,367.56000,
2021-06-09 15:45:00,367.00000,367.62000,365.10001,366.39001,
2021-06-09 16:00:00,367.32999,367.32999,365.32001,366.73001,
2021-06-09 16:15:00,366.76001,366.76001,364.70999,366.25000,
2021-06-09 16:30:00,365.73999,367.48001,364.98001,367.48001,
2021-06-09 16:45:00,366.97000,366.97000,365.94000,366.26999,
2021-06-09 17:00:00,366.00000,368.35999,366.00000,368.20999,
2021-06-09 17:15:00,368.23001,368.67001,366.17001,366.48001,
2021-06-09 17:30:00,366.76001,368.87000,366.76001,368.85999,
2021-06-09 17:45:00,369.98999,371.25000,369.98999,370.00000,
2021-06-09 18:00:00,369.95001,372.45999,369.23999,372.45999,
2021-06-09 18:15:00,373.26999,377.39001,373.13000,376.54999,
2021-06-09 18:30:00,376.64001,376.64001,373.88000,374.76999,
2021-06-09 18:45:00,374.88000,375.67999,374.38000,374.63000,
2021-06-09 19:00:00,373.88000,375.76999,372.73999,375.29001,
2021-06-09 19:15:00,374.98999,375.92001,374.31000,375.48999,
2021-06-09 19:30:00,375.53000,375.88000,374.50000,374.50000,
2021-06-09 19:45:00,373.76001,375.42001,373.76001,375.26999,
2021-06-09 20:00:00,375.57001,376.76001,370.84000,371.06000,
2021-06-09 20:15:00,370.09000,370.78000,368.38000,370.25000,
2021-06-09 20:30:00,371.23001,371.23001,368.57999,368.84000,
2021-06-09 20:45:00,369.01001,370.17999,368.00000,368.00000,
2021-06-09 21:00:00,369.14999,372.95999,369.14999,372.95999,
2021-06-09 21:15:00,372.57001,373.01001,371.81000,372.23999,
2021-06-09 21:30:00,372.23001,372.23001,369.63000,369.66000,
2021-06-09 21:45:00,369.82001,371.35001,368.42999,368.75000,
2021-06-09 22:00:00,368.64999,369.89999,366.98001,369.45001,
2021-06-09 22:15:00,369.67999,371.01999,369.10001,369.54001,
2021-06-09 22:30:00,369.29999,370.56000,369.26999,369.53000,
2021-06-09 22:45:00,368.95001,370.23999,368.95001,370.23999,
2021-06-09 23:00:00,371.75000,374.20001,371.75000,374.04001,
2021-06-09 23:15:00,374.10001,374.89999,373.04001,373.04001,
2021-06-09 23:30:00,372.57999,373.54001,371.07999,371.07999,
2021-06-09 23:45:00,371.06000,371.06000,369.60001,369.60001,
2021-06-10 00:00:00,369.17001,371.54999,369.17001,371.54999,
2021-06-10 00:15:00,372.09000,372.09000,368.04999,368.04999,
2021-06-10 00:30:00,367.82001,368.29999,364.48999,365.19000,
2021-06-10 00:45:00,365.54999,366.53000,365.39001,366.14001,
2021-06-10 01:00:00,365.35001,367.23999,365.22000,365.76001,
2021-06-10 01:15:00,365.75000,366.20999,361.07999,361.35999,
2021-06-10 01:30:00,362.00000,363.85999,361.73001,363.28000,
2021-06-10 01:45:00,363.94000,364.13000,361.10999,363.54001,
2021-06-10 02:00:00,362.62000,362.78000,360.28000,360.45001,
2021-06-10 02:15:00,361.32999,363.13000,361.32999,363.13000,
2021-06-10 02:30:00,363.09000,365.35001,362.69000,362.69000,
2021-06-10 02:45:00,362.45999,364.23001,362.37000,362.73999,
2021-06-10 03:00:00,362.81000,365.17001,361.85001,365.17001,
2021-06-10 03:15:00,365.04001,365.35999,363.69000,364.44000,
2021-06-10 03:30:00,363.47000,363.66000,362.29999,363.66000,
2021-06-10 03:45:00,364.01001,365.78000,364.01001,365.78000,
2021-06-10 04:00:00,364.51999,364.64001,362.31000,364.34000,
2021-06-10 04:15:00,363.84000,364.75000,363.45999,363.78000,
2021-06-10 04:30:00,363.38000,363.98001,357.07999,357.07999,
2021-06-10 04:45:00,356.79999,357.78000,355.78000,356.29999,
2021-06-10 05:00:00,355.51999,356.42999,354.00000,354.76999,
2021-06-10 05:15:00,354.85001,356.23999,354.85001,355.85001,
2021-06-10 05:30:00,355.17001,362.57001,355.17001,361.84000,
2021-06-10 05:45:00,361.70999,364.70999,361.70999,364.62000,
2021-06-10 06:00:00,364.06000,371.28000,364.06000,370.25000,
2021-06-10 06:15:00,370.66000,371.81000,370.14001,370.60999,
2021-06-10 06:30:00,370.53000,370.98999,369.72000,369.72000,
2021-06-10 06:45:00,369.82999,369.82999,367.17999,367.35999,
2021-06-10 07:00:00,367.00000,369.28000,367.00000,368.64999,
2021-06-10 07:15:00,368.78000,368.78000,366.95999,367.14001,
2021-06-10 07:30:00,366.98999,366.98999,365.63000,366.48999,
2021-06-10 07:45:00,366.00000,367.23999,365.57999,366.34000,
2021-06-10 08:00:00,365.76001,366.16000,363.48001,363.63000,
2021-06-10 08:15:00,363.87000,363.87000,360.42999,361.51999,
2021-06-10 08:30:00,362.20001,363.14001,361.79001,362.44000,
2021-06-10 08:45:00,363.39999,364.72000,362.50000,362.50000,
2021-06-10 09:00:00,361.88000,362.42999,361.14999,361.89999,
2021-06-10 09:15:00,361.89999,361.89999,359.35001,360.29999,
2021-06-10 09:30:00,360.50000,362.45999,359.82001,362.04999,
2021-06-10 09:45:00,363.45001,364.13000,363.20001,364.03000,
2021-06-10 10:00:00,364.97000,365.92999,359.92001,361.20999,
2021-06-10 10:15:00,360.76001,362.01001,358.04001,358.95001,
2021-06-10 10:30:00,357.97000,359.20999,357.97000,358.32999,
2021-06-10 10:45:00,358.60999,358.81000,356.48001,357.76001,
2021-06-10 11:00:00,357.23999,361.67001,357.23999,360.79999,
2021-06-10 11:15:00,359.39999,360.38000,357.41000,357.41000,
2021-06-10 11:30:00,357.67001,357.78000,354.75000,354.75000,
2021-06-10 11:45:00,354.20001,357.20001,354.20001,357.20001,
2021-06-10 12:00:00,356.47000,358.32999,353.07001,354.53000,
2021-06-10 12:15:00,353.81000,355.91000,353.81000,354.98001,
2021-06-10 12:30:00,353.78000,357.09000,353.78000,356.88000,
