,open,high,low,close,volume
2017-11-07,1.80000,1.99000,1.75000,1.99000,
2017-11-08,1.99000,2.20000,1.90000,1.99000,
2017-11-09,1.99000,2.02000,1.60000,1.71000,
2017-11-10,1.71000,1.93000,1.58000,1.66000,
2017-11-11,1.66000,1.70000,1.34000,1.49000,
2017-11-12,1.49000,1.74000,1.49000,1.68000,
2017-11-13,1.68000,1.74000,1.53000,1.59000,
2017-11-14,1.59000,1.68000,1.49000,1.55000,
2017-11-15,1.55000,1.67000,1.51000,1.56000,
2017-11-16,1.56000,1.58000,1.49000,1.50000,
2017-11-17,1.50000,1.67000,1.49000,1.67000,
2017-11-18,1.67000,1.69000,1.58000,1.60000,
2017-11-19,1.60000,1.65000,1.56000,1.64000,
2017-11-20,1.64000,1.64000,1.54000,1.59000,
2017-11-21,1.59000,1.62000,1.56000,1.62000,
2017-11-22,1.62000,1.62000,1.54000,1.57000,
2017-11-23,1.57000,1.82000,1.54000,1.73000,
2017-11-24,1.73000,1.96000,1.68000,1.87000,
2017-11-25,1.87000,1.91000,1.76000,1.84000,
2017-11-26,1.84000,1.95000,1.74000,1.95000,
2017-11-27,1.95000,1.95000,1.80000,1.92000,
2017-11-28,1.92000,2.05000,1.55000,1.76000,
2017-11-29,1.76000,2.04000,1.71000,1.95000,
2017-11-30,1.95000,2.14000,1.88000,2.05000,
2017-12-01,2.05000,2.12000,1.98000,2.08000,
2017-12-02,2.08000,2.40000,2.04000,2.26000,
2017-12-03,2.26000,2.59000,2.26000,2.55000,
2017-12-04,2.55000,2.75000,2.50000,2.61000,
2017-12-05,2.61000,2.80000,2.33000,2.51000,
2017-12-06,2.51000,2.84000,2.40000,2.66000,
2017-12-07,2.66000,2.80000,2.21000,2.79000,
2017-12-08,2.79000,2.81000,2.18000,2.65000,
2017-12-09,2.65000,2.66000,2.13000,2.46000,
2017-12-10,2.46000,2.78000,2.45000,2.69000,
2017-12-11,2.69000,2.74000,2.45000,2.55000,
2017-12-12,2.55000,2.74000,2.27000,2.72000,
2017-12-13,2.72000,3.15000,2.63000,3.15000,
2017-12-14,3.15000,4.40000,2.99000,4.12000,
2017-12-15,4.12000,4.72000,3.82000,4.64000,
2017-12-16,4.64000,6.70000,4.60000,6.00000,
2017-12-17,6.00000,6.10000,4.75000,6.00000,
2017-12-18,6.00000,6.46000,5.27000,5.70000,
2017-12-19,5.70000,5.70000,4.68000,5.15000,
2017-12-20,5.15000,5.69000,4.42000,5.16000,
2017-12-21,5.16000,5.20000,3.25000,4.29000,
2017-12-22,4.29000,5.00000,4.17000,4.40000,
