,open,high,low,close,volume
2021-01-03 09:00:00,40.39140,41.42770,40.08650,40.50120,
2021-01-03 10:00:00,40.66210,40.66930,39.81620,40.35370,
2021-01-03 11:00:00,40.30570,41.42400,40.30570,40.36120,
2021-01-03 12:00:00,40.40220,40.93860,40.37050,40.77070,
2021-01-03 13:00:00,40.85790,41.55990,40.38540,40.52480,
2021-01-03 14:00:00,40.39210,40.65080,40.17520,40.30440,
2021-01-03 15:00:00,40.32000,40.82520,40.32000,40.45340,
2021-01-03 16:00:00,40.44660,41.04070,40.42340,40.69680,
2021-01-03 17:00:00,40.64510,40.95530,40.43610,40.87000,
2021-01-03 18:00:00,40.68040,41.63820,40.68040,41.21810,
2021-01-03 19:00:00,41.37270,41.94110,41.37270,41.65920,
2021-01-03 20:00:00,41.67550,42.21150,41.43670,41.44970,
2021-01-03 21:00:00,41.45250,41.60870,41.27810,41.37360,
2021-01-03 22:00:00,41.34250,41.69890,41.19540,41.23820,
2021-01-03 23:00:00,41.22130,41.72910,41.04510,41.65270,
2021-01-04 00:00:00,41.68260,42.19280,41.32540,42.11120,
2021-01-04 01:00:00,42.01260,43.19990,41.85320,41.97230,
2021-01-04 02:00:00,42.06910,42.43460,40.40000,40.77580,
2021-01-04 03:00:00,40.87480,41.18080,40.19560,40.78830,
2021-01-04 04:00:00,40.70000,40.86620,39.49930,40.41070,
2021-01-04 05:00:00,40.34800,40.44880,38.70010,39.37210,
2021-01-04 06:00:00,39.40110,39.40110,38.08170,39.14350,
2021-01-04 07:00:00,39.05280,40.10000,38.82390,40.02200,
2021-01-04 08:00:00,39.79190,39.79190,39.07280,39.37000,
2021-01-04 09:00:00,39.36980,39.89260,39.29630,39.89260,
2021-01-04 10:00:00,39.93780,40.09960,39.72270,39.82000,
2021-01-04 11:00:00,39.86110,39.96610,38.94900,39.36360,
2021-01-04 12:00:00,39.44180,39.52060,38.86320,39.45970,
2021-01-04 13:00:00,39.57000,40.11060,39.53870,39.79870,
2021-01-04 14:00:00,39.74240,40.07660,39.57950,39.91150,
2021-01-04 15:00:00,39.95950,39.95950,39.54600,39.54600,
2021-01-04 16:00:00,39.62470,40.03870,39.30180,40.03870,
2021-01-04 17:00:00,40.05210,40.36650,39.96770,40.17830,
2021-01-04 18:00:00,40.14130,41.10380,39.95240,41.10380,
2021-01-04 19:00:00,41.02120,41.21750,40.51110,40.67640,
2021-01-04 20:00:00,40.80000,41.21770,40.68420,41.21770,
2021-01-04 21:00:00,41.19750,41.19750,40.58040,40.58040,
2021-01-04 22:00:00,40.71700,40.74290,39.74310,39.81930,
2021-01-04 23:00:00,39.94890,40.13900,39.28950,39.47210,
2021-01-05 00:00:00,39.49430,39.81290,38.86890,39.07220,
2021-01-05 01:00:00,39.09010,39.77830,38.87560,39.73550,
2021-01-05 02:00:00,39.76800,39.83010,39.62230,39.65940,
2021-01-05 03:00:00,39.72620,40.13370,39.64640,39.85380,
2021-01-05 04:00:00,39.94490,40.29990,39.88140,40.16120,
2021-01-05 05:00:00,40.21850,40.47500,40.00050,40.27370,
2021-01-05 06:00:00,40.30070,40.65000,40.20000,40.62400,
2021-01-05 07:00:00,40.61050,40.61050,40.24570,40.24570,
2021-01-05 08:00:00,40.30820,40.44180,39.80350,39.80350,
2021-01-05 09:00:00,39.79060,40.08920,39.54240,39.98140,
2021-01-05 10:00:00,40.01180,40.16000,39.93000,40.16000,
2021-01-05 11:00:00,40.20470,40.46770,39.95700,40.41290,
2021-01-05 12:00:00,40.47300,40.48160,40.22470,40.30530,
2021-01-05 13:00:00,40.33430,40.39120,40.09930,40.16750,
2021-01-05 14:00:00,40.17450,40.34970,39.78930,40.30000,
2021-01-05 15:00:00,40.33760,40.51240,40.10000,40.23550,
2021-01-05 16:00:00,40.23000,40.82390,40.23000,40.75640,
2021-01-05 17:00:00,40.75000,41.34830,40.74660,41.26720,
2021-01-05 18:00:00,41.29000,41.78870,41.18680,41.78870,
2021-01-05 19:00:00,41.73020,41.80440,40.71040,41.11970,
2021-01-05 20:00:00,41.17190,41.17190,40.50280,40.72010,
2021-01-05 21:00:00,40.70000,41.17390,40.70000,40.97150,
2021-01-05 22:00:00,41.00020,41.01310,40.73680,40.83710,
2021-01-05 23:00:00,40.83540,41.42070,40.71110,40.98090,
2021-01-06 00:00:00,41.02020,41.07390,40.62190,40.69900,
2021-01-06 01:00:00,40.70090,40.97750,40.68430,40.94340,
2021-01-06 02:00:00,40.95050,41.04760,40.72560,40.85500,
2021-01-06 03:00:00,40.95800,41.15920,40.73410,41.11250,
2021-01-06 04:00:00,41.13720,41.18740,40.57610,41.01570,
2021-01-06 05:00:00,41.01770,41.49190,40.95390,41.49190,
2021-01-06 06:00:00,41.53340,41.74980,41.20610,41.49470,
2021-01-06 07:00:00,41.46260,41.74460,41.32760,41.72620,
2021-01-06 08:00:00,41.77440,42.14320,41.61320,42.00850,
2021-01-06 09:00:00,41.96580,41.96580,41.22820,41.22820,
2021-01-06 10:00:00,41.39890,41.69940,41.26080,41.39180,
2021-01-06 11:00:00,41.53790,41.91760,41.51320,41.74620,
2021-01-06 12:00:00,41.70640,42.09930,41.68250,41.75780,
2021-01-06 13:00:00,41.78410,41.78410,41.46050,41.66660,
2021-01-06 14:00:00,41.67670,41.76200,41.05960,41.05960,
2021-01-06 15:00:00,41.33110,41.60450,40.87900,41.50290,
2021-01-06 16:00:00,41.52390,41.57890,41.26190,41.38310,
2021-01-06 17:00:00,41.38090,41.96040,41.33080,41.73830,
2021-01-06 18:00:00,41.87480,42.23730,41.79540,42.23730,
2021-01-06 19:00:00,42.30660,42.30660,41.72500,41.81840,
2021-01-06 20:00:00,41.81750,41.81750,41.56670,41.68510,
