,open,high,low,close,volume
2017-08-27,4306.12988,4399.81982,4271.02979,4386.68994,
2017-08-28,4386.68994,4625.85010,4313.54980,4587.47998,
2017-08-29,4587.47998,4647.50977,4416.04980,4555.14014,
2017-08-30,4555.14014,4745.41992,4555.14014,4724.89014,
2017-08-31,4724.89014,4885.54980,4654.87988,4834.91016,
2017-09-01,4834.91016,4939.18994,4286.87012,4472.14014,
2017-09-02,4472.14014,4714.75977,4298.33008,4509.08008,
2017-09-03,4509.08008,4527.49023,3972.51001,4100.10986,
2017-09-04,4100.10986,4484.97998,3603.00000,4366.47021,
2017-09-05,4366.49023,4662.87012,4335.25977,4619.77002,
2017-09-06,4619.77002,4788.58984,4438.20020,4691.60986,
2017-09-07,4691.60986,4735.39014,4028.92993,4282.79980,
2017-09-08,4282.79980,4426.62012,4155.35010,4258.81006,
2017-09-09,4258.81006,4282.99023,3801.00000,4176.89014,
2017-09-10,4153.62012,4329.27002,4098.91016,4208.47021,
2017-09-11,4208.60010,4394.58984,4040.80005,4163.72021,
2017-09-12,4159.72021,4165.37988,3760.00000,3944.68994,
2017-09-13,3944.00000,3993.00000,3169.55005,3200.12012,
2017-09-14,3189.02002,3853.00000,2817.00000,3700.00000,
2017-09-15,3674.01001,3937.97998,3470.65991,3714.94995,
2017-09-16,3685.22998,3748.20996,3499.02002,3699.98999,
2017-09-17,3699.98999,4123.20020,3690.00000,4035.00000,
2017-09-18,4035.01001,4089.96997,3830.90991,3910.04004,
2017-09-19,3910.04004,4046.08008,3820.00000,3890.00000,
2017-09-20,3900.00000,3910.00000,3567.00000,3609.98999,
2017-09-21,3609.98999,3747.48999,3505.55005,3595.87012,
2017-09-22,3595.87012,3817.18994,3542.90991,3785.00000,
2017-09-23,3779.54004,3789.98999,3622.76001,3679.98999,
2017-09-24,3660.02002,3979.86011,3653.68994,3920.75000,
2017-09-25,3920.75000,3976.98999,3850.05005,3882.35010,
2017-09-26,3882.35010,4249.93994,3872.81006,4193.00000,
2017-09-27,4193.00000,4299.95020,4101.02002,4174.50000,
2017-09-28,4174.50000,4259.99023,3970.00000,4174.68994,
2017-09-29,4174.68994,4379.99023,4138.10010,4378.50977,
2017-09-30,4378.49023,4405.50000,4240.41016,4378.47998,
2017-10-01,4378.47998,4561.62988,4360.00000,4380.00000,
2017-10-02,4380.00000,4440.00000,4182.14990,4310.00000,
2017-10-03,4310.00000,4372.93018,4142.00000,4208.58984,
2017-10-04,4208.58984,4354.85010,4110.00000,4292.43018,
2017-10-05,4318.99023,4417.00000,4292.00000,4369.00000,
2017-10-06,4369.00000,4479.00000,4317.00000,4423.00000,
2017-10-07,4425.00000,4658.00000,4425.00000,4640.00000,
2017-10-08,4640.00000,4889.97998,4560.00000,4786.95020,
2017-10-09,4780.02002,4950.00000,4718.81006,4783.06006,
2017-10-10,4783.06006,4880.00000,4710.00000,4821.43018,
2017-10-11,4821.43018,5430.00000,4810.16016,5430.00000,
2017-10-12,5430.00000,5846.16992,5391.31006,5624.02002,
2017-10-13,5650.00000,5898.99023,5580.00977,5855.02979,
2017-10-14,5855.02979,5922.27979,5400.00977,5700.00000,
2017-10-15,5710.00000,5788.91016,5585.18994,5760.00977,
2017-10-16,5760.00000,5774.97998,5519.89014,5595.00000,
2017-10-17,5595.00000,5595.02002,5042.24023,5547.10010,
2017-10-18,5513.00000,5710.00000,5490.25977,5665.04004,
2017-10-19,5683.89990,6100.00000,5600.02979,6010.00977,
2017-10-20,6010.00977,6170.89014,5880.02002,6024.97021,
2017-10-21,6024.97021,6060.00000,5723.91016,5950.02002,
2017-10-22,5950.02002,6080.00000,5621.02979,5915.93018,
2017-10-23,5909.45996,5925.00000,5450.00000,5477.02979,
2017-10-24,5477.02979,5704.95996,5286.99023,5689.99023,
2017-10-25,5689.99023,5939.99023,5650.00977,5879.00977,
2017-10-26,5861.77002,5979.99023,5650.41992,5748.50977,
2017-10-27,5768.83008,5850.00000,5630.02979,5703.95020,
2017-10-28,5719.64014,6189.87012,5648.00977,6133.00977,
2017-10-29,6169.97998,6248.68018,6030.00000,6120.50000,
2017-10-30,6120.50000,6482.83984,6100.00000,6463.06006,
2017-10-31,6463.06982,6768.83008,6340.41992,6753.97998,
2017-11-01,6739.04980,7300.00000,6685.10010,7019.97998,
2017-11-02,7020.00000,7346.33984,6939.93994,7115.04004,
2017-11-03,7115.02002,7480.97021,6919.00000,7357.08984,
2017-11-04,7357.27002,7590.25000,7279.99023,7345.00977,
