,open,high,low,close,volume
2020-06-09 10:00:00,9706.25000,9727.00000,9682.99023,9719.92969,
2020-06-09 12:00:00,9722.98047,9722.98047,9692.33008,9708.26953,
2020-06-09 14:00:00,9706.13965,9740.00000,9689.20996,9732.40039,
2020-06-09 16:00:00,9734.62012,9811.50000,9716.46973,9811.50000,
2020-06-09 18:00:00,9816.26953,9816.26953,9738.19043,9770.20996,
2020-06-09 20:00:00,9769.87988,9809.00000,9757.23047,9788.51953,
2020-06-09 22:00:00,9787.12988,9788.45996,9745.00000,9752.46973,
2020-06-10 00:00:00,9752.42969,9778.95996,9732.83984,9770.34961,
2020-06-10 02:00:00,9768.12988,9784.24023,9729.44043,9745.63965,
2020-06-10 04:00:00,9758.33984,9759.11035,9706.20996,9723.98047,
2020-06-10 06:00:00,9720.65039,9746.33008,9719.91992,9726.49023,
2020-06-10 08:00:00,9726.96973,9774.53027,9721.50977,9750.00000,
2020-06-10 10:00:00,9753.17969,9763.33008,9732.61035,9758.00977,
2020-06-10 12:00:00,9756.84961,9777.00000,9751.45996,9775.63965,
2020-06-10 14:00:00,9758.96973,9977.90039,9758.96973,9849.30957,
2020-06-10 16:00:00,9866.82031,9898.25977,9830.04004,9847.79980,
2020-06-10 18:00:00,9859.83008,9900.00000,9851.95996,9884.05957,
2020-06-10 20:00:00,9891.23047,9948.45020,9871.65039,9932.74023,
2020-06-10 22:00:00,9947.58008,9947.58008,9876.73047,9889.62988,
2020-06-11 00:00:00,9884.17969,9898.00977,9868.74023,9879.88965,
2020-06-11 02:00:00,9887.15039,9887.29980,9772.50000,9795.37988,
2020-06-11 04:00:00,9792.08008,9820.08984,9769.45020,9794.51953,
2020-06-11 06:00:00,9791.79004,9803.00977,9763.00000,9787.83984,
2020-06-11 08:00:00,9769.50000,9794.94043,9612.67969,9638.45020,
2020-06-11 10:00:00,9622.95996,9671.00000,9515.23047,9526.95996,
2020-06-11 12:00:00,9503.44043,9557.69043,9188.00000,9375.71973,
2020-06-11 14:00:00,9385.62988,9385.62988,9262.49023,9284.00000,
2020-06-11 16:00:00,9266.71973,9371.07031,9231.70020,9350.70996,
2020-06-11 18:00:00,9354.83984,9354.83984,9261.05957,9275.73047,
2020-06-11 20:00:00,9272.51953,9350.00000,9249.37012,9339.49023,
2020-06-11 22:00:00,9342.79980,9391.00977,9333.44043,9366.92969,
2020-06-12 00:00:00,9366.03027,9394.00000,9347.90039,9383.17969,
2020-06-12 02:00:00,9384.90039,9459.95020,9367.17969,9440.00000,
2020-06-12 04:00:00,9446.95996,9485.41016,9440.87988,9454.63965,
2020-06-12 06:00:00,9466.04004,9515.00977,9459.00000,9497.74023,
2020-06-12 08:00:00,9499.99023,9541.95020,9443.36035,9541.95020,
2020-06-12 10:00:00,9545.45020,9545.45020,9385.53027,9416.75977,
2020-06-12 12:00:00,9413.54004,9453.61035,9310.00977,9333.33984,
2020-06-12 14:00:00,9334.65039,9447.20020,9334.65039,9431.46973,
2020-06-12 16:00:00,9434.12988,9483.75977,9411.79980,9437.99023,
2020-06-12 18:00:00,9450.19043,9484.58984,9440.25977,9464.99023,
2020-06-12 20:00:00,9467.75000,9475.58008,9427.00000,9442.30957,
2020-06-12 22:00:00,9437.04980,9437.04980,9401.33008,9402.96973,
2020-06-13 00:00:00,9402.46973,9412.65039,9365.90039,9412.65039,
2020-06-13 02:00:00,9413.44043,9444.29004,9396.88965,9437.91016,
2020-06-13 04:00:00,9443.54004,9464.25977,9421.08008,9441.29004,
2020-06-13 06:00:00,9444.08008,9447.49023,9394.54980,9403.92969,
2020-06-13 08:00:00,9405.00977,9441.71973,9395.00000,9429.03027,
2020-06-13 10:00:00,9429.83984,9460.79004,9425.48047,9437.12012,
2020-06-13 12:00:00,9442.70020,9447.50000,9420.74023,9430.36035,
2020-06-13 14:00:00,9433.41992,9492.36035,9391.30957,9407.62988,
2020-06-13 16:00:00,9380.98047,9426.63965,9374.24023,9426.63965,
2020-06-13 18:00:00,9432.49023,9471.45020,9418.82031,9471.45020,
2020-06-13 20:00:00,9475.74023,9475.74023,9437.34961,9445.12012,
2020-06-13 22:00:00,9444.87012,9458.83008,9426.17969,9434.00977,
2020-06-14 00:00:00,9434.79980,9443.28027,9419.88965,9432.50000,
2020-06-14 02:00:00,9433.00977,9436.83008,9383.57031,9415.12988,
2020-06-14 04:00:00,9410.00000,9435.69043,9397.00000,9418.69043,
2020-06-14 06:00:00,9415.66016,9440.87988,9415.66016,9427.28027,
2020-06-14 08:00:00,9427.33008,9435.41992,9383.45996,9407.73047,
2020-06-14 10:00:00,9405.96973,9436.94043,9321.12988,9419.24023,
2020-06-14 12:00:00,9419.37012,9426.46973,9379.41992,9395.66992,
2020-06-14 14:00:00,9393.00000,9402.91016,9370.00977,9394.24023,
2020-06-14 16:00:00,9404.95996,9407.82031,9320.03027,9346.08984,
2020-06-14 18:00:00,9333.66992,9403.08008,9261.29980,9340.88965,
2020-06-14 20:00:00,9337.53027,9369.09961,9249.20996,9251.40039,
2020-06-14 22:00:00,9239.91016,9286.45996,9161.75977,9162.79004,
2020-06-15 00:00:00,9153.00000,9216.37012,9013.00000,9045.04004,
2020-06-15 02:00:00,9036.41992,9131.15039,8932.40039,9122.98047,
2020-06-15 04:00:00,9107.84961,9158.25977,9089.95996,9146.50977,
2020-06-15 06:00:00,9149.98047,9149.98047,9072.79980,9122.51953,
2020-06-15 08:00:00,9124.58008,9187.21973,9053.12988,9172.71973,
2020-06-15 10:00:00,9207.50000,9308.01953,9192.00000,9298.95996,
2020-06-15 12:00:00,9283.50000,9387.04980,9283.50000,9334.94043,
2020-06-15 14:00:00,9351.00000,9446.44043,9351.00000,9409.99023,
2020-06-15 16:00:00,9430.00000,9494.51953,9406.98047,9435.00000,
2020-06-15 18:00:00,9438.37012,9460.96973,9397.05957,9425.00000,
2020-06-15 20:00:00,9432.32031,9433.91016,9375.00977,9408.82031,
2020-06-15 22:00:00,9406.88965,9570.51953,9385.99023,9556.11035,
2020-06-16 00:00:00,9568.66992,9570.45020,9520.01953,9540.55957,
2020-06-16 02:00:00,9539.45020,9550.00000,9457.29004,9502.62988,
2020-06-16 04:00:00,9500.09961,9535.62012,9468.51953,9506.96973,
2020-06-16 06:00:00,9507.65039,9539.94043,9490.61035,9508.46973,
