,open,high,low,close,volume
2020-01-21 12:30:00,80.83500,80.91000,80.69000,80.69000,292324
2020-01-21 13:00:00,80.69500,80.69500,80.35000,80.37000,468923
2020-01-21 13:30:00,80.37000,80.38000,80.09000,80.10500,497965
2020-01-21 14:00:00,80.10000,80.19500,80.04000,80.05100,547043
2020-01-21 14:30:00,80.05690,80.12500,79.88000,80.11000,630402
2020-01-21 15:00:00,80.11000,80.38670,80.11000,80.29500,538758
2020-01-21 15:30:00,80.30000,80.33500,79.87000,79.89000,1178240
2020-01-22 09:30:00,80.21000,80.48030,80.03500,80.10000,842643
2020-01-22 10:00:00,80.11000,80.21000,79.90500,80.12530,571846
2020-01-22 10:30:00,80.12500,80.22000,79.93500,79.95000,465171
2020-01-22 11:00:00,79.96010,80.07000,79.86100,79.96000,440103
2020-01-22 11:30:00,79.95500,80.27000,79.95500,80.17000,485615
2020-01-22 12:00:00,80.18000,80.26000,80.10000,80.19000,367779
2020-01-22 12:30:00,80.18000,80.34000,80.15010,80.33500,306850
2020-01-22 13:00:00,80.33940,80.33940,80.19000,80.22500,248689
2020-01-22 13:30:00,80.22000,80.38000,80.15150,80.15580,360841
2020-01-22 14:00:00,80.16000,80.24990,80.15500,80.17000,291962
2020-01-22 14:30:00,80.17000,80.22560,80.12300,80.14000,218268
2020-01-22 15:00:00,80.12000,80.16000,79.95500,80.12310,576754
2020-01-22 15:30:00,80.13000,80.25000,80.07000,80.09000,1175583
2020-01-23 09:30:00,79.52000,79.68000,78.92000,79.13000,1505466
2020-01-23 10:00:00,79.13000,79.22400,79.00000,79.14500,794195
2020-01-23 10:30:00,79.15000,79.37500,79.14500,79.18500,583730
2020-01-23 11:00:00,79.18000,79.21500,79.05000,79.07000,639901
2020-01-23 11:30:00,79.06500,79.35000,79.05500,79.35000,682486
2020-01-23 12:00:00,79.35000,79.48500,79.29500,79.36200,496402
2020-01-23 12:30:00,79.36000,79.52800,79.32000,79.50500,486121
2020-01-23 13:00:00,79.52000,79.79000,79.48500,79.64000,529443
2020-01-23 13:30:00,79.65000,79.91000,79.63000,79.89000,478199
2020-01-23 14:00:00,79.89100,80.00000,79.85260,79.91000,763810
2020-01-23 14:30:00,79.91000,80.08500,79.91000,79.95000,561041
2020-01-23 15:00:00,79.95000,80.04500,79.86500,80.01500,636797
2020-01-23 15:30:00,79.99500,80.04950,79.74500,79.81000,1384534
2020-01-24 09:30:00,79.58000,79.59000,78.96000,79.05000,1416883
2020-01-24 10:00:00,79.05000,79.05000,78.15500,78.17000,1276993
2020-01-24 10:30:00,78.19000,78.69000,78.19000,78.68990,929089
2020-01-24 11:00:00,78.67500,78.81000,78.35000,78.40000,1143595
2020-01-24 11:30:00,78.42000,78.47440,78.02000,78.04000,744538
2020-01-24 12:00:00,78.03000,78.07520,77.64000,77.86000,920025
2020-01-24 12:30:00,77.86500,78.36990,77.84000,78.36500,743820
2020-01-24 13:00:00,78.36000,78.36000,78.11500,78.15500,422643
2020-01-24 13:30:00,78.15000,78.15000,77.90000,78.08000,839762
2020-01-24 14:00:00,78.08000,78.15000,77.76500,77.79000,813647
2020-01-24 14:30:00,77.79500,78.08000,77.68000,78.08000,680498
2020-01-24 15:00:00,78.09000,78.30500,78.04730,78.26000,898548
2020-01-24 15:30:00,78.25000,78.45000,77.96000,78.41000,2163034
2020-01-27 09:30:00,76.26000,77.00000,75.85000,76.65000,2050121
2020-01-27 10:00:00,76.64000,76.66000,76.15000,76.51000,1594629
