,open,high,low,close,volume
2021-04-17 09:30:00,2393.65991,2413.38989,2393.65991,2404.69995,
2021-04-17 10:00:00,2398.59009,2418.80005,2395.54004,2403.91992,
2021-04-17 10:30:00,2404.92993,2408.03003,2382.65991,2385.40991,
2021-04-17 11:00:00,2380.82007,2380.86011,2354.38989,2367.37988,
2021-04-17 11:30:00,2366.18994,2368.58008,2333.84009,2348.00000,
2021-04-17 12:00:00,2338.56006,2354.95996,2316.12012,2353.18994,
2021-04-17 12:30:00,2354.22998,2365.89990,2352.15991,2352.15991,
2021-04-17 13:00:00,2351.56006,2369.00000,2345.59009,2366.00000,
2021-04-17 13:30:00,2364.31006,2367.61011,2326.41992,2330.00000,
2021-04-17 14:00:00,2321.87988,2371.33008,2319.62012,2370.13989,
2021-04-17 14:30:00,2369.69995,2374.16992,2358.13989,2361.87012,
2021-04-17 15:00:00,2366.12012,2381.98999,2366.12012,2370.88989,
2021-04-17 15:30:00,2369.25000,2377.59009,2369.25000,2377.59009,
2021-04-17 16:00:00,2379.73999,2384.17993,2371.08008,2382.78003,
2021-04-17 16:30:00,2384.23999,2391.15991,2382.70996,2390.04004,
2021-04-17 17:00:00,2388.88989,2392.82007,2383.15991,2387.40991,
2021-04-17 17:30:00,2390.36011,2392.71997,2379.62988,2388.94995,
2021-04-17 18:00:00,2389.58008,2393.71997,2382.01001,2386.66992,
2021-04-17 18:30:00,2387.68994,2387.68994,2365.37988,2377.71997,
2021-04-17 19:00:00,2375.13989,2382.51001,2351.37988,2351.37988,
2021-04-17 19:30:00,2354.73999,2355.32007,2319.95996,2319.95996,
2021-04-17 20:00:00,2320.31006,2338.76001,2264.11011,2264.11011,
2021-04-17 20:30:00,2258.82007,2302.06006,2254.02002,2282.28003,
2021-04-17 21:00:00,2286.95996,2295.21997,2260.03003,2288.21997,
2021-04-17 21:30:00,2280.57007,2305.54004,2280.57007,2287.11011,
2021-04-17 22:00:00,2278.27002,2295.81006,2256.85010,2280.46997,
2021-04-17 22:30:00,2274.87012,2290.81006,2249.97998,2256.75000,
2021-04-17 23:00:00,2260.45996,2265.82007,2071.45996,2124.65991,
2021-04-17 23:30:00,2109.05005,2161.89990,1951.04004,2161.89990,
2021-04-18 00:00:00,2146.56006,2189.22998,2127.43994,2177.41992,
2021-04-18 00:30:00,2177.46997,2202.10010,2140.00000,2153.04004,
2021-04-18 01:00:00,2154.50000,2188.12012,2154.50000,2170.89990,
2021-04-18 01:30:00,2176.06006,2186.64990,2147.42993,2181.87012,
2021-04-18 02:00:00,2175.31006,2209.00000,2175.31006,2197.25000,
2021-04-18 02:30:00,2203.34009,2203.34009,2167.41992,2183.00000,
2021-04-18 03:00:00,2187.09009,2221.98999,2187.09009,2221.98999,
2021-04-18 03:30:00,2223.96997,2229.04004,2205.03003,2210.16992,
2021-04-18 04:00:00,2212.39990,2219.98999,2179.73999,2193.37988,
2021-04-18 04:30:00,2193.37988,2195.59009,2139.67993,2139.67993,
2021-04-18 05:00:00,2144.40991,2144.40991,2102.39990,2112.88989,
2021-04-18 05:30:00,2103.75000,2125.10010,2088.31006,2121.87988,
2021-04-18 06:00:00,2117.08008,2137.98999,2098.29004,2119.12012,
2021-04-18 06:30:00,2122.07007,2143.44995,2116.96997,2118.73999,
2021-04-18 07:00:00,2118.67993,2139.00000,2102.54004,2102.54004,
2021-04-18 07:30:00,2107.40991,2107.40991,2043.82996,2052.27002,
2021-04-18 08:00:00,2060.75000,2090.68994,2054.82007,2090.68994,
2021-04-18 08:30:00,2078.54004,2104.06006,2077.52002,2098.39990,
2021-04-18 09:00:00,2093.84009,2125.09009,2087.34009,2115.12988,
2021-04-18 09:30:00,2116.63989,2120.80005,2105.77002,2117.46997,
2021-04-18 10:00:00,2114.18994,2148.04004,2113.43994,2148.04004,
2021-04-18 10:30:00,2143.55005,2145.61011,2122.66992,2126.14990,
2021-04-18 11:00:00,2125.52002,2148.03003,2119.00000,2141.84009,
2021-04-18 11:30:00,2146.55005,2148.79004,2120.86011,2145.04004,
2021-04-18 12:00:00,2145.21997,2178.75000,2143.51001,2178.43994,
2021-04-18 12:30:00,2172.27002,2176.63989,2152.40991,2159.66992,
2021-04-18 13:00:00,2162.37012,2167.45996,2147.09009,2159.56006,
2021-04-18 13:30:00,2161.19995,2161.19995,2136.00000,2145.64990,
2021-04-18 14:00:00,2149.43994,2154.98999,2137.37988,2139.51001,
2021-04-18 14:30:00,2138.78003,2175.00000,2137.69995,2168.75000,
2021-04-18 15:00:00,2174.10010,2189.69995,2173.28003,2185.36011,
2021-04-18 15:30:00,2188.51001,2193.90991,2184.64990,2188.50000,
2021-04-18 16:00:00,2191.01001,2204.59009,2188.64990,2202.41992,
2021-04-18 16:30:00,2206.82007,2224.48999,2202.51001,2221.01001,
2021-04-18 17:00:00,2224.27002,2224.27002,2212.64990,2218.20996,
2021-04-18 17:30:00,2216.19995,2219.98999,2188.44995,2219.79004,
2021-04-18 18:00:00,2225.12988,2228.38989,2210.37012,2224.30005,
2021-04-18 18:30:00,2226.47998,2247.55005,2224.96997,2238.25000,
2021-04-18 19:00:00,2239.31006,2244.96997,2230.93994,2232.32007,
2021-04-18 19:30:00,2236.34009,2247.93994,2224.45996,2237.12012,
2021-04-18 20:00:00,2236.00000,2246.53003,2201.17993,2220.51001,
2021-04-18 20:30:00,2220.97998,2257.20996,2219.58008,2254.93994,
2021-04-18 21:00:00,2257.22998,2269.01001,2250.20996,2262.70996,
2021-04-18 21:30:00,2257.07007,2257.07007,2237.48999,2244.62988,
2021-04-18 22:00:00,2250.26001,2253.51001,2230.00000,2244.45996,
2021-04-18 22:30:00,2246.30005,2255.84009,2241.67993,2251.31006,
2021-04-18 23:00:00,2250.76001,2256.77002,2242.97998,2252.72998,
2021-04-18 23:30:00,2252.72998,2275.57007,2252.72998,2265.61011,
2021-04-19 00:00:00,2267.93994,2267.93994,2261.22998,2264.33008,
2021-04-19 00:30:00,2263.42993,2266.92993,2255.29004,2263.46997,
2021-04-19 01:00:00,2262.00000,2264.38989,2233.44995,2241.16992,
2021-04-19 01:30:00,2243.46997,2256.08008,2240.00000,2240.00000,
2021-04-19 02:00:00,2243.68994,2249.07007,2239.31006,2246.90991,
2021-04-19 02:30:00,2245.52002,2265.00000,2236.81006,2264.23999,
2021-04-19 03:00:00,2265.00000,2268.60010,2252.94995,2259.61011,
2021-04-19 03:30:00,2263.16992,2273.52002,2259.77002,2271.16992,
2021-04-19 04:00:00,2269.53003,2274.80005,2244.96997,2244.96997,
2021-04-19 04:30:00,2245.41992,2258.01001,2240.51001,2240.51001,
2021-04-19 05:00:00,2244.97998,2249.61011,2231.15991,2239.51001,
2021-04-19 05:30:00,2239.79004,2249.36011,2229.54004,2230.09009,
2021-04-19 06:00:00,2230.78003,2230.78003,2204.94995,2216.19995,
2021-04-19 06:30:00,2218.85010,2220.01001,2199.36011,2216.94995,
2021-04-19 07:00:00,2218.19995,2234.95996,2216.72998,2228.81006,
2021-04-19 07:30:00,2231.94995,2247.42993,2231.94995,2246.80005,
2021-04-19 08:00:00,2240.62012,2250.98999,2237.60010,2244.91992,
2021-04-19 08:30:00,2248.43994,2248.43994,2221.25000,2221.25000,
2021-04-19 09:00:00,2220.63989,2231.58008,2198.47998,2205.16992,
2021-04-19 09:30:00,2207.51001,2223.16992,2205.36011,2215.90991,
