time,open,high,low,close,volume
2020-07-13 08:15:00,4.2701,4.2701,4.2701,4.2701,112
2020-07-13 08:45:00,4.35,4.35,4.35,4.35,700
2020-07-13 09:00:00,4.35,4.35,4.35,4.35,1800
2020-07-13 09:15:00,4.3008,4.3795,4.3008,4.3795,2167
2020-07-13 09:30:00,4.32,4.38,4.32,4.38,657
2020-07-13 09:45:00,4.35,4.3518,4.3,4.35,255449
2020-07-13 10:00:00,4.355,4.4708,4.35,4.4418,247843
2020-07-13 10:15:00,4.4418,4.45,4.34,4.35,295318
2020-07-13 10:30:00,4.36,4.38,4.3311,4.365,244159
2020-07-13 10:45:00,4.3643,4.3699,4.3,4.31,79075
2020-07-13 11:00:00,4.305,4.35,4.305,4.33,268188
2020-07-13 11:15:00,4.3266,4.33,4.31,4.325,47583
2020-07-13 11:30:00,4.32,4.38,4.32,4.375,64273
2020-07-13 11:45:00,4.375,4.4315,4.355,4.405,191018
2020-07-13 12:00:00,4.41,4.4901,4.4,4.49,178309
2020-07-13 12:15:00,4.49,4.51,4.46,4.48,368116
2020-07-13 12:30:00,4.485,4.508,4.475,4.49,112652
2020-07-13 12:45:00,4.4939,4.52,4.485,4.49,97165
2020-07-13 13:00:00,4.49,4.51,4.485,4.505,221180
2020-07-13 13:15:00,4.5001,4.515,4.5,4.51,45910
2020-07-13 13:30:00,4.51,4.5479,4.43,4.44,165460
2020-07-13 13:45:00,4.44,4.45,4.4,4.435,59942
2020-07-13 14:00:00,4.43,4.4801,4.41,4.47,214127
2020-07-13 14:15:00,4.46,4.465,4.41,4.425,96763
2020-07-13 14:30:00,4.435,4.44,4.39,4.39,65742
2020-07-13 14:45:00,4.39,4.41,4.37,4.4,42035
2020-07-13 15:00:00,4.4,4.42,4.39,4.405,38509
2020-07-13 15:15:00,4.41,4.41,4.38,4.4,260151
2020-07-13 15:30:00,4.39,4.405,4.34,4.34,88608
2020-07-13 15:45:00,4.34,4.35,4.29,4.32,145607
2020-07-13 16:00:00,4.32,4.32,4.26,4.26,249058
2020-07-13 16:15:00,4.26,4.34,4.26,4.26,4210
2020-07-13 16:30:00,4.2763,4.28,4.26,4.26,4554
2020-07-13 17:45:00,4.33,4.33,4.33,4.33,300
2020-07-13 18:00:00,4.27,4.27,4.27,4.27,100
2020-07-14 08:45:00,4.29,4.2901,4.29,4.29,1500
2020-07-14 09:00:00,4.369,4.369,4.369,4.369,100
2020-07-14 09:15:00,4.29,4.29,4.27,4.29,1844
2020-07-14 09:30:00,4.26,4.26,4.26,4.26,1878
2020-07-14 09:45:00,4.22,4.31,4.18,4.29,175021
2020-07-14 10:00:00,4.28,4.28,4.17,4.2275,48939
2020-07-14 10:15:00,4.22,4.23,4.15,4.17,57449
2020-07-14 10:30:00,4.17,4.21,4.16,4.21,38126
2020-07-14 10:45:00,4.21,4.24,4.2,4.23,26239
2020-07-14 11:00:00,4.23,4.2625,4.22,4.225,45079
2020-07-14 11:15:00,4.22,4.25,4.195,4.195,50635
2020-07-14 11:30:00,4.2,4.205,4.168,4.17,58229
2020-07-14 11:45:00,4.1656,4.2085,4.16,4.18,291003
2020-07-14 12:00:00,4.18,4.19,4.16,4.1683,68890
2020-07-14 12:15:00,4.17,4.17,4.12,4.14,130378
2020-07-14 12:30:00,4.14,4.1773,4.14,4.15,69475
2020-07-14 12:45:00,4.15,4.17,4.135,4.1382,61041
2020-07-14 13:00:00,4.13,4.17,4.12,4.1399,150598
2020-07-14 13:15:00,4.135,4.14,4.1101,4.1212,46488
2020-07-14 13:30:00,4.13,4.13,4.1,4.1082,27212
2020-07-14 13:45:00,4.1,4.14,4.095,4.1355,87714
2020-07-14 14:00:00,4.13,4.14,4.11,4.12,36716
2020-07-14 14:15:00,4.13,4.14,4.12,4.12,20298
2020-07-14 14:30:00,4.13,4.135,4.12,4.125,19890
2020-07-14 14:45:00,4.13,4.13,4.105,4.1156,63711
2020-07-14 15:00:00,4.12,4.12,4.1,4.1,32111
2020-07-14 15:15:00,4.1075,4.11,4.08,4.09,62568
2020-07-14 15:30:00,4.08,4.11,4.08,4.11,52729
2020-07-14 15:45:00,4.105,4.1082,4.0725,4.095,130623
2020-07-14 16:00:00,4.095,4.1099,4.08,4.09,297281
2020-07-14 16:15:00,4.13,4.13,4.12,4.13,16802
2020-07-14 16:30:00,4.12,4.12,4.1,4.1002,3867
