,open,high,low,close,volume
2020-10-22 15:00:00,14.84000,14.92990,14.81000,14.92000,316313
2020-10-22 15:15:00,14.91110,15.04000,14.85000,15.01000,378605
2020-10-22 15:30:00,15.01500,15.13000,14.90000,14.92500,422594
2020-10-22 15:45:00,14.91000,14.94000,14.85500,14.90500,622161
2020-10-23 09:30:00,15.04150,15.38000,14.93000,15.02000,898762
2020-10-23 09:45:00,15.01000,15.02200,14.80050,14.82000,507628
2020-10-23 10:00:00,14.84000,14.87000,14.65000,14.68000,384925
2020-10-23 10:15:00,14.67110,14.80000,14.56000,14.80000,304622
2020-10-23 10:30:00,14.80000,14.86000,14.73010,14.76740,138276
2020-10-23 10:45:00,14.78000,14.80000,14.68000,14.75000,132161
2020-10-23 11:00:00,14.75000,14.91890,14.66500,14.87500,176951
2020-10-23 11:15:00,14.87500,14.87500,14.79000,14.82000,79712
2020-10-23 11:30:00,14.82000,14.87000,14.70510,14.73000,138305
2020-10-23 11:45:00,14.72000,14.76500,14.68000,14.76500,116531
2020-10-23 12:00:00,14.75000,14.79000,14.70000,14.75000,68273
2020-10-23 12:15:00,14.76000,14.81000,14.67500,14.76000,290022
2020-10-23 12:30:00,14.71380,14.74450,14.66000,14.69500,74762
2020-10-23 12:45:00,14.69900,14.82000,14.69500,14.77500,88242
2020-10-23 13:00:00,14.78000,14.85000,14.77000,14.84000,122734
2020-10-23 13:15:00,14.85000,14.87000,14.82000,14.85000,75277
2020-10-23 13:30:00,14.84000,14.93000,14.84000,14.91000,164166
2020-10-23 13:45:00,14.90500,14.96000,14.86000,14.86010,101694
2020-10-23 14:00:00,14.86410,15.01000,14.82000,14.98000,207473
2020-10-23 14:15:00,14.98000,15.11000,14.96000,15.10990,308636
2020-10-23 14:30:00,15.10500,15.15500,15.03000,15.07000,224315
2020-10-23 14:45:00,15.06000,15.09000,14.92000,14.95500,267547
2020-10-23 15:00:00,14.95810,15.05000,14.95500,15.05000,210633
2020-10-23 15:15:00,15.04000,15.10000,15.03900,15.08990,181070
2020-10-23 15:30:00,15.08000,15.08000,14.95000,15.02000,162009
2020-10-23 15:45:00,15.02500,15.04000,14.95110,15.03000,369471
2020-10-26 09:30:00,14.94000,14.99000,14.66000,14.90000,375779
2020-10-26 09:45:00,14.90000,15.45000,14.90000,15.27000,1061016
2020-10-26 10:00:00,15.28800,15.29000,14.85000,14.91890,553303
2020-10-26 10:15:00,14.92000,14.97000,14.74000,14.83000,364506
2020-10-26 10:30:00,14.84820,14.87000,14.54000,14.59000,491915
2020-10-26 10:45:00,14.60500,14.62000,14.22000,14.26000,687580
2020-10-26 11:00:00,14.25380,14.45000,14.24000,14.42000,397043
2020-10-26 11:15:00,14.42000,14.42000,13.69000,13.81000,930090
2020-10-26 11:30:00,13.81000,14.05000,13.50000,13.66000,1037778
2020-10-26 11:45:00,13.67000,13.98000,13.65000,13.89010,775183
2020-10-26 12:00:00,13.91380,13.92000,13.77050,13.80000,297570
2020-10-26 12:15:00,13.79890,13.87500,13.48000,13.52050,442512
2020-10-26 12:30:00,13.52500,13.58000,13.45000,13.58000,202298
2020-10-26 12:45:00,13.56000,13.56000,13.36500,13.36500,204722
2020-10-26 13:00:00,13.35800,13.45000,13.30000,13.44500,245350
2020-10-26 13:15:00,13.46500,13.49000,13.30000,13.33000,260782
2020-10-26 13:30:00,13.33000,13.43000,13.26400,13.36000,315591
2020-10-26 13:45:00,13.35500,13.55000,13.32500,13.55000,468317
2020-10-26 14:00:00,13.55000,13.74000,13.55000,13.67500,335425
2020-10-26 14:15:00,13.66500,13.77000,13.52000,13.69000,271424
2020-10-26 14:30:00,13.70000,13.86500,13.56000,13.68000,511798
2020-10-26 14:45:00,13.68500,13.71000,13.60000,13.67890,523368
2020-10-26 15:00:00,13.67000,13.74000,13.49000,13.51500,224880
2020-10-26 15:15:00,13.51000,13.65000,13.51000,13.57000,302701
2020-10-26 15:30:00,13.56000,13.57000,13.50000,13.52500,238756
2020-10-26 15:45:00,13.52500,13.57000,13.48000,13.49500,715001
2020-10-27 09:30:00,13.61000,13.61990,12.80000,13.00670,1045632
2020-10-27 09:45:00,13.01810,13.18000,12.81000,12.88000,621568
2020-10-27 10:00:00,12.91000,12.99000,12.82000,12.89010,244109
