,open,high,low,close,volume
2002-02-13,9.62500,10.06000,9.52500,10.05000,19054000
2002-02-14,10.17500,10.19500,9.92500,10.00000,2755400
2002-02-15,10.00000,10.02500,9.85000,9.95000,2097400
2002-02-19,9.90000,9.90000,9.37500,9.55000,1852600
2002-02-20,9.60000,9.87500,9.52500,9.87500,1723200
2002-02-21,9.84000,9.92500,9.75000,9.85000,1744200
2002-02-22,9.92500,9.92500,9.60000,9.67500,881400
2002-02-25,9.65000,9.82500,9.54000,9.75000,863400
2002-02-26,9.70000,9.85000,9.54500,9.75000,690400
2002-02-27,9.67500,9.68000,9.50000,9.57500,1022800
2002-02-28,9.60000,9.72500,9.55000,9.55000,687800
2002-03-01,9.52500,9.77500,9.49000,9.68500,478400
2002-03-04,9.72500,9.90500,9.71000,9.85000,795200
2002-03-05,9.80000,9.82500,9.58000,9.62500,861200
2002-03-06,9.62000,9.71500,9.60000,9.67500,329200
2002-03-07,9.67500,10.30000,9.67500,10.21000,675200
2002-03-08,10.15000,10.50000,10.15000,10.45000,400200
2002-03-11,10.40000,10.70000,10.37500,10.58500,1365600
2002-03-12,10.50000,10.95000,10.50000,10.60000,1454800
2002-03-13,10.60000,10.75000,10.32500,10.51000,1265800
2002-03-14,10.51000,10.60000,10.42000,10.50000,424200
2002-03-15,10.50000,10.55000,9.95000,10.17500,427000
2002-03-18,10.20000,10.20000,9.52500,9.65000,551800
2002-03-19,9.72500,9.75000,9.30000,9.35000,807400
2002-03-20,9.27500,9.27500,8.50000,9.01000,2309000
2002-03-21,9.01000,9.62500,9.01000,9.37500,1106800
2002-03-22,9.37500,9.79500,9.25500,9.65000,623600
2002-03-25,9.75000,9.90500,9.59000,9.86000,1892800
2002-03-26,10.00000,10.05000,9.89000,9.99000,454200
2002-03-27,9.99000,10.50000,9.95000,10.30000,342400
2002-03-28,10.25000,10.30000,10.05000,10.10000,428600
2002-04-01,10.02500,10.02500,9.50000,9.52500,470000
2002-04-02,9.50000,9.50000,9.17500,9.32000,524600
2002-04-03,9.32500,9.40000,9.22000,9.30000,141800
2002-04-04,9.27500,9.52500,9.27500,9.47500,190800
2002-04-05,9.47500,9.70000,9.24500,9.24500,209400
2002-04-08,9.30000,9.30000,8.88500,9.15000,389600
2002-04-09,9.10000,9.60000,9.10000,9.47500,890600
2002-04-10,9.45000,9.52500,9.37500,9.46000,325600
2002-04-11,9.45500,9.45500,9.25000,9.25000,361000
2002-04-12,9.32500,9.32500,9.03000,9.12500,309000
2002-04-15,9.10000,9.28500,9.09500,9.28000,389800
2002-04-16,9.37500,9.60000,9.37500,9.50000,306400
2002-04-17,9.62500,10.12500,9.62500,9.90500,837200
2002-04-18,9.90500,10.07500,9.87000,9.90500,246200
2002-04-19,9.90500,10.17500,9.90500,10.13500,161600
2002-04-22,10.07500,10.07500,9.90500,10.00000,193200
2002-04-23,9.97500,10.12500,9.75000,9.77500,206200
2002-04-24,9.76000,9.80500,9.70000,9.70500,266200
2002-04-25,9.70500,9.70500,9.58500,9.70000,431800
2002-04-26,9.65000,9.79000,9.62500,9.62500,413400
2002-04-29,9.57500,9.57500,9.40000,9.45000,640600
2002-04-30,9.37500,9.65000,9.35000,9.52500,1723600
2002-05-01,9.65000,10.25000,9.65000,10.25000,418000
2002-05-02,10.20000,10.49500,10.20000,10.41500,829000
2002-05-03,10.40000,10.40500,10.28000,10.40000,115800
2002-05-06,10.39500,11.29500,10.39500,10.87500,536600
2002-05-07,10.82500,11.00000,10.72500,10.75000,113200
2002-05-08,10.85000,11.25000,10.85000,11.20000,164600
2002-05-09,11.25000,11.60000,11.25000,11.42500,211800
2002-05-10,11.50000,11.71500,11.00000,11.03000,174000
2002-05-13,11.03500,11.03500,10.42500,10.75000,482400
2002-05-14,11.00000,11.20000,10.40000,10.40000,989600
2002-05-15,10.35000,10.50000,9.92500,9.92500,1457400
2002-05-16,9.92500,10.35000,9.92500,10.30000,1321600
2002-05-17,10.37500,10.75000,10.37500,10.61500,1087800
2002-05-20,10.61500,10.75000,10.55000,10.69000,584000
2002-05-21,11.30000,11.32500,10.22500,10.25000,968000
2002-05-22,10.23000,10.75000,10.15000,10.62500,461800
2002-05-23,10.62500,11.35000,10.62500,11.20500,539400
2002-05-24,11.17000,11.85000,11.17000,11.73000,553000
2002-05-28,11.77500,12.14500,11.65000,12.10500,520600
2002-05-29,12.10500,12.10500,11.75000,11.80000,1182000
2002-05-30,11.80000,11.80000,11.57500,11.63000,985400
2002-05-31,11.63000,12.15000,11.63000,12.09500,677000
2002-06-03,12.09500,12.09500,11.57000,11.62500,454400
2002-06-04,11.60500,11.95000,11.45000,11.71500,483400
2002-06-05,11.75000,11.84000,11.55500,11.62500,438000
2002-06-06,11.62500,11.82500,11.59500,11.62500,350800
2002-06-07,11.50000,11.62000,11.28000,11.47500,438000
2002-06-10,11.47500,11.65000,11.15000,11.25000,213600
