,open,high,low,close,volume
2019-01-07 09:00:00,15.13000,15.35000,14.98000,15.31000,786910
2019-01-07 10:00:00,15.32000,15.64000,15.32000,15.50000,822077
2019-01-07 11:00:00,15.50000,15.74500,15.44500,15.63500,685374
2019-01-07 12:00:00,15.65000,15.80500,15.63000,15.66000,648623
2019-01-07 13:00:00,15.64000,15.65000,15.37000,15.39000,408312
2019-01-07 14:00:00,15.39000,15.50500,15.34000,15.45000,366134
2019-01-07 15:00:00,15.45000,15.53560,15.42500,15.49000,693969
2019-01-08 09:00:00,15.50000,15.50000,15.16000,15.28000,495275
2019-01-08 10:00:00,15.29000,15.46000,15.21500,15.45000,411691
2019-01-08 11:00:00,15.45000,15.69000,15.42500,15.60500,412541
2019-01-08 12:00:00,15.61000,15.74000,15.57000,15.72310,453792
2019-01-08 13:00:00,15.72000,15.75500,15.66000,15.71000,205833
2019-01-08 14:00:00,15.71000,15.81000,15.70000,15.77500,363065
2019-01-08 15:00:00,15.78000,15.88000,15.77000,15.80000,879654
2019-01-09 09:00:00,15.82000,16.27000,15.74000,16.27000,462500
2019-01-09 10:00:00,16.22000,16.37500,15.89490,15.98000,828684
2019-01-09 11:00:00,15.97000,15.99000,15.85000,15.91000,244135
2019-01-09 12:00:00,15.90000,15.98500,15.84500,15.95500,358377
2019-01-09 13:00:00,15.94000,16.00000,15.83500,15.83500,373571
2019-01-09 14:00:00,15.84000,15.99000,15.76000,15.98500,424870
2019-01-09 15:00:00,15.98500,16.05990,15.96000,15.98000,606600
2019-01-10 09:00:00,15.67000,15.75000,15.53000,15.71000,324231
2019-01-10 10:00:00,15.73000,15.95000,15.70000,15.89000,233282
2019-01-10 11:00:00,15.89000,15.94000,15.82500,15.93000,118372
2019-01-10 12:00:00,15.93000,16.00000,15.83000,15.88000,173166
2019-01-10 13:00:00,15.87000,15.93000,15.52000,15.82000,1252920
2019-01-10 14:00:00,15.82000,15.94000,15.81250,15.94000,243042
2019-01-10 15:00:00,15.94000,15.98000,15.92000,15.96000,415934
2019-01-11 09:00:00,15.92000,16.00000,15.79000,15.83000,246853
2019-01-11 10:00:00,15.80000,15.96500,15.80000,15.90000,478239
2019-01-11 11:00:00,15.90000,16.00000,15.85000,15.89000,390570
2019-01-11 12:00:00,15.89000,16.03000,15.86000,15.98500,398667
2019-01-11 13:00:00,15.99000,16.05000,15.94000,15.95000,213431
2019-01-11 14:00:00,15.95000,15.96500,15.78000,15.78000,217757
2019-01-11 15:00:00,15.78000,15.88000,15.77000,15.85000,346256
2019-01-14 09:00:00,15.83000,16.10000,15.75000,16.08000,471083
2019-01-14 10:00:00,16.07000,16.13000,15.69000,15.70500,764211
2019-01-14 11:00:00,15.69000,15.78000,15.60000,15.70000,570089
2019-01-14 12:00:00,15.69000,15.75500,15.68050,15.69000,466907
2019-01-14 13:00:00,15.69000,15.73000,15.58000,15.59500,238724
2019-01-14 14:00:00,15.59500,15.71000,15.57000,15.65000,488371
2019-01-14 15:00:00,15.65000,15.66000,15.61000,15.63000,419639
2019-01-15 09:00:00,15.59000,15.60000,15.21000,15.21000,418061
2019-01-15 10:00:00,15.23000,15.39000,15.20000,15.36000,328190
2019-01-15 11:00:00,15.34000,15.42000,15.31000,15.37500,145268
2019-01-15 12:00:00,15.38000,15.51000,15.35000,15.44000,247692
2019-01-15 13:00:00,15.45000,15.52000,15.35000,15.35000,203664
2019-01-15 14:00:00,15.35000,15.50000,15.35000,15.43000,366021
2019-01-15 15:00:00,15.42660,15.53000,15.40000,15.52000,317536
2019-01-16 09:00:00,15.53000,15.71500,15.39630,15.51000,403149
2019-01-16 10:00:00,15.51000,15.77000,15.47000,15.74000,342375
2019-01-16 11:00:00,15.74540,15.88500,15.69000,15.69500,274743
2019-01-16 12:00:00,15.69500,15.76840,15.64500,15.76840,147386
2019-01-16 13:00:00,15.76000,15.85000,15.73000,15.82000,128517
2019-01-16 14:00:00,15.83000,15.87500,15.74500,15.83000,184213
2019-01-16 15:00:00,15.81000,15.81000,15.68000,15.69500,301461
2019-01-17 09:00:00,15.51000,15.70000,15.31000,15.66000,241542
2019-01-17 10:00:00,15.65000,15.66000,15.58000,15.62000,136872
2019-01-17 11:00:00,15.62000,15.67000,15.57000,15.61000,188162
2019-01-17 12:00:00,15.61500,15.66000,15.56000,15.64000,231689
2019-01-17 13:00:00,15.64000,15.65000,15.53000,15.62000,196634
2019-01-17 14:00:00,15.63000,15.80000,15.62010,15.80000,220409
2019-01-17 15:00:00,15.80000,15.82000,15.67000,15.77000,321503
2019-01-18 09:00:00,16.04000,16.21000,15.88000,16.18000,695576
2019-01-18 10:00:00,16.18000,16.37000,16.18000,16.36490,386336
2019-01-18 11:00:00,16.38000,16.66000,16.37000,16.65280,1483299
2019-01-18 12:00:00,16.64000,16.90000,16.64000,16.78000,1640770
2019-01-18 13:00:00,16.81000,16.89000,16.75000,16.85000,743538
2019-01-18 14:00:00,16.85450,16.90000,16.29000,16.29000,1564305
2019-01-18 15:00:00,16.30000,16.30000,15.90500,15.93500,1727936
2019-01-22 09:00:00,15.86000,15.89000,15.52310,15.68500,500934
2019-01-22 10:00:00,15.68000,15.72000,15.53000,15.61000,298856
2019-01-22 11:00:00,15.60500,15.62000,15.32000,15.32190,270000
2019-01-22 12:00:00,15.33000,15.41000,15.16000,15.27500,328171
2019-01-22 13:00:00,15.26000,15.36000,15.20000,15.20000,327204
