,open,high,low,close,volume
2001-09-20,33.15000,33.74000,31.30000,31.56000,12567200
2001-09-21,29.25000,31.85000,29.04000,30.82000,19319400
2001-09-24,31.65000,32.70000,31.60000,32.58000,13583500
2001-09-25,32.55000,33.63000,32.13000,33.25000,11045500
2001-09-26,33.73000,33.75000,32.05000,32.59000,8319900
2001-09-27,32.50000,33.40000,31.70000,33.12000,6552000
2001-09-28,33.60000,35.01000,33.29000,34.15000,10302300
2001-10-01,34.30000,34.63000,33.60000,34.00000,8583800
2001-10-02,34.40000,35.25000,33.82000,34.99000,10114000
2001-10-03,34.52000,35.28000,34.30000,34.67000,15753100
2001-10-04,35.15000,35.20000,34.05000,34.16000,11926300
2001-10-05,34.50000,34.54000,33.06000,33.41000,9235900
2001-10-08,32.50000,33.10000,32.05000,32.44000,7810600
2001-10-09,32.20000,33.20000,32.07000,32.95000,7750700
2001-10-10,32.70000,33.87000,32.55000,33.39000,8522700
2001-10-11,33.55000,34.45000,32.94000,33.42000,10665500
2001-10-12,32.99000,33.09000,32.01000,32.89000,8231000
2001-10-15,32.10000,33.85000,31.85000,33.55000,8377100
2001-10-16,34.00000,34.50000,33.45000,33.94000,8870300
2001-10-17,35.50000,36.25000,34.57000,34.60000,14314100
2001-10-18,34.65000,35.00000,34.00000,34.14000,6970300
2001-10-19,34.15000,34.17000,33.00000,33.87000,7393000
2001-10-22,33.88000,35.68000,33.88000,35.31000,7499100
2001-10-23,35.90000,36.40000,35.52000,35.76000,8313200
2001-10-24,35.95000,36.40000,35.73000,36.22000,7721100
2001-10-25,36.15000,37.51000,35.60000,37.48000,7579000
2001-10-26,37.48000,38.08000,37.00000,37.55000,6616600
2001-10-29,37.10000,37.38000,35.65000,35.71000,7740200
2001-10-30,35.30000,36.07000,34.55000,35.51000,9263400
2001-10-31,36.01000,36.36000,35.25000,35.36000,6379000
2001-11-01,36.09000,36.59000,35.16000,36.34000,8193300
2001-11-02,36.09000,36.48000,35.80000,36.04000,6018900
2001-11-05,36.50000,37.08000,36.27000,36.36000,6622200
2001-11-06,36.61000,37.90000,36.43000,37.54000,9947800
2001-11-07,37.72000,38.95000,37.54000,38.59000,8817300
2001-11-08,38.65000,39.63000,38.60000,38.80000,6771400
2001-11-09,38.80000,39.30000,38.02000,39.05000,4529500
2001-11-12,38.76000,39.00000,37.25000,38.80000,5311200
2001-11-13,39.85000,39.99000,38.97000,39.35000,7900400
2001-11-14,39.90000,40.00000,38.75000,39.65000,5773200
2001-11-15,39.61000,39.79000,39.15000,39.55000,5273100
2001-11-16,39.55000,39.55000,38.81000,39.41000,5616600
2001-11-19,39.60000,40.24000,39.57000,40.10000,4777500
2001-11-20,39.85000,39.98000,39.28000,39.40000,5442300
2001-11-21,39.40000,39.59000,38.45000,38.84000,4915600
2001-11-23,38.60000,39.39000,38.60000,39.39000,3129700
2001-11-26,39.39000,39.52000,38.96000,39.49000,6817800
2001-11-27,39.65000,40.30000,39.26000,39.80000,7612900
2001-11-28,39.49000,39.64000,37.20000,37.50000,18051800
2001-11-29,37.40000,38.09000,36.50000,38.06000,11981900
2001-11-30,38.31000,38.35000,37.61000,37.72000,7271300
2001-12-03,36.90000,37.08000,36.13000,36.55000,11064300
2001-12-04,37.00000,37.46000,36.26000,37.22000,8180500
2001-12-05,37.70000,39.51000,37.63000,39.02000,9551300
2001-12-06,39.25000,40.95000,39.15000,40.38000,10875900
2001-12-07,40.25000,40.25000,39.70000,39.77000,5674700
2001-12-10,39.77000,39.77000,38.41000,38.68000,6631800
2001-12-11,38.76000,39.45000,38.26000,38.50000,6604900
2001-12-12,38.75000,38.75000,37.67000,38.37000,6770500
2001-12-13,37.40000,37.90000,36.80000,37.09000,8901400
2001-12-14,36.60000,36.99000,35.40000,36.04000,14055500
2001-12-17,36.10000,37.10000,35.81000,36.70000,8043900
2001-12-18,36.95000,37.35000,36.72000,37.19000,8069500
2001-12-19,37.20000,38.95000,36.85000,38.00000,10382500
2001-12-20,36.85000,37.46000,36.15000,36.52000,19306500
2001-12-21,36.52000,36.57000,35.02000,35.75000,18511200
2001-12-24,35.76000,36.05000,35.60000,36.04000,3508600
2001-12-26,36.04000,36.75000,36.00000,36.31000,5315500
2001-12-27,36.25000,36.84000,35.99000,36.32000,6687800
2001-12-28,36.55000,36.83000,36.35000,36.55000,5924400
2001-12-31,36.45000,36.53000,36.16000,36.35000,6298000
2002-01-02,36.49000,36.49000,35.68000,36.35000,7929300
2002-01-03,36.50000,37.50000,36.34000,37.32000,10348200
2002-01-04,38.02000,39.10000,38.02000,39.00000,10432900
2002-01-07,39.05000,39.68000,38.90000,38.90000,9453000
2002-01-08,39.00000,39.05000,38.28000,38.60000,7604000
2002-01-09,38.85000,39.60000,38.39000,38.71000,6189600
2002-01-10,38.40000,39.19000,38.36000,39.14000,6870400
2002-01-11,39.25000,39.29000,37.72000,38.34000,7788900
2002-01-14,37.65000,37.80000,37.05000,37.31000,7333000
2002-01-15,37.31000,38.29000,37.31000,37.87000,8475900
2002-01-16,37.50000,37.51000,36.10000,36.51000,15076200
2002-01-17,37.00000,37.20000,36.50000,36.85000,11503100
2002-01-18,36.15000,36.50000,35.50000,35.91000,11283800
2002-01-22,36.00000,36.18000,35.62000,35.76000,7824300
2002-01-23,35.35000,36.35000,34.99000,35.75000,8666100
2002-01-24,36.25000,36.49000,35.90000,35.90000,7715600
2002-01-25,35.45000,36.02000,34.75000,34.99000,13942200
2002-01-28,35.15000,35.23000,33.45000,34.31000,13716200
2002-01-29,34.06000,34.65000,31.70000,32.05000,17854300
2002-01-30,31.52000,33.50000,30.40000,33.06000,22844200
2002-01-31,33.11000,34.10000,33.02000,34.05000,12247600
2002-02-01,34.05000,34.05000,32.05000,32.16000,13705300
2002-02-04,32.17000,32.35000,30.55000,30.56000,12660000
2002-02-05,30.57000,30.57000,28.30000,29.02000,28714800
2002-02-06,29.27000,30.05000,28.90000,29.44000,19514500
2002-02-07,30.00000,30.87000,29.55000,30.07000,17090600
2002-02-08,30.24000,31.40000,30.24000,31.12000,15573300
2002-02-11,31.22000,31.95000,30.74000,31.84000,12952700
2002-02-12,31.60000,31.69000,31.05000,31.49000,7807600
2002-02-13,31.50000,32.19000,30.00000,30.25000,20457300
2002-02-14,30.00000,30.79000,29.40000,30.21000,17197200
2002-02-15,30.21000,30.40000,29.30000,30.05000,16647400
2002-02-19,29.30000,29.75000,28.95000,29.03000,13378500
2002-02-20,29.80000,29.90000,28.39000,29.41000,14369600
2002-02-21,29.28000,30.15000,28.90000,29.14000,9669400
2002-02-22,28.45000,28.45000,26.70000,28.19000,25756700
2002-02-25,27.80000,29.05000,27.75000,29.00000,11513000
2002-02-26,29.00000,29.23000,28.51000,28.96000,10028100
2002-02-27,29.19000,29.55000,28.50000,28.96000,10123500
2002-02-28,29.01000,29.50000,28.87000,29.25000,8056800
2002-03-01,29.60000,29.75000,29.05000,29.66000,9530300
2002-03-04,30.25000,32.65000,30.00000,32.50000,16655600
2002-03-05,32.52000,33.88000,32.31000,32.51000,16766900
2002-03-06,33.50000,34.42000,33.17000,34.05000,15044900
2002-03-07,34.45000,34.85000,33.70000,34.05000,12092200
2002-03-08,34.75000,34.98000,34.17000,34.74000,11721000
2002-03-11,35.50000,36.49000,35.03000,36.30000,16507800
2002-03-12,36.00000,36.45000,35.36000,36.25000,13336300
2002-03-13,36.00000,36.35000,34.94000,35.37000,10128600
2002-03-14,35.01000,35.44000,34.70000,35.11000,8074400
2002-03-15,35.12000,36.07000,34.85000,36.01000,11626800
2002-03-18,36.01000,36.40000,35.07000,35.34000,8641100
2002-03-19,35.75000,36.09000,35.56000,36.09000,7615100
2002-03-20,35.70000,35.71000,35.15000,35.19000,8460200
2002-03-21,35.19000,35.26000,34.20000,34.79000,6479800
2002-03-22,34.80000,35.54000,34.50000,35.20000,7176700
2002-03-25,35.20000,36.12000,34.95000,34.95000,8444900
2002-03-26,35.20000,36.08000,35.10000,35.15000,9780000
2002-03-27,35.20000,35.99000,35.15000,35.50000,6541200
2002-03-28,35.85000,36.22000,35.26000,35.65000,6425000
2002-04-01,35.65000,35.95000,35.00000,35.61000,4588500
2002-04-02,35.38000,35.70000,35.20000,35.31000,5126800
2002-04-03,35.19000,35.36000,34.58000,35.01000,5978700
2002-04-04,34.85000,35.20000,34.12000,34.44000,6825900
2002-04-05,34.62000,35.27000,34.62000,34.86000,5999500
2002-04-08,34.54000,35.19000,34.25000,34.98000,5735300
2002-04-09,35.00000,35.45000,34.85000,35.19000,5537600
2002-04-10,35.19000,35.39000,34.50000,35.04000,9663300
2002-04-11,34.80000,34.98000,33.10000,33.46000,12118300
2002-04-12,33.70000,34.36000,33.60000,34.28000,6738500
2002-04-15,35.50000,35.60000,34.25000,34.40000,11163000
2002-04-16,34.95000,35.50000,34.33000,35.38000,14282300
2002-04-17,35.95000,37.58000,35.76000,37.27000,19356200
2002-04-18,37.01000,37.67000,36.37000,37.26000,10163900
2002-04-19,37.50000,37.95000,37.30000,37.76000,6647600
2002-04-22,37.27000,37.39000,36.42000,36.60000,8053500
2002-04-23,36.68000,36.85000,36.20000,36.60000,7383300
2002-04-24,36.70000,36.70000,35.87000,35.89000,7354700
2002-04-25,35.40000,35.55000,34.39000,35.03000,10939400
2002-04-26,35.75000,35.85000,34.77000,34.99000,7525800
2002-04-29,35.40000,35.45000,34.00000,34.34000,8569000
2002-04-30,34.70000,35.95000,34.35000,35.10000,9882800
2002-05-01,35.44000,35.85000,34.40000,35.50000,6543700
2002-05-02,35.50000,36.28000,35.49000,36.25000,7680200
2002-05-03,36.30000,36.41000,35.02000,35.68000,7122800
2002-05-06,35.95000,35.95000,34.24000,34.40000,6321700
2002-05-07,34.94000,35.54000,34.63000,34.63000,8673800
2002-05-08,36.50000,37.15000,36.00000,36.91000,10199300
2002-05-09,36.25000,36.58000,35.50000,35.77000,8214200
2002-05-10,35.94000,36.00000,35.00000,35.08000,5472400
2002-05-13,35.35000,36.44000,35.10000,36.34000,5811000
2002-05-14,36.90000,37.73000,36.73000,37.59000,8431300
2002-05-15,37.24000,37.94000,36.90000,36.96000,8716400
2002-05-16,37.05000,38.00000,36.83000,37.83000,5798700
2002-05-17,38.00000,38.75000,37.60000,38.10000,7433100
2002-05-20,37.80000,37.93000,37.28000,37.46000,4149000
2002-05-21,37.92000,38.65000,37.30000,37.52000,6318700
2002-05-22,37.52000,37.69000,36.84000,37.56000,5234100
2002-05-23,37.56000,38.66000,37.54000,38.37000,6222500
2002-05-24,38.00000,38.71000,37.51000,37.80000,4945900
2002-05-28,37.75000,37.90000,36.95000,37.20000,4890600
2002-05-29,37.10000,37.50000,36.70000,36.97000,5388600
2002-05-30,36.50000,36.78000,35.05000,36.01000,9332200
2002-05-31,36.01000,36.75000,35.87000,35.95000,7764000
2002-06-03,36.00000,36.25000,34.57000,34.66000,7325800
2002-06-04,34.91000,35.65000,34.08000,34.65000,9405000
2002-06-05,34.65000,35.15000,34.22000,34.70000,7263200
2002-06-06,34.87000,34.90000,33.40000,33.69000,7494700
2002-06-07,32.75000,33.99000,32.50000,33.69000,9275100
2002-06-10,33.65000,34.10000,33.18000,33.88000,5536800
2002-06-11,33.98000,34.58000,32.79000,32.93000,6525300
2002-06-12,32.85000,33.31000,31.73000,33.17000,9581500
2002-06-13,33.12000,33.45000,32.50000,32.66000,6041300
2002-06-14,32.35000,33.49000,31.25000,33.00000,9795700
2002-06-17,33.60000,35.49000,33.57000,35.48000,10245100
2002-06-18,35.48000,35.69000,34.78000,35.02000,7572900
2002-06-19,34.70000,35.15000,34.25000,34.61000,6437800
2002-06-20,34.60000,34.60000,33.01000,33.38000,8559200
2002-06-21,32.80000,33.65000,32.79000,32.99000,12353700
2002-06-24,32.25000,33.90000,31.65000,33.18000,10176300
2002-06-25,33.30000,34.35000,32.70000,32.93000,6963000
2002-06-26,30.75000,31.98000,30.15000,31.49000,19122800
2002-06-27,32.05000,33.00000,31.40000,32.72000,9726800
2002-06-28,32.65000,33.92000,32.55000,33.92000,7830000
2002-07-01,33.59000,33.68000,31.35000,31.36000,10082100
2002-07-02,31.02000,31.54000,30.00000,31.23000,12179600
2002-07-03,30.71000,31.15000,30.00000,30.95000,8979400
2002-07-05,31.50000,32.70000,31.15000,32.59000,4612400
2002-07-08,32.59000,32.95000,31.80000,32.28000,7585700
2002-07-09,32.26000,32.75000,31.25000,31.27000,7100300
2002-07-10,31.60000,31.75000,30.06000,30.15000,8858000
2002-07-11,30.00000,30.90000,29.25000,30.57000,11589300
2002-07-12,30.75000,30.95000,29.68000,30.21000,7531200
2002-07-15,29.60000,30.09000,28.44000,30.08000,11558500
2002-07-16,28.90000,29.49000,28.43000,28.50000,14886800
2002-07-17,29.01000,29.85000,27.53000,28.14000,16035100
2002-07-18,27.60000,28.20000,26.91000,27.20000,9790100
2002-07-19,26.55000,27.20000,25.85000,26.10000,12270800
2002-07-22,25.96000,26.65000,24.42000,24.52000,16705900
2002-07-23,23.65000,24.02000,19.80000,20.08000,44908600
2002-07-24,19.01000,23.70000,18.22000,23.30000,46819400
2002-07-25,23.75000,25.50000,21.00000,22.35000,33168200
2002-07-26,23.20000,23.30000,21.05000,22.25000,18050500
2002-07-29,23.75000,25.22000,23.25000,25.10000,18354600
2002-07-30,24.60000,25.50000,23.80000,24.89000,16052300
2002-07-31,24.80000,25.10000,24.11000,24.96000,13790900
2002-08-01,24.96000,25.28000,24.25000,25.02000,12536300
2002-08-02,24.53000,24.90000,23.28000,23.85000,13448400
2002-08-05,22.88000,23.40000,22.10000,22.35000,14479200
2002-08-06,23.50000,24.63000,23.25000,23.65000,14504500
2002-08-07,24.42000,24.55000,23.18000,24.04000,10715900
2002-08-08,25.30000,26.40000,24.82000,26.38000,16995400
2002-08-09,25.60000,26.80000,25.27000,26.35000,12011100
2002-08-12,25.80000,25.81000,25.01000,25.46000,9748200
2002-08-13,24.95000,25.78000,24.30000,24.40000,11024300
2002-08-14,24.40000,25.14000,23.37000,25.14000,15345800
2002-08-15,25.12000,25.58000,24.11000,24.79000,13570400
2002-08-16,24.79000,25.06000,24.19000,24.86000,9678900
2002-08-19,24.98000,27.35000,24.84000,27.21000,13035800
2002-08-20,27.01000,27.11000,26.30000,26.54000,9419200
2002-08-21,26.50000,27.01000,25.98000,26.88000,9146800
2002-08-22,26.40000,26.95000,25.66000,26.69000,11966500
2002-08-23,26.30000,26.43000,25.40000,25.71000,9148500
2002-08-26,25.75000,26.75000,25.65000,26.49000,8705300
2002-08-27,27.00000,27.40000,26.20000,26.75000,9691100
2002-08-28,26.40000,26.75000,26.04000,26.28000,7982600
2002-08-29,25.90000,26.79000,25.66000,26.60000,6932700
2002-08-30,26.25000,27.24000,26.10000,26.40000,7594200
2002-09-03,25.65000,25.66000,24.75000,24.75000,11007600
2002-09-04,24.76000,25.75000,24.25000,25.39000,9968900
2002-09-05,24.63000,24.94000,23.99000,24.10000,11126100
2002-09-06,25.04000,25.13000,23.90000,23.91000,11131700
2002-09-09,23.20000,23.90000,22.08000,23.59000,23679300
2002-09-10,23.90000,23.93000,22.74000,23.15000,11271200
2002-09-11,24.01000,24.01000,22.90000,22.98000,6951000
2002-09-12,22.88000,22.90000,21.86000,22.01000,11703100
2002-09-13,22.01000,22.50000,21.75000,22.04000,10826400
2002-09-16,21.60000,21.90000,21.26000,21.71000,10109200
2002-09-17,22.20000,22.40000,21.34000,21.55000,10284400
2002-09-18,19.06000,20.59000,18.80000,20.44000,46143600
2002-09-19,20.00000,20.34000,19.50000,19.87000,18650600
2002-09-20,20.12000,20.50000,19.90000,20.18000,16576500
2002-09-23,19.56000,19.80000,19.01000,19.25000,13813500
2002-09-24,19.26000,19.30000,18.50000,18.64000,18935000
2002-09-25,19.03000,19.30000,18.32000,18.89000,16291400
2002-09-26,18.89000,19.72000,18.80000,19.27000,16468700
2002-09-27,19.27000,19.75000,18.26000,18.34000,14082400
2002-09-30,18.35000,19.50000,17.86000,18.99000,19837400
2002-10-01,19.15000,20.10000,18.78000,19.74000,15851400
2002-10-02,19.14000,19.79000,18.09000,18.25000,15141200
2002-10-03,18.26000,18.66000,17.60000,17.62000,21175900
2002-10-04,17.63000,18.13000,16.54000,16.54000,21502400
2002-10-07,16.55000,17.25000,16.15000,16.77000,19884300
2002-10-08,17.25000,17.40000,15.84000,16.60000,22978300
2002-10-09,16.05000,16.61000,15.26000,15.45000,27852900
2002-10-10,15.46000,16.35000,15.34000,15.95000,22442500
2002-10-11,16.44000,17.85000,16.40000,17.19000,19016500
2002-10-14,17.01000,17.53000,16.80000,16.88000,10441300
2002-10-15,18.30000,18.72000,18.01000,18.61000,20045700
2002-10-16,18.15000,18.48000,18.00000,18.29000,15243300
2002-10-17,19.60000,19.75000,18.52000,18.79000,13722500
2002-10-18,18.78000,19.49000,18.29000,18.97000,10505200
2002-10-21,18.68000,20.64000,18.55000,20.27000,18375700
2002-10-22,19.98000,20.37000,19.82000,19.91000,11149300
2002-10-23,19.70000,19.85000,18.91000,19.77000,13235400
2002-10-24,20.24000,20.88000,19.65000,19.70000,15584100
2002-10-25,19.52000,20.40000,19.51000,20.37000,9805800
2002-10-28,21.00000,21.61000,20.95000,21.25000,15491700
2002-10-29,20.80000,21.00000,19.90000,20.46000,13296300
2002-10-30,20.50000,21.20000,20.34000,21.05000,9994100
2002-10-31,21.05000,21.18000,20.42000,20.75000,9821000
2002-11-01,20.75000,21.78000,20.51000,21.52000,9145800
2002-11-04,22.35000,23.06000,22.00000,22.01000,13636400
2002-11-05,21.82000,22.59000,21.79000,22.47000,10929600
2002-11-06,22.95000,22.98000,21.24000,22.06000,17198700
2002-11-07,21.20000,21.31000,20.01000,20.60000,19726200
2002-11-08,20.60000,21.13000,20.00000,20.20000,12928700
2002-11-11,20.22000,20.80000,20.00000,20.42000,8165400
2002-11-12,20.31000,20.90000,20.30000,20.54000,9326300
2002-11-13,20.50000,21.10000,20.10000,20.95000,10768000
2002-11-14,21.42000,21.95000,21.42000,21.92000,10599200
2002-11-15,21.93000,22.35000,21.46000,22.09000,12308100
2002-11-18,22.24000,22.40000,21.70000,21.89000,9986300
2002-11-19,21.66000,22.10000,21.63000,21.95000,8207300
2002-11-20,22.30000,23.80000,22.15000,23.72000,19718200
2002-11-21,24.05000,24.89000,23.76000,24.89000,20578600
2002-11-22,24.31000,25.28000,24.31000,24.99000,14654500
2002-11-25,25.00000,25.22000,24.51000,24.95000,10104600
2002-11-26,24.90000,24.96000,24.10000,24.19000,9448600
2002-11-27,24.55000,25.20000,24.40000,25.19000,11766600
2002-11-29,25.40000,25.70000,25.11000,25.17000,4637400
2002-12-02,25.99000,26.14000,24.80000,25.22000,12493900
2002-12-03,25.10000,25.11000,24.40000,24.61000,12677900
2002-12-04,24.62000,25.20000,24.05000,24.70000,9266800
2002-12-05,24.70000,24.71000,23.54000,23.61000,11451300
2002-12-06,22.96000,24.70000,22.80000,24.43000,13236200
2002-12-09,23.86000,24.00000,23.09000,23.26000,9414800
2002-12-10,23.27000,24.20000,23.27000,24.15000,8975700
2002-12-11,23.86000,24.30000,23.70000,24.09000,6803600
2002-12-12,24.09000,24.75000,23.87000,24.15000,8396500
2002-12-13,23.95000,24.05000,23.51000,23.62000,8218200
2002-12-16,23.80000,24.83000,23.55000,24.80000,7942600
2002-12-17,24.80000,25.59000,24.66000,25.02000,11435100
2002-12-18,24.45000,24.58000,23.90000,24.00000,14182700
2002-12-19,24.01000,24.19000,22.86000,23.33000,13923400
2002-12-20,23.80000,24.87000,23.66000,24.87000,15517500
2002-12-23,24.40000,24.99000,24.30000,24.71000,9285700
2002-12-24,24.60000,24.61000,24.03000,24.20000,3772400
2002-12-26,24.20000,24.88000,24.19000,24.45000,5838500
2002-12-27,24.45000,24.46000,23.67000,23.80000,7220200
2002-12-30,24.01000,24.10000,23.61000,23.99000,7389700
2002-12-31,23.99000,24.15000,23.69000,24.00000,6215300
2003-01-02,25.25000,25.50000,24.80000,25.44000,16739100
2003-01-03,25.50000,25.99000,25.20000,25.94000,12525700
2003-01-06,26.00000,28.10000,25.96000,27.98000,22932400
2003-01-07,27.98000,28.29000,27.62000,27.84000,17837500
2003-01-08,27.25000,27.25000,26.51000,26.77000,15857300
2003-01-09,26.85000,27.39000,26.85000,27.30000,11205600
2003-01-10,26.85000,27.69000,26.75000,27.09000,8725900
2003-01-13,27.40000,27.69000,27.21000,27.28000,9290600
2003-01-14,27.50000,27.75000,27.14000,27.59000,8216900
2003-01-15,27.55000,27.64000,26.82000,27.08000,8147800
2003-01-16,27.08000,27.32000,26.51000,26.78000,7734500
2003-01-17,26.35000,26.84000,26.03000,26.19000,9809500
2003-01-21,26.52000,26.60000,25.27000,25.42000,10367800
2003-01-22,25.42000,25.42000,24.60000,24.70000,16066100
2003-01-23,25.10000,25.26000,24.50000,25.13000,8020000
2003-01-24,24.85000,25.13000,23.56000,23.81000,11709500
2003-01-27,23.75000,24.10000,23.06000,23.29000,8787500
2003-01-28,23.60000,23.95000,23.24000,23.51000,10567800
2003-01-29,23.20000,23.66000,22.76000,23.50000,9989200
2003-01-30,23.50000,23.85000,22.83000,23.04000,9122100
2003-01-31,22.75000,23.49000,22.70000,23.34000,9560900
2003-02-03,23.50000,23.87000,23.34000,23.58000,7833000
2003-02-04,23.59000,23.59000,22.75000,23.05000,8152200
2003-02-05,23.25000,23.69000,22.78000,22.94000,8414600
2003-02-06,22.67000,22.73000,22.20000,22.31000,8906400
2003-02-07,22.60000,22.64000,21.80000,21.98000,9526700
2003-02-10,22.00000,22.30000,21.76000,22.10000,9080900
2003-02-11,22.45000,22.45000,21.94000,22.00000,12582400
2003-02-12,22.00000,22.22000,21.51000,21.51000,9567700
2003-02-13,21.50000,21.53000,20.86000,21.29000,10872500
2003-02-14,21.30000,21.95000,21.17000,21.85000,8881000
2003-02-18,22.08000,22.86000,22.07000,22.50000,9225300
2003-02-19,22.50000,22.65000,22.30000,22.50000,8084700
2003-02-20,22.60000,22.80000,22.38000,22.69000,7140000
2003-02-21,22.59000,23.10000,22.15000,22.88000,8525100
2003-02-24,22.89000,22.89000,22.19000,22.30000,7695700
2003-02-25,22.00000,22.55000,21.72000,22.55000,10674500
2003-02-26,22.35000,22.60000,22.10000,22.34000,6608100
2003-02-27,22.40000,23.00000,22.21000,22.66000,8760600
2003-02-28,22.64000,23.00000,22.51000,22.68000,7684900
2003-03-03,23.15000,23.33000,22.66000,22.85000,8083200
2003-03-04,22.85000,22.90000,22.40000,22.40000,7706700
2003-03-05,22.41000,22.81000,22.35000,22.81000,7670600
2003-03-06,22.42000,22.53000,21.96000,22.00000,10613600
2003-03-07,21.69000,22.80000,21.57000,22.29000,9272100
