,open,high,low,close,volume
2019-01-07 09:00:00,100.46000,100.90000,99.72000,100.13000,2572679
2019-01-07 10:00:00,100.14000,100.82900,100.12000,100.79000,1545107
2019-01-07 11:00:00,100.79500,101.01520,100.58000,100.66000,1117332
2019-01-07 12:00:00,100.67000,101.27000,100.64000,101.17000,1120122
2019-01-07 13:00:00,101.16000,101.47000,100.87000,101.33000,1730320
2019-01-07 14:00:00,101.31000,101.31000,100.69000,101.12000,1301995
2019-01-07 15:00:00,101.14000,101.15000,100.71000,100.73000,1355599
2019-01-08 09:00:00,101.57000,101.81000,100.43000,100.65000,2930538
2019-01-08 10:00:00,100.66000,100.67000,99.87000,100.00000,1639381
2019-01-08 11:00:00,99.97000,100.40500,99.60000,100.31000,1298647
2019-01-08 12:00:00,100.31010,100.33000,99.55000,99.78500,1431299
2019-01-08 13:00:00,99.80500,100.52000,99.65790,100.28500,1262601
2019-01-08 14:00:00,100.28000,100.42000,100.05000,100.32000,1801847
2019-01-08 15:00:00,100.34000,100.68000,100.32000,100.59000,1930285
2019-01-09 09:00:00,100.92000,101.48000,100.53000,100.55000,2661877
2019-01-09 10:00:00,100.52000,100.70000,99.93000,100.66000,2062561
2019-01-09 11:00:00,100.65000,101.00000,100.42000,100.83000,1534713
2019-01-09 12:00:00,100.88000,101.05000,100.73000,100.86000,1242100
2019-01-09 13:00:00,100.86000,101.10000,100.49000,100.52000,1404056
2019-01-09 14:00:00,100.52000,100.90000,100.43000,100.62000,1480235
2019-01-09 15:00:00,100.61000,100.71990,100.16000,100.44000,1848137
2019-01-10 09:00:00,100.06000,100.15000,99.29000,99.76000,2522165
2019-01-10 10:00:00,99.79000,100.15000,99.73000,99.91000,1964734
2019-01-10 11:00:00,99.92000,100.28000,99.87000,99.93000,1524655
2019-01-10 12:00:00,99.92000,100.20000,99.60000,99.77000,1428894
2019-01-10 13:00:00,99.81000,100.62000,99.57000,100.39000,1205323
2019-01-10 14:00:00,100.38000,100.66000,100.26000,100.52500,1327768
2019-01-10 15:00:00,100.52000,100.73000,100.37000,100.37000,1545571
2019-01-11 09:00:00,99.89000,99.89000,98.96000,99.04000,3039757
2019-01-11 10:00:00,99.03000,99.67000,99.00000,99.66000,2454745
2019-01-11 11:00:00,99.66000,100.02000,99.66000,99.95000,1940001
2019-01-11 12:00:00,99.94000,100.11000,99.80000,99.92000,1581730
2019-01-11 13:00:00,99.93000,100.10000,99.82100,99.92000,1416228
2019-01-11 14:00:00,99.97000,100.06000,99.84000,100.02000,1354073
2019-01-11 15:00:00,100.03000,100.16000,99.90000,99.91000,2149000
2019-01-14 09:00:00,98.98000,101.00000,98.68000,100.65500,3498477
2019-01-14 10:00:00,100.66000,100.84000,100.11000,100.33000,1857682
2019-01-14 11:00:00,100.34000,101.09000,100.31000,100.99000,1804637
2019-01-14 12:00:00,101.00990,101.24000,100.82000,101.12000,1853717
2019-01-14 13:00:00,101.12700,101.14900,100.65000,100.79000,1426289
2019-01-14 14:00:00,100.76000,101.24500,100.70500,101.15000,2657095
2019-01-14 15:00:00,101.14000,101.35500,100.84550,100.92000,2505053
2019-01-15 09:00:00,98.85000,99.99000,98.62000,99.49000,8619182
2019-01-15 10:00:00,99.50000,100.31000,99.46000,100.28000,3378755
2019-01-15 11:00:00,100.28000,102.46360,100.28000,102.01000,4562684
2019-01-15 12:00:00,102.03000,102.17000,101.49000,101.53000,1944242
2019-01-15 13:00:00,101.54000,101.64000,100.86000,100.93000,2470551
2019-01-15 14:00:00,100.92000,102.05000,100.85000,101.88000,2418706
2019-01-15 15:00:00,101.89000,102.09000,101.56000,101.68000,1935273
2019-01-16 09:00:00,102.41000,102.80000,101.80000,102.38000,4502434
2019-01-16 10:00:00,102.38000,102.71000,101.95000,102.70500,2775012
2019-01-16 11:00:00,102.70000,103.07000,102.45000,103.07000,2535356
2019-01-16 12:00:00,103.08000,103.44000,102.98000,103.31000,1656410
2019-01-16 13:00:00,103.30000,103.44000,102.94000,103.21000,1561333
2019-01-16 14:00:00,103.21000,103.45000,103.00000,103.44500,1627643
2019-01-16 15:00:00,103.44000,103.44000,102.48000,102.50000,2316474
2019-01-17 09:00:00,102.22000,102.95000,101.93000,102.15000,2934580
2019-01-17 10:00:00,102.18000,102.24000,101.94000,102.16000,1844857
2019-01-17 11:00:00,102.14000,102.62000,102.13000,102.43000,1120272
2019-01-17 12:00:00,102.44000,102.91000,102.19000,102.84000,1346337
2019-01-17 13:00:00,102.82000,102.87000,102.52000,102.65000,1123358
2019-01-17 14:00:00,102.67000,103.49690,102.54480,103.10000,2773925
2019-01-17 15:00:00,103.09000,103.15000,102.56500,102.93000,1509201
2019-01-18 09:00:00,103.81000,103.86000,102.84000,103.53000,4980019
2019-01-18 10:00:00,103.58000,104.45500,103.52000,104.43000,1888517
2019-01-18 11:00:00,104.42000,104.84000,104.25000,104.67000,1581763
2019-01-18 12:00:00,104.68000,104.78400,104.50100,104.61000,1457261
2019-01-18 13:00:00,104.64000,104.65000,104.17000,104.28000,1377462
2019-01-18 14:00:00,104.25000,104.57000,104.05220,104.44000,1183860
2019-01-18 15:00:00,104.44000,104.63000,104.28000,104.57000,1592897
2019-01-22 09:00:00,103.47000,103.56500,102.64000,102.91000,3351051
2019-01-22 10:00:00,102.91000,103.48000,102.79500,103.29500,1501815
2019-01-22 11:00:00,103.27000,103.47000,102.65000,102.70000,1733934
2019-01-22 12:00:00,102.69000,102.90000,102.37000,102.55000,1534129
2019-01-22 13:00:00,102.54150,102.74000,102.33000,102.35000,1287306
2019-01-22 14:00:00,102.35000,102.49000,102.13640,102.40000,1778818
2019-01-22 15:00:00,102.41000,102.95000,102.17000,102.95000,2167983
2019-01-23 09:00:00,103.23000,103.68000,103.01000,103.04000,2525077
2019-01-23 10:00:00,103.05000,103.12000,102.52000,102.69500,1563026
2019-01-23 11:00:00,102.69000,102.69000,101.96500,102.21000,1500606
2019-01-23 12:00:00,102.18000,102.76000,102.18000,102.65000,1105911
2019-01-23 13:00:00,102.67000,103.02000,102.55000,102.94000,1150612
2019-01-23 14:00:00,102.92000,102.98000,102.48000,102.87840,1361485
2019-01-23 15:00:00,102.87000,102.87000,102.53000,102.69000,1354341
2019-01-24 09:00:00,102.15000,103.09000,101.99000,102.98000,2249939
2019-01-24 10:00:00,102.99500,103.04000,102.43000,102.56780,1178000
2019-01-24 11:00:00,102.58000,103.03000,102.52000,102.87000,1101146
2019-01-24 12:00:00,102.86000,102.98100,102.31000,102.38200,857725
2019-01-24 13:00:00,102.40000,102.73000,102.16000,102.55500,1014155
2019-01-24 14:00:00,102.55000,102.97250,102.39010,102.93000,1092260
2019-01-24 15:00:00,102.93000,102.93500,102.62000,102.74000,1482320
2019-01-25 09:00:00,103.45000,103.89000,102.76000,103.59000,2900809
2019-01-25 10:00:00,103.60330,103.87000,103.29000,103.50000,1455554
2019-01-25 11:00:00,103.50000,104.31000,103.45000,104.28000,1457416
