,open,high,low,close,volume
2021-04-29 15:35:00,154.98000,155.09000,154.85001,154.99001,177924
2021-04-29 15:40:00,154.99989,155.12000,154.96001,155.11990,100419
2021-04-29 15:45:00,155.11800,155.25000,155.06000,155.11000,266583
2021-04-29 15:50:00,155.13000,155.16000,155.00999,155.11501,253185
2021-04-29 15:55:00,155.12000,155.21001,154.89999,155.12000,624882
2021-04-30 09:30:00,154.03000,154.27271,153.47000,153.69000,517949
2021-04-30 09:35:00,153.73000,153.84000,153.28999,153.42860,196055
2021-04-30 09:40:00,153.36000,153.70000,153.34000,153.67999,161479
2021-04-30 09:45:00,153.67000,154.17999,153.63000,154.15500,180088
2021-04-30 09:50:00,154.17999,154.47501,154.16000,154.36000,272374
2021-04-30 09:55:00,154.37000,154.45000,154.13000,154.30859,120545
2021-04-30 10:00:00,154.28999,154.37000,153.98000,154.27000,157175
2021-04-30 10:05:00,154.32820,154.37000,154.14999,154.27000,105558
2021-04-30 10:10:00,154.28999,154.36000,153.97000,154.11000,113350
2021-04-30 10:15:00,154.10001,154.12100,153.85001,154.00999,135597
2021-04-30 10:20:00,154.00000,154.05000,153.69000,153.88000,167895
2021-04-30 10:25:00,153.94000,154.16000,153.77000,153.99001,169043
2021-04-30 10:30:00,154.00000,154.14000,153.70000,153.81000,164089
2021-04-30 10:35:00,153.81500,153.92000,153.34000,153.57001,151579
2021-04-30 10:40:00,153.55000,153.69000,153.44000,153.53999,80603
2021-04-30 10:45:00,153.53999,153.53999,153.27000,153.35001,78217
2021-04-30 10:50:00,153.34000,153.56680,153.33501,153.45000,73814
2021-04-30 10:55:00,153.45000,153.69980,153.39000,153.62000,78277
2021-04-30 11:00:00,153.64000,153.64000,153.41000,153.60001,80518
2021-04-30 11:05:00,153.60001,153.73000,153.37000,153.44000,119915
2021-04-30 11:10:00,153.42999,153.53000,153.35500,153.43500,136663
2021-04-30 11:15:00,153.42999,153.60201,153.28000,153.36000,216818
2021-04-30 11:20:00,153.36501,153.57001,153.36501,153.37000,186350
2021-04-30 11:25:00,153.37000,153.42999,153.19000,153.27010,175363
2021-04-30 11:30:00,153.28000,153.30000,153.11000,153.21001,141969
2021-04-30 11:35:00,153.19000,153.25999,153.03999,153.10001,159403
2021-04-30 11:40:00,153.10001,153.19000,153.00999,153.14999,92104
2021-04-30 11:45:00,153.13000,153.32001,153.07001,153.30000,82123
2021-04-30 11:50:00,153.28999,153.30000,153.17000,153.30000,57250
2021-04-30 11:55:00,153.31000,153.39000,153.28000,153.37000,55650
2021-04-30 12:00:00,153.38000,153.50999,153.31200,153.48000,51563
2021-04-30 12:05:00,153.46989,153.50000,153.40530,153.42500,50230
2021-04-30 12:10:00,153.42731,153.55000,153.42731,153.46001,49420
2021-04-30 12:15:00,153.45000,153.48010,153.27000,153.34000,102402
2021-04-30 12:20:00,153.34261,153.49001,153.34000,153.37000,177799
2021-04-30 12:25:00,153.35001,153.43500,153.33000,153.34500,71496
2021-04-30 12:30:00,153.33000,153.39999,153.22000,153.38000,87968
2021-04-30 12:35:00,153.37500,153.41000,153.33000,153.41000,64452
2021-04-30 12:40:00,153.40500,153.42000,153.27000,153.30499,135925
2021-04-30 12:45:00,153.31000,153.42000,153.28000,153.30000,136121
2021-04-30 12:50:00,153.31000,153.39861,153.30000,153.30130,52837
2021-04-30 12:55:00,153.31000,153.44000,153.25000,153.42999,70425
2021-04-30 13:00:00,153.43500,153.43500,153.28011,153.30000,48862
2021-04-30 13:05:00,153.32001,153.56000,153.32001,153.53999,44973
2021-04-30 13:10:00,153.53999,153.57001,153.37601,153.38000,51040
2021-04-30 13:15:00,153.37000,153.40500,153.30000,153.35500,54490
2021-04-30 13:20:00,153.35001,153.59000,153.35001,153.57001,62950
2021-04-30 13:25:00,153.58549,153.68860,153.54500,153.67999,61967
2021-04-30 13:30:00,153.67999,153.78999,153.67999,153.75999,68963
2021-04-30 13:35:00,153.77000,153.89999,153.75000,153.89999,64556
2021-04-30 13:40:00,153.89000,153.95000,153.80000,153.85001,106741
2021-04-30 13:45:00,153.84500,153.85001,153.70000,153.78000,67473
2021-04-30 13:50:00,153.78000,153.78000,153.53999,153.59000,99307
2021-04-30 13:55:00,153.59000,153.60001,153.48000,153.59000,117892
2021-04-30 14:00:00,153.62000,153.72000,153.46260,153.50999,76710
2021-04-30 14:05:00,153.52000,153.64000,153.48500,153.57001,66289
2021-04-30 14:10:00,153.55499,153.66000,153.50999,153.61000,74822
2021-04-30 14:15:00,153.62000,153.78000,153.61501,153.74001,69218
2021-04-30 14:20:00,153.74500,153.81000,153.62830,153.63000,99559
2021-04-30 14:25:00,153.64999,153.75000,153.58000,153.71500,81299
2021-04-30 14:30:00,153.71001,153.83000,153.67999,153.75000,74820
2021-04-30 14:35:00,153.75000,153.75999,153.64000,153.73000,89593
2021-04-30 14:40:00,153.73981,153.78999,153.66000,153.72000,73070
2021-04-30 14:45:00,153.70000,153.71500,153.63000,153.69501,50308
