,open,high,low,close,volume
2020-10-22 15:15:00,214.78000,215.45000,214.71001,215.41000,503834
2020-10-22 15:30:00,215.42000,215.69000,215.08000,215.17000,693233
2020-10-22 15:45:00,215.16000,215.36000,214.31000,214.89000,1605462
2020-10-23 09:30:00,215.15199,215.28999,213.16000,213.57001,1726976
2020-10-23 09:45:00,213.61000,214.62990,213.37000,214.38000,1037457
2020-10-23 10:00:00,214.32001,214.72000,213.53011,214.72000,679842
2020-10-23 10:15:00,214.78999,215.34000,214.58000,215.06210,663175
2020-10-23 10:30:00,215.03000,215.73000,214.73000,214.98500,674061
2020-10-23 10:45:00,214.94000,215.26990,214.43500,215.03999,510104
2020-10-23 11:00:00,215.03999,215.59000,214.89999,215.37000,517601
2020-10-23 11:15:00,215.37000,215.37000,214.16000,214.49001,583136
2020-10-23 11:30:00,214.48500,214.70000,213.80000,214.42000,496374
2020-10-23 11:45:00,214.41000,214.85001,213.98000,214.85001,413377
2020-10-23 12:00:00,214.84000,215.19000,214.57001,215.03000,478184
2020-10-23 12:15:00,215.03999,215.33000,214.28000,214.87010,669850
2020-10-23 12:30:00,214.86000,215.25000,214.71001,215.20000,487551
2020-10-23 12:45:00,215.17999,215.28000,214.62000,214.78000,406710
2020-10-23 13:00:00,214.78999,215.39999,214.78999,215.19000,366422
2020-10-23 13:15:00,215.19000,215.53999,215.02010,215.39999,386624
2020-10-23 13:30:00,215.39999,215.48000,215.02000,215.03999,279992
2020-10-23 13:45:00,215.03000,215.23500,214.89000,214.98000,344499
2020-10-23 14:00:00,215.00000,215.53999,214.94000,215.24500,328207
2020-10-23 14:15:00,215.24001,215.58000,215.19000,215.56500,432026
2020-10-23 14:30:00,215.55460,215.60010,215.21001,215.44000,544507
2020-10-23 14:45:00,215.45000,215.64000,215.37000,215.46001,402808
2020-10-23 15:00:00,215.45000,215.86000,215.39000,215.85001,522407
2020-10-23 15:15:00,215.86000,215.92999,215.72000,215.87000,554880
2020-10-23 15:30:00,215.87199,216.25999,215.64999,216.13000,682706
2020-10-23 15:45:00,216.13000,216.28000,215.92000,216.25999,1292077
2020-10-26 09:30:00,213.84000,215.20000,213.64999,214.81000,2034958
2020-10-26 09:45:00,214.81000,215.92000,214.32001,215.59000,897185
2020-10-26 10:00:00,215.57750,216.33990,215.55000,215.85001,968871
2020-10-26 10:15:00,215.84000,216.30000,214.70000,214.83000,879543
2020-10-26 10:30:00,214.81000,214.81900,213.51010,214.14830,1095401
2020-10-26 10:45:00,214.14999,214.25650,212.81000,213.00000,1136695
2020-10-26 11:00:00,213.00999,213.00999,211.63000,211.99001,1450549
2020-10-26 11:15:00,211.36501,211.96001,210.64011,210.71001,1705562
2020-10-26 11:30:00,210.71001,210.83000,209.77000,210.03990,1583462
2020-10-26 11:45:00,210.05321,211.26320,210.03000,210.78000,1243086
2020-10-26 12:00:00,210.77000,211.08000,210.38000,210.75500,1084822
2020-10-26 12:15:00,210.74001,211.30000,210.48000,211.13000,906794
2020-10-26 12:30:00,211.12000,211.12000,210.00000,210.10001,885772
2020-10-26 12:45:00,210.09500,210.14999,209.57001,209.68500,1022647
2020-10-26 13:00:00,209.64999,209.85001,209.31000,209.53999,880266
2020-10-26 13:15:00,209.53000,209.61000,208.53000,208.69000,1279305
2020-10-26 13:30:00,208.69000,208.97000,208.10001,208.90739,1199408
2020-10-26 13:45:00,208.89011,209.56000,208.75999,209.50000,929677
2020-10-26 14:00:00,209.49001,209.84621,209.27000,209.39999,915159
2020-10-26 14:15:00,209.45000,210.15970,209.44000,210.05000,624803
2020-10-26 14:30:00,210.07001,210.35001,209.72501,209.75000,629647
2020-10-26 14:45:00,209.73000,210.07401,209.20000,209.92000,781169
2020-10-26 15:00:00,209.96001,210.20000,209.25999,209.38000,923864
2020-10-26 15:15:00,209.35001,209.83000,209.14130,209.63000,846756
2020-10-26 15:30:00,209.58099,209.98000,209.12000,209.33000,1416311
2020-10-26 15:45:00,209.32001,210.31000,208.85001,210.14999,2788185
2020-10-27 09:30:00,211.13000,211.88000,210.57001,211.88000,1537184
2020-10-27 09:45:00,211.86000,212.39999,211.64500,211.90500,1403729
2020-10-27 10:00:00,211.90500,212.03000,211.28999,211.53000,840424
2020-10-27 10:15:00,211.53999,211.70000,210.32899,210.71001,973489
2020-10-27 10:30:00,210.71001,211.66991,210.58000,211.64000,831294
2020-10-27 10:45:00,211.64999,212.38000,211.61000,211.71001,865957
2020-10-27 11:00:00,211.72000,212.42999,211.68500,212.34000,742546
2020-10-27 11:15:00,212.35001,212.53999,211.99001,212.02209,752402
2020-10-27 11:30:00,212.03000,213.23000,211.89999,212.67979,1046381
2020-10-27 11:45:00,212.70000,213.17000,212.64999,213.09000,631793
2020-10-27 12:00:00,213.07001,213.39999,212.58000,212.58000,730849
2020-10-27 12:15:00,212.60500,213.09000,212.60500,212.71001,817626
2020-10-27 12:30:00,212.73000,213.10001,212.42999,212.63000,647652
2020-10-27 12:45:00,212.64500,213.39000,212.57001,213.36000,526117
2020-10-27 13:00:00,213.36000,213.60001,213.07210,213.19000,589110
2020-10-27 13:15:00,213.17000,213.46001,212.77000,213.28000,712160
2020-10-27 13:30:00,213.28000,214.10001,213.25000,214.02000,791400
2020-10-27 13:45:00,214.02000,214.47000,213.91040,214.11000,932005
2020-10-27 14:00:00,214.11000,214.24001,213.44000,213.66000,773476
2020-10-27 14:15:00,213.67000,213.94000,213.17000,213.86000,787906
2020-10-27 14:30:00,213.85001,213.88000,213.23000,213.37000,724160
2020-10-27 14:45:00,213.37000,214.09000,213.09000,213.82001,853804
2020-10-27 15:00:00,213.82530,214.13000,213.47000,213.91000,1146140
2020-10-27 15:15:00,213.91000,214.52000,213.64000,214.39000,1237678
2020-10-27 15:30:00,214.38000,214.63000,214.03000,214.59990,1462740
2020-10-27 15:45:00,214.60001,214.67000,213.06000,213.14000,3370687
2020-10-28 09:30:00,207.67999,208.84000,206.71001,207.27000,4995350
2020-10-28 09:45:00,207.24001,207.99001,205.33000,206.16499,2823236
2020-10-28 10:00:00,206.14000,206.14000,204.39999,205.34430,2422232
2020-10-28 10:15:00,205.32001,205.37000,204.50999,204.89000,2085969
2020-10-28 10:30:00,204.84151,206.64000,204.64999,205.48000,2494893
2020-10-28 10:45:00,205.45000,205.60001,204.42000,205.07001,1749098
2020-10-28 11:00:00,205.05000,205.72990,204.50999,205.50000,1438059
2020-10-28 11:15:00,205.50000,205.69000,204.75999,204.92999,1201605
2020-10-28 11:30:00,204.92000,205.60001,204.58720,205.52000,1100544
2020-10-28 11:45:00,205.50000,205.87869,205.10429,205.26500,1275957
2020-10-28 12:00:00,205.25999,205.53999,204.95110,205.34000,980959
2020-10-28 12:15:00,205.35001,205.50000,204.89999,205.00999,819840
2020-10-28 12:30:00,205.03000,205.25999,204.72000,204.95500,843663
2020-10-28 12:45:00,204.96001,205.13000,204.61000,204.70000,725264
2020-10-28 13:00:00,204.69000,204.71730,204.08000,204.36000,1121845
2020-10-28 13:15:00,204.36000,204.58170,204.00999,204.58170,823179
2020-10-28 13:30:00,204.55000,205.36000,204.48000,204.89500,905939
2020-10-28 13:45:00,204.89000,205.28000,204.67999,205.25999,500683
2020-10-28 14:00:00,205.25999,205.25999,204.50999,204.60970,779291
2020-10-28 14:15:00,204.59000,204.91000,204.20000,204.88000,788550
2020-10-28 14:30:00,204.86000,205.08000,204.23000,204.49001,817012
2020-10-28 14:45:00,204.48000,205.23000,204.12000,205.17999,1163982
2020-10-28 15:00:00,205.17999,205.25999,204.38499,205.02000,1124820
2020-10-28 15:15:00,204.84489,205.37000,204.42000,205.06000,1182721
2020-10-28 15:30:00,205.07001,205.92000,204.42000,204.46500,1200052
2020-10-28 15:45:00,204.48000,204.74001,202.10001,202.50000,5041294
2020-10-29 09:30:00,203.95650,205.07001,203.50000,203.96001,3038947
