,open,high,low,close,volume
2019-06-20 10:00:00,137.45000,137.66000,136.28000,136.61760,9004820
2019-06-20 12:00:00,136.62000,136.88000,135.76500,136.27499,6265827
2019-06-20 14:00:00,136.28000,136.89999,135.94000,136.84500,5347276
2019-06-20 16:00:00,136.84500,137.31000,136.75500,136.89000,3949627
2019-06-21 10:00:00,136.58000,137.73000,136.46001,137.39000,3698050
2019-06-21 12:00:00,137.39000,137.57001,136.92000,137.12500,3807607
2019-06-21 14:00:00,137.12070,137.35001,136.72000,137.13000,4233549
2019-06-21 16:00:00,137.14000,137.32001,136.87000,136.95000,2616631
2019-06-24 10:00:00,137.00000,138.00000,137.00000,137.96001,5334106
2019-06-24 12:00:00,137.96001,138.39999,137.92000,138.00500,4507788
2019-06-24 14:00:00,138.00000,138.06000,137.59000,137.73560,3508596
2019-06-24 16:00:00,137.74001,138.00000,137.71001,137.80000,2317970
2019-06-25 10:00:00,137.25000,137.59000,134.47000,134.89000,11649510
2019-06-25 12:00:00,134.89999,134.95000,133.39999,133.92000,6886607
2019-06-25 14:00:00,133.92000,134.25999,132.73000,133.17999,6680016
2019-06-25 16:00:00,133.17000,133.63000,132.91000,133.42999,4321776
2019-06-26 10:00:00,134.35001,135.74001,134.35001,135.08000,8657504
2019-06-26 12:00:00,135.09500,135.12000,134.36501,134.37000,3713410
2019-06-26 14:00:00,134.36000,134.44000,133.60001,133.98000,4546710
2019-06-26 16:00:00,133.98500,134.22501,133.83000,133.92000,1872005
2019-06-27 10:00:00,134.14000,134.71001,133.50999,133.69000,5782857
2019-06-27 12:00:00,133.70000,134.23000,133.58000,134.16000,2985791
2019-06-27 14:00:00,134.17000,134.48000,134.06000,134.25000,2603296
2019-06-27 16:00:00,134.25999,134.34000,134.00999,134.24001,1844397
2019-06-28 10:00:00,134.57001,134.60001,133.35001,133.46001,4430401
2019-06-28 12:00:00,133.46500,134.17000,133.37000,133.52000,3148813
2019-06-28 14:00:00,133.52000,133.59000,133.19000,133.23500,3346682
2019-06-28 16:00:00,133.24001,134.19000,133.16000,133.87000,5418354
2019-07-01 10:00:00,136.63000,136.70000,135.70000,135.85500,8160632
2019-07-01 12:00:00,135.86000,136.19000,135.21001,135.47000,3720924
2019-07-01 14:00:00,135.46001,135.53999,134.97000,135.41000,4365495
2019-07-01 16:00:00,135.42000,135.75000,135.38280,135.47000,2390902
2019-07-02 10:00:00,136.12000,136.16000,135.34000,136.07001,4870164
2019-07-02 12:00:00,136.07001,136.14000,135.62000,136.09000,2975478
2019-07-02 14:00:00,136.09500,136.31500,135.97000,136.22000,3144066
2019-07-02 16:00:00,136.21500,136.59000,136.17000,136.57001,1987466
2019-07-03 10:00:00,136.82001,137.70500,136.33000,137.17999,6873388
2019-07-03 12:00:00,137.18500,137.45000,137.10001,137.31000,2165164
2019-07-03 14:00:00,137.32001,137.60001,137.17999,137.49950,0
2019-07-05 10:00:00,136.67000,136.89999,135.72000,136.16000,6290421
2019-07-05 12:00:00,136.15500,136.70000,135.80000,136.70000,3104696
2019-07-05 14:00:00,136.70000,137.33000,136.56000,137.20000,2700614
2019-07-05 16:00:00,137.20000,137.25000,136.81000,136.97501,1900487
2019-07-08 10:00:00,136.39999,136.63000,135.37010,136.35001,6738577
2019-07-08 12:00:00,136.35001,136.64000,136.06000,136.53000,2525120
2019-07-08 14:00:00,136.53999,137.03999,136.37000,136.94000,2731968
2019-07-08 16:00:00,136.94000,137.10001,136.88000,136.98000,1755037
2019-07-09 10:00:00,136.00000,136.77000,135.80000,136.44000,6948427
2019-07-09 12:00:00,136.44501,136.97000,136.28000,136.85500,3090741
2019-07-09 14:00:00,136.85001,136.94000,136.24001,136.25999,3151284
2019-07-09 16:00:00,136.25999,136.64000,136.21500,136.47000,2598329
2019-07-10 10:00:00,137.20500,138.58000,137.12000,137.53000,8605060
2019-07-10 12:00:00,137.52000,137.89999,137.30000,137.64000,3106544
2019-07-10 14:00:00,137.64000,137.95000,137.11000,137.35001,4170439
2019-07-10 16:00:00,137.35001,137.96001,137.32500,137.86000,3054559
2019-07-11 10:00:00,138.30000,139.19000,138.06000,139.17000,7900102
2019-07-11 12:00:00,139.16000,139.22000,138.53999,138.55341,3918701
2019-07-11 14:00:00,138.55499,138.63000,137.87000,137.89000,4914975
2019-07-11 16:00:00,137.89999,138.48000,137.89000,138.39999,2923434
2019-07-12 10:00:00,138.85001,139.13000,138.00990,138.74500,6731136
2019-07-12 12:00:00,138.74500,138.87000,138.61000,138.77000,2837168
2019-07-12 14:00:00,138.78000,138.84410,138.63000,138.69000,2639616
2019-07-12 16:00:00,138.69000,138.98000,138.64000,138.89000,3029872
2019-07-15 10:00:00,139.44000,139.53999,138.46001,138.82880,6102205
2019-07-15 12:00:00,138.82970,138.92999,138.69000,138.84200,2467169
2019-07-15 14:00:00,138.84500,139.00000,138.75000,138.85339,2832166
2019-07-15 16:00:00,138.85001,138.95000,138.64999,138.94000,2208453
2019-07-16 10:00:00,138.96001,139.05000,137.09000,137.14410,8244181
2019-07-16 12:00:00,137.14000,137.46001,136.52000,137.28310,4887039
2019-07-16 14:00:00,137.28000,137.45000,136.59000,136.95000,4267899
2019-07-16 16:00:00,136.95000,137.17999,136.82001,137.03000,2335814
2019-07-17 10:00:00,137.70000,137.92999,136.98000,137.06000,6518569
2019-07-17 12:00:00,137.05000,137.25500,136.86000,137.03230,3298010
2019-07-17 14:00:00,137.03999,137.41000,136.99001,137.12000,3113504
2019-07-17 16:00:00,137.13000,137.30000,136.28000,136.39500,2994115
2019-07-18 10:00:00,135.55000,136.45000,134.86000,135.39000,7813484
2019-07-18 12:00:00,135.38000,135.39000,134.67000,135.18500,5777570
2019-07-18 14:00:00,135.18649,136.27000,134.89999,135.78000,6039363
2019-07-18 16:00:00,135.78000,136.62000,135.69000,136.28999,3685517
2019-07-19 10:00:00,139.82001,140.00999,138.46001,138.85001,22869401
2019-07-19 12:00:00,138.85500,139.03000,138.03000,138.11450,7019034
2019-07-19 14:00:00,138.12000,138.22000,136.46001,136.94501,9663658
2019-07-19 16:00:00,136.95000,137.11000,136.45000,136.60001,4465794
2019-07-22 10:00:00,137.46001,139.19000,137.33000,138.35500,12185404
2019-07-22 12:00:00,138.35400,138.64000,138.14999,138.18350,3247240
