time,open,high,low,close,volume
2021-07-02 20:00:00,159.95,159.95,159.55,159.55,410
2021-07-02 18:00:00,159.7399,159.9799,159.7399,159.9799,738
2021-07-02 17:00:00,159.74,159.75,159.69,159.74,133818
2021-07-02 16:00:00,159.665,159.97,159.49,159.72,1337098
2021-07-02 15:00:00,159.83,159.85,159.375,159.67,517098
2021-07-02 14:00:00,159.43,159.87,159.13,159.85,664884
2021-07-02 13:00:00,159.485,159.61,159.29,159.41,603253
2021-07-02 12:00:00,159.47,159.5,158.88,159.5,597285
2021-07-02 11:00:00,158.4,159.66,158.4,159.4865,864034
2021-07-02 10:00:00,158.28,159.05,157.64,158.4,1133572
2021-07-02 09:00:00,158.2,158.2986,157.55,158.2986,10410
2021-07-02 07:00:00,158.33,158.33,158.05,158.05,1351
2021-07-02 06:00:00,158.3,158.3,158.3,158.3,119
2021-07-01 20:00:00,157.97,158.0,157.97,158.0,1442
2021-07-01 19:00:00,157.8,157.97,157.55,157.97,5182
2021-07-01 18:00:00,158.0,158.21,158.0,158.15,5938
2021-07-01 17:00:00,158.0,158.01,152.36,157.79,98762
2021-07-01 16:00:00,157.84,158.21,157.5,158.02,2008910
2021-07-01 15:00:00,157.0601,157.85,157.0,157.84,734868
2021-07-01 14:00:00,157.13,157.42,156.97,157.065,601570
2021-07-01 13:00:00,157.31,157.4089,156.95,157.11,698772
2021-07-01 12:00:00,157.4499,157.76,157.07,157.29,1229153
2021-07-01 11:00:00,155.745,157.77,155.56,157.405,1871826
2021-07-01 10:00:00,154.79,155.9,153.89,155.7407,967708
2021-07-01 09:00:00,154.49,154.88,154.49,154.7,1656
2021-07-01 07:00:00,154.9,154.9,154.9,154.9,280
2021-07-01 05:00:00,154.92,155.0,154.92,155.0,301
2021-06-30 20:00:00,154.65,154.99,154.65,154.99,2475
2021-06-30 19:00:00,154.49,154.65,154.49,154.575,700
2021-06-30 18:00:00,154.55,154.65,154.55,154.65,1130
2021-06-30 17:00:00,154.49,154.65,154.21,154.49,1763208
2021-06-30 16:00:00,153.835,154.6,153.68,154.41,1678538
2021-06-30 15:00:00,154.485,154.485,153.62,153.82,696037
2021-06-30 14:00:00,153.88,154.51,153.86,154.4818,619514
2021-06-30 13:00:00,154.18,154.39,153.61,153.88,571299
2021-06-30 12:00:00,153.99,154.27,153.85,154.17,662507
2021-06-30 11:00:00,153.915,154.675,153.655,153.97,1265243
2021-06-30 10:00:00,155.4144,155.5,153.52,153.92,1247429
2021-06-30 09:00:00,155.8,156.03,155.4201,155.43,4637
2021-06-30 08:00:00,155.5,155.8,155.5,155.8,4286
2021-06-30 07:00:00,155.45,155.5,155.45,155.5,618
2021-06-30 06:00:00,155.33,155.35,155.28,155.35,700
2021-06-30 05:00:00,156.06,156.06,156.0,156.0,480
2021-06-29 20:00:00,156.16,156.25,156.06,156.06,6715
2021-06-29 19:00:00,156.05,156.2,156.05,156.15,5868
2021-06-29 18:00:00,155.95,156.1,155.95,156.09,4917
2021-06-29 17:00:00,155.95,155.95,155.62,155.81,375174
2021-06-29 16:00:00,155.72,156.08,155.53,155.96,1853070
2021-06-29 15:00:00,155.285,155.89,155.2,155.71,868963
2021-06-29 14:00:00,154.975,155.32,154.8604,155.29,637419
2021-06-29 13:00:00,155.68,156.0,154.869,154.9821,826687
2021-06-29 12:00:00,155.74,156.34,155.56,155.68,1129399
2021-06-29 11:00:00,154.15,156.4,154.15,155.7485,1906415
2021-06-29 10:00:00,152.125,154.929,151.9,154.17,1959969
2021-06-29 09:00:00,152.0101,152.36,151.9,152.01,8707
2021-06-29 08:00:00,152.3,152.54,151.95,152.3,5290
2021-06-29 07:00:00,151.84,151.84,151.84,151.84,202
2021-06-29 05:00:00,152.36,152.36,152.36,152.36,757
2021-06-28 20:00:00,152.38,152.5,152.38,152.45,1444
2021-06-28 19:00:00,152.33,152.33,152.2,152.21,600
2021-06-28 18:00:00,152.52,152.52,152.51,152.51,1317
2021-06-28 17:00:00,152.36,152.56,152.24,152.55,303543
2021-06-28 16:00:00,152.47,152.75,151.92,152.39,1914291
2021-06-28 15:00:00,152.275,153.29,152.275,152.47,1147698
2021-06-28 14:00:00,152.2,152.53,152.07,152.275,843476
2021-06-28 13:00:00,152.3,152.43,151.98,152.18,1009335
2021-06-28 12:00:00,152.41,152.54,151.99,152.3,1223949
2021-06-28 11:00:00,152.08,153.13,151.51,152.4,2223353
2021-06-28 10:00:00,153.5,154.3,151.76,152.1,3731739
2021-06-28 09:00:00,153.9799,154.1,153.11,153.62,124844
2021-06-28 08:00:00,153.65,154.4,153.4,153.4,32375
2021-06-28 07:00:00,153.79,153.8,153.63,153.63,5063
2021-06-28 06:00:00,153.9,154.01,153.9,154.01,2471
2021-06-28 05:00:00,154.95,155.5,153.49,153.6,13844
2021-06-25 20:00:00,154.52,154.75,154.45,154.75,25273
2021-06-25 19:00:00,154.63,154.75,154.5,154.51,18352
2021-06-25 18:00:00,154.65,154.83,154.5,154.65,319759
2021-06-25 17:00:00,154.35,154.65,153.554707,154.65,750165
2021-06-25 16:00:00,153.67,154.59,153.45,154.35,6282733
2021-06-25 15:00:00,153.31,153.73,153.24,153.67,2526711
2021-06-25 14:00:00,152.73,153.7,152.59,153.3,2895583
2021-06-25 13:00:00,151.81,153.28,151.73,152.74,3459692
2021-06-25 12:00:00,151.525,152.65,151.5,151.81,3810680
2021-06-25 11:00:00,152.84,153.5,151.02,151.525,8469521
2021-06-25 10:00:00,151.0,154.1899,150.48,152.84,15589605
2021-06-25 09:00:00,150.2899,152.28,149.61,151.04,677963
2021-06-25 08:00:00,149.61,151.5,149.48,150.51,329292
2021-06-25 07:00:00,149.11,150.71,149.05,149.5,75169
2021-06-25 06:00:00,149.39,149.79,148.53,149.4,42329
2021-06-25 05:00:00,149.7,151.0,148.07,149.4,151874
2021-06-24 20:00:00,150.08,152.77,149.75,152.44,497862
2021-06-24 19:00:00,150.4,150.65,149.26,150.0,918348
2021-06-24 18:00:00,140.09,150.5,139.84,150.48,1613839
2021-06-24 17:00:00,133.6,140.42,133.6,139.98,1282814
2021-06-24 16:00:00,133.595,133.76,133.35,133.6,1636806
2021-06-24 15:00:00,133.38,133.69,133.28,133.595,601785
2021-06-24 14:00:00,133.51,133.79,133.27,133.39,593680
2021-06-24 13:00:00,133.125,133.65,133.08,133.52,595747
2021-06-24 12:00:00,133.5,133.74,132.9,133.13,938167
2021-06-24 11:00:00,134.09,134.26,133.435,133.5,1022190
2021-06-24 10:00:00,133.59,134.815,133.37,134.08,1131706
2021-06-24 09:00:00,133.7779,133.9803,133.432,133.65,8191
2021-06-24 08:00:00,133.6,133.75,133.5,133.74,1279
2021-06-24 07:00:00,133.65,133.65,133.65,133.65,533
2021-06-24 06:00:00,133.62,133.65,133.62,133.65,646
2021-06-23 20:00:00,133.32,133.35,133.32,133.35,1420
2021-06-23 19:00:00,133.34,133.34,133.2,133.3,3109
2021-06-23 18:00:00,133.25,133.35,133.11,133.3,2283
2021-06-23 17:00:00,133.1,133.25,133.1,133.25,64379
2021-06-23 16:00:00,132.97,133.49,132.88,133.09,1039161
2021-06-23 15:00:00,132.94,133.09,132.84,132.97,366500
2021-06-23 14:00:00,133.1,133.25,132.91,132.935,334340
2021-06-23 13:00:00,133.04,133.36,132.83,133.09,392262
2021-06-23 12:00:00,133.69,133.7,132.91,133.04,492962
2021-06-23 11:00:00,132.85,133.7,132.75,133.68,820431
