,open,high,low,close,volume
2021-07-14 10:39:00,162.10001,162.10750,161.92500,161.97000,8739
2021-07-14 10:40:00,161.96030,162.07001,161.95000,161.97000,5016
2021-07-14 10:41:00,161.97000,162.14000,161.97000,162.14000,9404
2021-07-14 10:42:00,162.10500,162.17999,162.10001,162.17999,4965
2021-07-14 10:43:00,162.17000,162.22000,162.14999,162.20010,12409
2021-07-14 10:44:00,162.26500,162.26500,162.19000,162.24001,6608
2021-07-14 10:45:00,162.25999,162.27000,162.19000,162.22000,6167
2021-07-14 10:46:00,162.23000,162.23000,162.20000,162.23000,3645
2021-07-14 10:47:00,162.25999,162.34000,162.24001,162.34000,5941
2021-07-14 10:48:00,162.28999,162.47000,162.27000,162.47000,5289
2021-07-14 10:49:00,162.46001,162.50500,162.42999,162.50500,8654
2021-07-14 10:50:00,162.52000,162.54990,162.47000,162.48000,4688
2021-07-14 10:51:00,162.49001,162.49001,162.30000,162.32001,9348
2021-07-14 10:52:00,162.28300,162.28300,162.23000,162.23000,2616
2021-07-14 10:53:00,162.24001,162.28999,162.19501,162.21001,10922
2021-07-14 10:54:00,162.19000,162.28999,162.19000,162.27499,8121
2021-07-14 10:55:00,162.26781,162.27000,162.21001,162.27000,4056
2021-07-14 10:56:00,162.21001,162.35001,162.21001,162.35001,6012
2021-07-14 10:57:00,162.36000,162.44000,162.35001,162.37500,18128
2021-07-14 10:58:00,162.38000,162.45000,162.38000,162.45000,6608
2021-07-14 10:59:00,162.44000,162.50999,162.44000,162.50999,7090
2021-07-14 11:00:00,162.52000,162.52000,162.27000,162.31000,9055
2021-07-14 11:01:00,162.33501,162.33501,162.24001,162.24001,3782
2021-07-14 11:02:00,162.22000,162.27000,162.17999,162.17999,17762
2021-07-14 11:03:00,162.13000,162.22000,162.13000,162.22000,8242
2021-07-14 11:04:00,162.22000,162.35001,162.22000,162.35001,11911
2021-07-14 11:05:00,162.33000,162.35001,162.20000,162.24001,6850
2021-07-14 11:06:00,162.22501,162.24899,162.14999,162.21001,4313
2021-07-14 11:07:00,162.14000,162.16780,162.11000,162.14000,1664
2021-07-14 11:08:00,162.11000,162.14999,162.06000,162.06000,5895
2021-07-14 11:09:00,162.07001,162.09000,161.97000,161.97000,9389
2021-07-14 11:10:00,161.99001,161.99001,161.86000,161.89000,8300
2021-07-14 11:11:00,161.88499,161.94000,161.83000,161.83000,9887
2021-07-14 11:12:00,161.81500,161.87000,161.78000,161.85500,11233
2021-07-14 11:13:00,161.85500,161.89000,161.85001,161.89000,8214
2021-07-14 11:14:00,161.89999,162.05499,161.89999,161.97000,14091
2021-07-14 11:15:00,161.95000,161.99001,161.92039,161.92039,16270
2021-07-14 11:16:00,161.95000,161.97000,161.91000,161.92999,4129
2021-07-14 11:17:00,161.88000,161.96001,161.86000,161.94000,6638
2021-07-14 11:18:00,161.92999,162.01430,161.91000,162.00999,3894
2021-07-14 11:19:00,162.00000,162.03000,161.92999,161.94000,9500
2021-07-14 11:20:00,161.91000,161.95000,161.91000,161.91000,5321
2021-07-14 11:21:00,161.88000,161.92000,161.80000,161.80000,4085
2021-07-14 11:22:00,161.82001,161.82001,161.73000,161.78999,8331
2021-07-14 11:23:00,161.77000,161.78000,161.74001,161.77000,9031
2021-07-14 11:24:00,161.73000,161.86000,161.73000,161.82001,10285
2021-07-14 11:25:00,161.83000,161.85500,161.80000,161.82001,6482
2021-07-14 11:26:00,161.84500,161.93500,161.84500,161.93500,4590
2021-07-14 11:27:00,161.95000,161.96001,161.88000,161.92000,5940
2021-07-14 11:28:00,161.89999,161.89999,161.81000,161.82001,8476
2021-07-14 11:29:00,161.78999,161.82500,161.74001,161.81000,5254
