,open,high,low,close,volume
2019-06-20 10:00:00,84.90000,85.67000,84.53000,84.62000,1994065
2019-06-20 12:00:00,84.62500,85.00850,84.42000,84.98000,1180585
2019-06-20 14:00:00,84.97910,85.31000,84.82110,85.10000,1165027
2019-06-20 16:00:00,85.10000,85.41500,85.07000,85.24000,979009
2019-06-21 10:00:00,85.16000,85.60000,84.60000,85.23000,2716639
2019-06-21 12:00:00,85.23000,85.41000,85.05000,85.15420,622096
2019-06-21 14:00:00,85.16000,85.71500,85.11000,85.48500,1020187
2019-06-21 16:00:00,85.48000,85.74000,85.37000,85.71000,1617877
2019-06-24 10:00:00,86.00000,86.85000,85.30770,85.72500,1696945
2019-06-24 12:00:00,85.72000,85.88000,85.50500,85.59300,830220
2019-06-24 14:00:00,85.60000,85.69000,84.58000,84.58500,1276831
2019-06-24 16:00:00,84.59500,84.68500,84.36500,84.50000,1488021
2019-06-25 10:00:00,84.60000,84.69000,83.59500,83.70000,1595905
2019-06-25 12:00:00,83.70000,83.75500,82.41000,82.48000,1874841
2019-06-25 14:00:00,82.47000,82.72000,82.16000,82.48000,1740057
2019-06-25 16:00:00,82.47000,82.72000,82.40000,82.61000,1126507
2019-06-26 10:00:00,83.15000,83.69000,82.81000,83.68000,1685498
2019-06-26 12:00:00,83.69000,83.69000,83.09000,83.16050,913414
2019-06-26 14:00:00,83.17000,83.19000,82.44000,82.61500,1367912
2019-06-26 16:00:00,82.61000,82.72000,82.50000,82.52000,971369
2019-06-27 10:00:00,82.93000,83.59000,82.93000,83.21000,2285443
2019-06-27 12:00:00,83.21000,83.46000,83.06000,83.25500,1464925
2019-06-27 14:00:00,83.25500,83.77000,83.18000,83.57000,2061296
2019-06-27 16:00:00,83.57000,83.75000,83.47500,83.66000,1724193
2019-06-28 10:00:00,83.99000,84.75000,83.10000,83.43000,5157542
2019-06-28 12:00:00,83.42000,83.69000,82.67000,83.65000,1679484
2019-06-28 14:00:00,83.65000,83.80000,83.38000,83.42000,1173889
2019-06-28 16:00:00,83.42000,84.04000,83.39000,84.04000,1192916
2019-07-01 10:00:00,84.93000,86.28000,84.90000,85.51000,2727148
2019-07-01 12:00:00,85.51000,85.78500,85.40000,85.67500,1133934
2019-07-01 14:00:00,85.67000,85.80000,85.28000,85.43000,1180207
2019-07-01 16:00:00,85.43000,85.53000,85.27000,85.37000,835490
2019-07-02 10:00:00,85.36000,85.47000,84.82100,85.07000,1719007
2019-07-02 12:00:00,85.06500,85.08000,84.22000,84.55500,1074756
2019-07-02 14:00:00,84.56000,84.84000,84.45000,84.70500,944091
2019-07-02 16:00:00,84.70500,84.84000,84.61500,84.80000,699530
2019-07-03 10:00:00,85.33000,86.20000,85.12000,86.03000,2024836
2019-07-03 12:00:00,86.03000,86.29010,85.96000,86.21500,754487
2019-07-03 14:00:00,86.21500,86.36000,86.00000,86.36000,0
2019-07-05 10:00:00,85.80000,86.69000,85.42000,86.38000,3381425
2019-07-05 12:00:00,86.38000,86.75000,86.28000,86.61500,696086
2019-07-05 14:00:00,86.61500,86.91000,86.60000,86.81000,715105
2019-07-05 16:00:00,86.81000,86.88000,86.66500,86.88000,820832
2019-07-08 10:00:00,86.06000,87.67000,85.97000,87.53000,1918360
2019-07-08 12:00:00,87.53000,88.03500,87.49000,88.01000,1110569
2019-07-08 14:00:00,88.01000,88.42000,87.91000,88.34000,1524144
2019-07-08 16:00:00,88.34990,88.52000,88.34000,88.48000,1155164
2019-07-09 10:00:00,88.10000,88.80000,87.96170,88.60000,2163375
2019-07-09 12:00:00,88.60000,88.69000,88.33000,88.36000,1009011
2019-07-09 14:00:00,88.36000,88.43930,87.82000,87.91310,991628
2019-07-09 16:00:00,87.92000,88.27000,87.92000,88.04000,893390
2019-07-10 10:00:00,88.48000,88.94000,87.39000,87.80000,2063611
2019-07-10 12:00:00,87.79000,88.05000,87.73100,87.85000,993051
2019-07-10 14:00:00,87.85000,88.00000,87.48000,87.60000,955446
2019-07-10 16:00:00,87.59000,87.84000,87.46000,87.56000,673943
2019-07-11 10:00:00,87.71000,88.11000,87.40000,87.99500,1286887
2019-07-11 12:00:00,88.00000,88.28000,88.00000,88.07350,802906
2019-07-11 14:00:00,88.07500,88.15000,87.89500,87.95000,715641
2019-07-11 16:00:00,87.95000,88.30000,87.94500,88.28000,638861
2019-07-12 10:00:00,88.63000,88.98000,88.25000,88.81500,1280059
2019-07-12 12:00:00,88.81000,89.23000,88.71000,89.18000,795572
2019-07-12 14:00:00,89.19000,89.31000,88.98000,88.99000,823973
2019-07-12 16:00:00,89.00000,89.13000,88.92000,89.12000,636550
2019-07-15 10:00:00,89.06000,89.87000,89.06000,89.59000,1364465
2019-07-15 12:00:00,89.60000,89.68000,89.30500,89.32200,656521
2019-07-15 14:00:00,89.32860,89.66000,89.29000,89.55000,639882
2019-07-15 16:00:00,89.55000,89.61000,89.40000,89.47500,617185
2019-07-16 10:00:00,89.50000,89.70770,89.04000,89.14500,1744928
2019-07-16 12:00:00,89.14000,89.16500,88.78000,88.92000,1367858
2019-07-16 14:00:00,88.92500,88.94000,88.71500,88.72000,1146667
2019-07-16 16:00:00,88.72000,88.84000,88.59000,88.60500,912218
2019-07-17 10:00:00,88.42000,88.68500,87.94000,87.97000,1098793
2019-07-17 12:00:00,87.96000,88.29000,87.86020,88.06000,657090
2019-07-17 14:00:00,88.06000,88.11000,87.69000,87.72000,631060
2019-07-17 16:00:00,87.72000,87.83000,87.51000,87.52500,706779
2019-07-18 10:00:00,87.57970,87.73000,87.01000,87.12000,1109106
2019-07-18 12:00:00,87.14000,87.29000,86.75500,87.16000,1119060
2019-07-18 14:00:00,87.16000,87.44000,87.06000,87.22500,942202
2019-07-18 16:00:00,87.22000,87.41000,87.19000,87.37000,593265
2019-07-19 10:00:00,87.73000,87.88000,87.33000,87.54710,1569067
2019-07-19 12:00:00,87.55000,87.58000,87.07000,87.16000,1487844
2019-07-19 14:00:00,87.15000,87.26000,86.74000,87.01000,1090985
2019-07-19 16:00:00,87.00000,87.10000,86.48000,86.55000,861738
2019-07-22 10:00:00,86.56000,86.99000,85.86000,86.02000,1760528
2019-07-22 12:00:00,86.02000,86.20000,85.97010,86.03500,1303152
2019-07-22 14:00:00,86.03500,86.12000,85.83000,86.00000,1079063
2019-07-22 16:00:00,86.00000,86.02000,85.83000,85.96000,1370998
2019-07-23 10:00:00,86.64000,87.10000,86.34500,86.45000,1325630
2019-07-23 12:00:00,86.44000,86.76000,86.23000,86.60580,1099945
2019-07-23 14:00:00,86.61000,87.02000,86.58000,86.77500,1022799
2019-07-23 16:00:00,86.78000,86.79000,86.56500,86.68000,847898
2019-07-24 10:00:00,86.65000,87.21000,86.44000,86.77000,1465490
2019-07-24 12:00:00,86.79000,86.80000,86.44430,86.48360,754181
2019-07-24 14:00:00,86.48500,86.70000,86.30500,86.60000,1129115
2019-07-24 16:00:00,86.59500,86.80000,86.56000,86.70000,1224570
2019-07-25 10:00:00,86.82000,87.50000,86.59000,87.15500,1358316
2019-07-25 12:00:00,87.15500,87.20000,86.88920,87.00000,931470
2019-07-25 14:00:00,87.00500,87.30320,86.97000,87.20000,859047
2019-07-25 16:00:00,87.20000,87.28000,87.06000,87.27000,831186
2019-07-26 10:00:00,87.48000,87.64000,86.83000,86.85000,1171578
2019-07-26 12:00:00,86.86000,87.52000,86.77000,87.51500,726740
2019-07-26 14:00:00,87.51000,87.84000,87.45000,87.71000,541709
2019-07-26 16:00:00,87.70000,87.73000,87.53000,87.55000,442935
2019-07-29 10:00:00,87.65000,87.87000,87.18000,87.36000,1114243
2019-07-29 12:00:00,87.36000,87.68000,87.29000,87.55500,591727
2019-07-29 14:00:00,87.55000,87.69000,87.42000,87.54500,778063
2019-07-29 16:00:00,87.55000,87.76000,87.50000,87.61000,472322
2019-07-30 10:00:00,86.84000,87.78480,86.36000,87.63000,1295941
2019-07-30 12:00:00,87.64000,87.91080,87.46500,87.49000,691597
2019-07-30 14:00:00,87.48500,87.49000,87.09000,87.12000,584684
2019-07-30 16:00:00,87.12000,87.16000,86.99000,87.12000,411500
2019-07-31 10:00:00,87.09000,87.27000,86.27000,86.70000,1638143
2019-07-31 12:00:00,86.68000,86.99000,86.62000,86.96000,632520
2019-07-31 14:00:00,86.97000,87.18000,85.55000,86.43000,1308470
2019-07-31 16:00:00,86.43000,86.58000,85.98000,86.00000,954308
2019-08-01 10:00:00,85.57000,86.52950,85.27000,86.49000,1486602
2019-08-01 12:00:00,86.49000,86.77000,85.71000,85.82000,792172
2019-08-01 14:00:00,85.78000,85.92000,82.70000,83.16000,3205853
2019-08-01 16:00:00,83.17000,83.43000,82.96000,83.11000,1352769
2019-08-02 10:00:00,82.53000,83.24000,81.83000,81.89000,2862337
2019-08-02 12:00:00,81.90000,82.19000,81.30500,81.39000,1925022
2019-08-02 14:00:00,81.39000,81.39000,80.79000,81.16000,1809829
2019-08-02 16:00:00,81.16000,81.54000,81.04000,81.12000,1552774
2019-08-05 10:00:00,79.66000,80.05000,78.78000,79.83000,2610941
2019-08-05 12:00:00,79.83000,79.85000,78.79000,78.89000,1406824
2019-08-05 14:00:00,78.88000,79.13000,78.18500,78.74000,1747690
2019-08-05 16:00:00,78.72000,79.23000,78.54000,78.97000,1309904
2019-08-06 10:00:00,79.85000,80.61000,79.49000,80.15000,2089681
2019-08-06 12:00:00,80.17000,81.17000,80.06000,81.03000,1751127
