,open,high,low,close,volume
2019-01-07 09:00:00,63.35000,63.51000,62.75000,63.50000,2190409
2019-01-07 10:00:00,63.50000,63.95000,63.49000,63.70500,1672066
2019-01-07 11:00:00,63.75000,64.24000,63.74000,64.14000,1102318
2019-01-07 12:00:00,64.15000,64.23000,64.01500,64.21000,714092
2019-01-07 13:00:00,64.18000,64.18000,63.65000,63.74500,1047670
2019-01-07 14:00:00,63.74000,63.86000,63.58000,63.74500,965210
2019-01-07 15:00:00,63.75000,63.83000,63.53000,63.56000,1126419
2019-01-08 09:00:00,63.98000,64.29000,63.36010,63.40000,1455302
2019-01-08 10:00:00,63.41000,63.45000,63.13000,63.13000,866972
2019-01-08 11:00:00,63.10000,63.41500,63.06000,63.41000,862938
2019-01-08 12:00:00,63.41000,63.56000,63.26900,63.56000,684213
2019-01-08 13:00:00,63.55000,63.69000,63.43000,63.50000,794387
2019-01-08 14:00:00,63.50000,63.75000,63.47000,63.75000,1051453
2019-01-08 15:00:00,63.74680,63.85000,63.58000,63.60000,2369175
2019-01-09 09:00:00,63.70000,63.70000,62.96000,63.59000,2782361
2019-01-09 10:00:00,63.59000,63.71000,63.38000,63.71000,2119729
2019-01-09 11:00:00,63.70000,63.91000,63.66000,63.68000,1058364
2019-01-09 12:00:00,63.69500,64.04000,63.69000,63.86500,1019775
2019-01-09 13:00:00,63.86000,63.99500,63.65000,63.76000,1216955
2019-01-09 14:00:00,63.77000,64.00000,63.71900,63.81500,1167589
2019-01-09 15:00:00,63.81500,63.89000,63.61500,63.89000,3620640
2019-01-10 09:00:00,63.62000,64.11200,63.25000,64.11200,1183907
2019-01-10 10:00:00,64.08500,64.27000,63.95000,64.14000,1177837
2019-01-10 11:00:00,64.15000,64.38000,64.12000,64.28000,1135743
2019-01-10 12:00:00,64.29000,64.36000,64.13000,64.33000,1128851
2019-01-10 13:00:00,64.35000,64.36000,64.14000,64.28000,1063126
2019-01-10 14:00:00,64.27000,64.34000,64.10000,64.30000,1145483
2019-01-10 15:00:00,64.30000,64.37000,64.15000,64.18000,1551442
2019-01-11 09:00:00,62.25000,62.83000,61.70000,62.62000,3023077
2019-01-11 10:00:00,62.59000,63.39000,62.56000,63.11000,1948091
2019-01-11 11:00:00,63.10000,63.38000,62.98000,63.04000,1033954
2019-01-11 12:00:00,63.03000,63.04000,62.79000,62.82000,1025402
2019-01-11 13:00:00,62.83000,63.19000,62.81000,63.17000,770305
2019-01-11 14:00:00,63.18000,63.27000,63.13000,63.22000,1118519
2019-01-11 15:00:00,63.22000,63.84000,63.21500,63.80000,3107049
2019-01-14 09:00:00,63.32000,63.76000,62.99000,63.66000,1761472
2019-01-14 10:00:00,63.66000,64.05000,63.66000,63.88000,1526855
2019-01-14 11:00:00,63.86000,63.89000,63.69000,63.74000,754555
2019-01-14 12:00:00,63.74000,63.86000,63.60000,63.61000,1026949
2019-01-14 13:00:00,63.61500,63.65500,63.42990,63.44000,720177
2019-01-14 14:00:00,63.44000,63.60690,63.38000,63.55000,1010305
2019-01-14 15:00:00,63.54500,63.60000,63.35000,63.37000,1160551
2019-01-15 09:00:00,63.63000,64.61000,63.47000,63.94000,1978827
2019-01-15 10:00:00,64.00000,64.16500,63.88000,64.03000,1052603
2019-01-15 11:00:00,64.03000,64.48000,63.93500,64.45000,924240
2019-01-15 12:00:00,64.45000,64.47000,64.32000,64.34000,638180
2019-01-15 13:00:00,64.34000,64.45000,64.07000,64.08000,707762
2019-01-15 14:00:00,64.07000,64.14000,63.93000,64.09000,651522
2019-01-15 15:00:00,64.08000,64.19000,64.00000,64.08000,970526
2019-01-16 09:00:00,64.12000,64.67000,64.09000,64.63000,982113
2019-01-16 10:00:00,64.65000,64.81500,64.56000,64.75000,976362
2019-01-16 11:00:00,64.75500,64.81280,64.46100,64.48000,736561
2019-01-16 12:00:00,64.47000,64.49000,63.93000,63.96000,713382
2019-01-16 13:00:00,63.97000,64.17000,63.90000,64.06000,715814
2019-01-16 14:00:00,64.06000,64.10000,63.93000,64.02500,741122
2019-01-16 15:00:00,64.01600,64.01600,63.75000,63.76000,1246901
2019-01-17 09:00:00,63.62000,64.34500,63.62000,64.29000,1120474
2019-01-17 10:00:00,64.30500,64.31000,64.04500,64.28000,754675
2019-01-17 11:00:00,64.27000,64.27000,64.00000,64.05000,573882
2019-01-17 12:00:00,64.07000,64.10000,63.83000,63.91000,527011
