,open,high,low,close,volume
2019-01-07 09:00:00,64.30000,65.73700,63.60000,65.73700,1811370
2019-01-07 10:00:00,65.75000,67.03800,65.60000,66.01724,1682152
2019-01-07 11:00:00,66.07800,66.64000,65.89938,66.23800,861001
2019-01-07 12:00:00,66.20000,67.34000,66.09200,67.06600,1072155
2019-01-07 13:00:00,67.07000,67.20000,66.32602,66.42090,625526
2019-01-07 14:00:00,66.41602,66.96800,66.26800,66.93400,597403
2019-01-07 15:00:00,66.95600,67.10000,66.73000,66.96600,738618
2019-01-08 09:00:00,68.34200,68.80000,66.51800,66.56600,2730113
2019-01-08 10:00:00,66.50238,66.50238,65.42800,65.75200,1261188
2019-01-08 11:00:00,65.64936,67.19800,65.55000,67.01682,880318
2019-01-08 12:00:00,66.96000,67.08200,66.67200,66.88800,505552
2019-01-08 13:00:00,66.89400,67.33800,66.68600,67.12400,475982
2019-01-08 14:00:00,67.16544,67.37600,66.67400,67.04200,478596
2019-01-08 15:00:00,67.06400,67.12200,66.94600,67.06400,517592
2019-01-09 09:00:00,67.18400,68.20400,66.29400,67.65634,1437056
2019-01-09 10:00:00,67.64990,67.72000,67.02400,67.62200,652776
2019-01-09 11:00:00,67.60000,68.21200,67.41896,68.18600,802012
2019-01-09 12:00:00,68.20000,68.70000,68.10400,68.52740,959619
2019-01-09 13:00:00,68.55400,68.63200,67.95900,68.07000,515285
2019-01-09 14:00:00,68.02600,68.36600,67.86116,68.12000,434907
2019-01-09 15:00:00,68.13600,68.17000,67.63800,67.70200,532293
2019-01-10 09:00:00,66.95200,67.51200,66.36000,67.49400,1386752
2019-01-10 10:00:00,67.54200,68.44400,67.50000,67.91200,1127421
2019-01-10 11:00:00,67.90100,68.54000,67.80000,68.53496,759737
2019-01-10 12:00:00,68.54366,68.66000,68.01600,68.24800,726467
2019-01-10 13:00:00,68.28400,68.50000,67.84600,68.44800,461929
2019-01-10 14:00:00,68.46378,68.82600,68.18896,68.82434,645428
2019-01-10 15:00:00,68.81000,69.07600,68.74000,69.02200,831121
2019-01-11 09:00:00,68.48600,68.80000,67.75600,68.09000,1423290
2019-01-11 10:00:00,68.09500,68.90000,68.09500,68.24582,766025
2019-01-11 11:00:00,68.28000,68.72800,68.20000,68.68600,490673
2019-01-11 12:00:00,68.69000,69.23946,68.68800,69.07200,657433
2019-01-11 13:00:00,69.07014,69.46600,68.63796,69.30880,626099
2019-01-11 14:00:00,69.26706,69.47200,69.09800,69.40000,427004
2019-01-11 15:00:00,69.38852,69.67400,69.38852,69.44400,559998
2019-01-14 09:00:00,68.41600,68.50000,67.10000,67.78356,1898721
2019-01-14 10:00:00,67.76970,68.07800,67.45944,67.55800,661035
2019-01-14 11:00:00,67.49600,68.17800,67.49600,67.94000,656229
2019-01-14 12:00:00,67.97300,68.11600,67.76000,67.99500,303197
2019-01-14 13:00:00,68.00000,68.09600,67.42800,67.53718,410594
2019-01-14 14:00:00,67.51200,67.51200,66.80000,67.13400,707905
2019-01-14 15:00:00,67.15200,67.15200,66.85600,66.89000,520824
2019-01-15 09:00:00,66.96000,69.00200,66.96000,68.77800,1926123
2019-01-15 10:00:00,68.87200,69.45000,68.78466,69.42200,1073292
2019-01-15 11:00:00,69.43600,69.76000,69.38400,69.54400,743697
2019-01-15 12:00:00,69.56000,69.56000,68.79600,69.16000,628478
2019-01-15 13:00:00,69.18600,69.20000,68.29800,68.29800,580360
2019-01-15 14:00:00,68.31700,68.92800,68.17800,68.91400,431804
2019-01-15 15:00:00,68.86600,69.23600,68.83400,68.83800,583106
2019-01-16 09:00:00,68.92000,70.40000,68.71002,69.77574,1716247
2019-01-16 10:00:00,69.74734,69.94280,69.40000,69.83200,601332
2019-01-16 11:00:00,69.90000,69.94000,69.41000,69.55000,385384
2019-01-16 12:00:00,69.57800,70.04348,69.52800,69.93500,421812
2019-01-16 13:00:00,69.92000,70.00200,69.77400,69.89574,272345
2019-01-16 14:00:00,69.89000,69.92000,69.65600,69.80000,633449
2019-01-16 15:00:00,69.80300,69.81800,69.07000,69.20400,530855
2019-01-17 09:00:00,69.24200,70.00000,68.83060,69.54400,1190774
2019-01-17 10:00:00,69.46200,69.80000,69.32600,69.59400,365108
2019-01-17 11:00:00,69.54000,69.70000,69.22000,69.36000,254652
2019-01-17 12:00:00,69.32400,69.49800,69.07600,69.44600,323830
2019-01-17 13:00:00,69.47720,69.64000,69.30600,69.55000,244502
2019-01-17 14:00:00,69.60000,70.29800,69.20800,69.58600,818734
2019-01-17 15:00:00,69.63200,69.68400,69.41600,69.46200,372000
2019-01-18 09:00:00,64.70200,65.41800,62.52000,63.04138,7957596
2019-01-18 10:00:00,63.04800,63.57000,62.90060,63.06800,2352094
2019-01-18 11:00:00,63.07800,63.42798,62.81200,62.81200,1654932
2019-01-18 12:00:00,62.82300,62.87900,61.67100,61.96000,2576969
2019-01-18 13:00:00,61.94200,61.94400,59.94820,60.37042,3614359
2019-01-18 14:00:00,60.35500,61.46000,60.01400,60.62180,3389630
2019-01-18 15:00:00,60.64180,60.78600,60.20000,60.45200,2429674
2019-01-22 09:00:00,60.96400,61.59200,59.10400,59.92600,4834390
2019-01-22 10:00:00,59.92800,60.62000,59.72200,60.20200,1631971
2019-01-22 11:00:00,60.19800,60.26832,59.80000,59.92400,949083
2019-01-22 12:00:00,59.92000,60.27400,59.60000,59.75800,982850
2019-01-22 13:00:00,59.73066,59.80000,59.29900,59.68200,1209513
2019-01-22 14:00:00,59.68402,59.83100,59.40000,59.72000,1177981
2019-01-22 15:00:00,59.71000,59.79590,59.31400,59.78400,1120190
2019-01-23 09:00:00,58.52652,58.80000,57.11200,58.37000,4014595
2019-01-23 10:00:00,58.40000,58.90000,58.16218,58.24014,1380982
2019-01-23 11:00:00,58.25100,58.45000,56.51800,57.10000,2089444
2019-01-23 12:00:00,57.07600,57.41524,56.35400,57.27400,1809081
2019-01-23 13:00:00,57.30000,57.40600,57.01850,57.28400,739262
2019-01-23 14:00:00,57.28200,57.67200,56.66200,57.33400,1118213
