,open,high,low,close,volume
2019-01-07 09:00:00,134.36000,135.39999,134.08000,135.03000,1996758
2019-01-07 10:00:00,135.05000,135.87000,135.05000,135.38000,1167768
2019-01-07 11:00:00,135.42000,136.48000,135.39000,136.16980,1158569
2019-01-07 12:00:00,136.14999,137.15280,136.05000,136.91000,1258812
2019-01-07 13:00:00,136.92000,136.96001,136.28999,136.30000,977377
2019-01-07 14:00:00,136.31000,136.50999,135.90359,136.39000,767825
2019-01-07 15:00:00,136.37000,136.41499,135.98000,136.20000,1666994
2019-01-08 09:00:00,138.00000,138.13499,136.70000,136.86000,2019109
2019-01-08 10:00:00,136.92000,137.00000,136.00000,136.56000,1373995
2019-01-08 11:00:00,136.42000,137.14000,136.17000,137.02000,915440
2019-01-08 12:00:00,137.03999,137.14999,136.44009,136.98000,806678
2019-01-08 13:00:00,136.99001,137.50000,136.64000,137.02409,813672
2019-01-08 14:00:00,137.00000,137.10001,136.56000,136.88000,849968
2019-01-08 15:00:00,136.88000,137.00000,136.52000,136.80000,1018267
2019-01-09 09:00:00,138.36000,139.39999,137.92500,138.89999,2300718
2019-01-09 10:00:00,138.86000,139.05000,137.64751,138.75000,1377524
2019-01-09 11:00:00,138.74001,139.17000,138.45000,138.79500,889066
2019-01-09 12:00:00,138.83000,139.22000,138.75000,138.98000,812435
2019-01-09 13:00:00,138.99001,139.48000,138.71001,138.96001,1005580
2019-01-09 14:00:00,138.98000,139.22000,138.56000,138.61000,1094742
2019-01-09 15:00:00,138.61000,138.61000,137.92999,138.41000,1250063
2019-01-10 09:00:00,136.85001,138.10001,136.38499,138.10001,1571528
2019-01-10 10:00:00,138.03999,138.48000,137.82001,137.94000,758168
2019-01-10 11:00:00,137.96001,138.22000,137.84000,138.05000,502002
2019-01-10 12:00:00,138.00000,138.56000,137.64999,138.00999,619229
2019-01-10 13:00:00,138.01500,138.64999,137.37000,138.41000,618668
2019-01-10 14:00:00,138.39999,138.43530,137.92999,138.23000,713689
2019-01-10 15:00:00,138.22000,138.82001,138.10001,138.63000,913276
2019-01-11 09:00:00,137.92999,138.52000,137.46001,137.46001,1303543
2019-01-11 10:00:00,137.48000,138.11000,137.45000,137.70000,862841
2019-01-11 11:00:00,137.69000,138.19000,137.69000,137.95000,530483
2019-01-11 12:00:00,137.94000,138.14999,137.48000,137.55000,543842
2019-01-11 13:00:00,137.53999,137.97000,137.53000,137.70500,544274
2019-01-11 14:00:00,137.70000,138.06000,137.62000,137.81000,544014
2019-01-11 15:00:00,137.80000,138.10001,137.77000,138.02000,765201
2019-01-14 09:00:00,136.99001,137.88000,136.69000,137.33000,1252590
2019-01-14 10:00:00,137.36000,137.91000,137.36000,137.72000,797658
2019-01-14 11:00:00,137.73000,138.12000,137.52000,137.57001,782898
2019-01-14 12:00:00,137.58000,137.58000,137.03999,137.21001,617439
2019-01-14 13:00:00,137.22000,137.38480,136.98000,137.10001,551504
2019-01-14 14:00:00,137.10001,137.56000,137.09500,137.32001,679327
2019-01-14 15:00:00,137.33000,137.44000,137.02000,137.02000,813242
2019-01-15 09:00:00,136.80499,137.07001,135.25000,136.92000,2315378
2019-01-15 10:00:00,136.97000,137.39560,136.80000,137.25999,794407
2019-01-15 11:00:00,137.25000,137.72000,137.11000,137.49500,731424
2019-01-15 12:00:00,137.48610,137.48970,137.14000,137.21001,499338
2019-01-15 13:00:00,137.19000,137.36000,136.45000,136.45000,624748
2019-01-15 14:00:00,136.46001,137.11000,136.38000,137.00000,609363
2019-01-15 15:00:00,136.99001,137.39999,136.99001,137.27000,893003
2019-01-16 09:00:00,138.34000,138.83000,137.98000,138.03999,1547331
2019-01-16 10:00:00,138.03999,138.10001,137.33000,137.89999,996694
2019-01-16 11:00:00,137.92000,138.09000,137.46001,137.92500,620759
2019-01-16 12:00:00,137.92999,138.25000,137.82001,137.94550,407897
2019-01-16 13:00:00,137.96001,138.08000,137.78999,138.04500,503692
2019-01-16 14:00:00,138.06000,138.32001,137.92999,138.27000,640259
2019-01-16 15:00:00,138.28000,138.28000,137.32001,137.32001,1330525
2019-01-17 09:00:00,136.89999,137.62000,136.75000,137.14999,988127
2019-01-17 10:00:00,137.19000,137.22000,136.71001,137.03000,648524
2019-01-17 11:00:00,136.99001,137.17000,136.80000,136.85500,467900
2019-01-17 12:00:00,136.86000,137.21001,136.82001,137.17999,429015
2019-01-17 13:00:00,137.17000,137.22000,136.75999,136.75999,464064
2019-01-17 14:00:00,136.75500,137.88240,136.60001,137.20000,1145736
2019-01-17 15:00:00,137.18500,137.38000,136.92000,137.28000,1021633
2019-01-18 09:00:00,138.37000,138.50999,136.77000,137.44000,2407455
2019-01-18 10:00:00,137.45000,137.88000,137.39999,137.82001,1125898
2019-01-18 11:00:00,137.91000,138.53000,137.79041,138.25000,989583
2019-01-18 12:00:00,138.25999,138.35001,137.89000,137.95500,578862
2019-01-18 13:00:00,137.96001,138.10001,137.74001,137.80000,570096
2019-01-18 14:00:00,137.75500,138.39000,137.73000,138.25999,761314
2019-01-18 15:00:00,138.25999,138.59000,138.08000,138.50000,1357196
2019-01-22 09:00:00,138.00999,139.19000,137.98000,139.02000,1617894
2019-01-22 10:00:00,139.05000,139.50000,138.78999,138.97000,831409
2019-01-22 11:00:00,138.94000,139.00000,137.70000,137.91000,733651
2019-01-22 12:00:00,137.88000,138.23000,137.19250,137.37000,709625
2019-01-22 13:00:00,137.32001,137.78000,137.20000,137.49001,546719
2019-01-22 14:00:00,137.47000,137.64999,137.17000,137.45000,954322
2019-01-22 15:00:00,137.45000,138.09000,136.98500,138.09000,1340983
2019-01-23 09:00:00,138.89000,138.97000,138.05000,138.10001,1064001
