,open,high,low,close,volume
2021-04-29 15:35:00,236.89000,237.06500,236.70000,237.05499,108211
2021-04-29 15:40:00,237.08000,237.33000,237.06000,237.22000,159170
2021-04-29 15:45:00,237.22501,237.48500,237.08501,237.23000,180366
2021-04-29 15:50:00,237.26500,237.47000,236.94839,237.37000,285454
2021-04-29 15:55:00,237.37000,237.37000,236.85001,236.89000,402709
2021-04-30 09:30:00,235.34000,235.62000,234.20000,234.20000,258487
2021-04-30 09:35:00,234.11079,234.78999,233.53000,233.73000,75518
2021-04-30 09:40:00,233.72000,233.80000,233.33000,233.49001,86545
2021-04-30 09:45:00,233.45000,233.61000,232.71001,232.73000,94443
2021-04-30 09:50:00,232.72000,232.94000,232.28999,232.73000,111618
2021-04-30 09:55:00,232.66000,233.44000,232.64999,233.44000,114803
2021-04-30 10:00:00,233.42999,233.63000,233.21001,233.42500,95264
2021-04-30 10:05:00,233.50500,233.50500,233.21001,233.46001,60011
2021-04-30 10:10:00,233.50000,233.67000,233.28000,233.42999,72433
2021-04-30 10:15:00,233.42999,233.63000,233.30000,233.62730,46935
2021-04-30 10:20:00,233.60930,234.00000,233.60001,233.99500,41322
2021-04-30 10:25:00,233.99001,234.30000,233.86000,234.25000,45970
2021-04-30 10:30:00,234.21001,234.21001,233.65750,233.87000,52576
2021-04-30 10:35:00,233.87000,234.02000,233.39000,233.42000,76775
2021-04-30 10:40:00,233.34000,233.58411,233.33000,233.36000,53567
2021-04-30 10:45:00,233.41000,233.54500,233.23000,233.33000,51776
2021-04-30 10:50:00,233.28999,233.28999,232.97000,233.01500,78021
2021-04-30 10:55:00,233.00000,233.03000,232.60001,232.75000,71188
2021-04-30 11:00:00,232.73000,233.11000,232.63060,233.11000,53037
2021-04-30 11:05:00,233.11000,233.21001,233.03999,233.20000,34766
2021-04-30 11:10:00,233.20500,233.35001,233.05000,233.21500,56294
2021-04-30 11:15:00,233.19000,233.19000,232.69000,232.75999,42947
2021-04-30 11:20:00,232.69501,233.13499,232.69000,233.10001,37588
2021-04-30 11:25:00,233.03000,233.03000,232.74500,232.76500,37905
2021-04-30 11:30:00,232.75000,232.88000,232.64999,232.82001,46601
2021-04-30 11:35:00,232.84000,233.14999,232.80499,232.96001,81803
2021-04-30 11:40:00,232.92500,233.11000,232.84500,233.03000,32038
2021-04-30 11:45:00,232.97501,233.35001,232.96570,233.21001,54423
2021-04-30 11:50:00,233.19000,233.46001,233.02000,233.43500,42871
2021-04-30 11:55:00,233.39000,233.73000,233.37500,233.73000,38214
2021-04-30 12:00:00,233.74001,233.84500,233.53081,233.53889,33659
2021-04-30 12:05:00,233.57381,233.82001,233.53999,233.71001,19993
2021-04-30 12:10:00,233.70500,233.78999,233.64500,233.69000,24299
2021-04-30 12:15:00,233.64000,233.77670,233.53999,233.77670,20287
2021-04-30 12:20:00,233.80000,233.87000,233.62000,233.62000,24172
2021-04-30 12:25:00,233.56000,233.74159,233.53999,233.70000,22455
2021-04-30 12:30:00,233.72000,233.87000,233.67999,233.87000,29119
2021-04-30 12:35:00,233.88000,233.92999,233.59000,233.67000,26037
2021-04-30 12:40:00,233.66499,233.87000,233.66499,233.82001,22866
2021-04-30 12:45:00,233.85001,233.98000,233.80000,233.96001,19211
2021-04-30 12:50:00,233.99001,234.07500,233.91000,233.92999,27106
2021-04-30 12:55:00,233.95000,234.02000,233.78999,234.02000,27862
2021-04-30 13:00:00,234.03000,234.12000,233.98000,234.12000,23622
2021-04-30 13:05:00,234.16000,234.28340,234.13000,234.28340,18499
2021-04-30 13:10:00,234.25000,234.28999,234.05000,234.26500,22175
2021-04-30 13:15:00,234.24001,234.25729,233.98000,233.98000,26160
2021-04-30 13:20:00,234.00999,234.25999,233.98000,234.25500,23766
2021-04-30 13:25:00,234.21500,234.33000,234.19000,234.33000,16154
2021-04-30 13:30:00,234.41000,234.42999,234.29500,234.42999,18711
2021-04-30 13:35:00,234.42000,234.46001,234.35500,234.45500,26023
2021-04-30 13:40:00,234.47501,234.48000,234.14000,234.22000,30561
2021-04-30 13:45:00,234.19501,234.29610,233.98000,234.00999,24942
2021-04-30 13:50:00,234.17999,234.25000,233.78500,233.78500,46278
2021-04-30 13:55:00,233.75999,233.75999,233.42000,233.56000,44944
2021-04-30 14:00:00,233.62000,233.90500,233.62000,233.83000,32752
2021-04-30 14:05:00,233.88000,234.03999,233.88000,234.03000,38884
2021-04-30 14:10:00,234.03999,234.30000,234.00180,234.30000,32624
2021-04-30 14:15:00,234.27000,234.28990,234.06430,234.14999,41435
2021-04-30 14:20:00,234.10001,234.17000,233.92000,233.99001,37650
2021-04-30 14:25:00,233.99001,234.25999,233.86749,234.24730,26432
2021-04-30 14:30:00,234.19000,234.36000,233.86000,234.34000,101181
2021-04-30 14:35:00,234.34000,234.34000,234.11501,234.14999,52442
2021-04-30 14:40:00,234.14999,234.48000,234.13499,234.34000,48712
2021-04-30 14:45:00,234.35001,234.38000,234.25999,234.35500,36167
2021-04-30 14:50:00,234.37000,234.50999,234.32001,234.41000,42589
2021-04-30 14:55:00,234.41000,234.41000,234.17999,234.21001,60468
2021-04-30 15:00:00,234.17500,234.34000,233.96500,233.99500,54577
2021-04-30 15:05:00,234.05000,234.11000,233.85001,233.91000,60219
2021-04-30 15:10:00,233.89999,234.15401,233.81000,233.81000,53852
2021-04-30 15:15:00,233.80000,233.97000,233.73000,233.77000,59031
2021-04-30 15:20:00,233.82001,233.97000,233.74870,233.95000,61529
2021-04-30 15:25:00,233.97000,234.22000,233.97000,234.20000,51638
2021-04-30 15:30:00,234.19000,234.35001,233.87650,233.90500,76047
2021-04-30 15:35:00,233.92000,234.17999,233.91499,233.98000,66639
2021-04-30 15:40:00,233.96001,234.00999,233.52000,233.52499,131731
2021-04-30 15:45:00,233.50999,233.92999,233.25000,233.88000,145831
2021-04-30 15:50:00,233.89000,233.94991,233.00000,233.23000,334943
2021-04-30 15:55:00,233.24001,233.60001,233.00999,233.57001,480397
2021-05-03 09:30:00,234.37000,235.39000,234.20500,235.39000,194811
2021-05-03 09:35:00,235.28999,235.32001,234.35001,234.56500,86539
2021-05-03 09:40:00,234.52000,234.94000,234.46001,234.75000,55704
2021-05-03 09:45:00,234.75500,235.39999,234.64000,235.39999,72682
2021-05-03 09:50:00,235.28000,235.66991,235.12000,235.41000,81265
2021-05-03 09:55:00,235.57001,235.71500,235.03999,235.28000,65525
2021-05-03 10:00:00,235.11000,235.12000,234.60001,234.74500,51822
2021-05-03 10:05:00,234.75000,235.17999,234.64000,235.02000,56971
2021-05-03 10:10:00,235.08000,235.19000,234.78999,235.16000,48500
2021-05-03 10:15:00,235.20000,235.66000,235.20000,235.66000,72034
2021-05-03 10:20:00,235.67000,235.67999,235.19501,235.20500,68798
2021-05-03 10:25:00,235.11000,235.31000,234.81000,234.95000,80417
2021-05-03 10:30:00,234.98000,235.25000,234.94000,234.95000,46997
2021-05-03 10:35:00,234.96500,235.10001,234.37000,234.38000,90339
2021-05-03 10:40:00,234.36000,234.53860,234.25000,234.30000,61199
2021-05-03 10:45:00,234.28000,234.56500,234.27000,234.35001,54589
2021-05-03 10:50:00,234.31000,234.33000,233.94000,234.07941,45120
2021-05-03 10:55:00,234.07001,234.07001,233.80000,233.92000,115498
2021-05-03 11:00:00,233.83000,233.92000,233.52000,233.55000,55393
2021-05-03 11:05:00,233.57001,233.63000,233.50000,233.57800,36924
2021-05-03 11:10:00,233.53000,233.55000,233.31000,233.39999,57107
2021-05-03 11:15:00,233.36000,233.60500,233.36000,233.41000,51446
2021-05-03 11:20:00,233.32001,233.42999,233.13000,233.16000,43558
2021-05-03 11:25:00,233.16000,233.16000,233.03000,233.07001,50326
2021-05-03 11:30:00,233.07001,233.49001,233.06000,233.47000,34330
2021-05-03 11:35:00,233.48000,233.50000,233.25999,233.33000,32713
2021-05-03 11:40:00,233.33270,233.33270,233.14000,233.31580,27671
2021-05-03 11:45:00,233.32001,233.37000,233.19000,233.30000,32389
2021-05-03 11:50:00,233.32001,233.32001,233.09000,233.09000,44191
2021-05-03 11:55:00,233.08000,233.47501,233.03999,233.44000,27286
2021-05-03 12:00:00,233.41000,233.41000,233.13000,233.14999,27425
2021-05-03 12:05:00,233.12000,233.13499,232.92000,232.92000,27988
2021-05-03 12:10:00,232.86000,232.89500,232.77000,232.83501,50953
2021-05-03 12:15:00,232.78000,232.86501,232.67500,232.77499,39182
2021-05-03 12:20:00,232.70500,232.74001,232.53000,232.53000,50052
2021-05-03 12:25:00,232.52000,232.64999,232.47000,232.56000,63526
2021-05-03 12:30:00,232.49680,232.58000,232.36000,232.42999,42966
2021-05-03 12:35:00,232.46001,232.57001,232.39999,232.53000,28642
2021-05-03 12:40:00,232.53999,232.59990,232.47000,232.47000,36243
2021-05-03 12:45:00,232.46001,232.56000,232.44000,232.50000,42086
2021-05-03 12:50:00,232.48000,232.55000,232.32001,232.44000,42671
2021-05-03 12:55:00,232.47501,232.49001,232.14999,232.44000,47960
2021-05-03 13:00:00,232.37000,232.50000,232.31000,232.34000,29571
2021-05-03 13:05:00,232.35001,232.46001,232.22000,232.25000,36472
2021-05-03 13:10:00,232.21500,232.23000,231.92999,232.03999,77666
2021-05-03 13:15:00,231.99500,232.06000,231.88370,231.92000,43699
2021-05-03 13:20:00,231.92000,232.03500,231.64999,231.68500,59547
2021-05-03 13:25:00,231.69000,231.89000,231.56000,231.77499,65286
2021-05-03 13:30:00,231.71001,231.79500,231.48000,231.60001,81943
2021-05-03 13:35:00,231.62000,231.70500,231.42000,231.69000,55881
2021-05-03 13:40:00,231.71001,231.81000,231.56000,231.57500,60357
2021-05-03 13:45:00,231.53000,231.61000,231.38499,231.53999,71662
2021-05-03 13:50:00,231.49500,231.58971,231.42500,231.56000,31394
2021-05-03 13:55:00,231.55000,231.58000,231.42999,231.50999,41042
2021-05-03 14:00:00,231.56500,231.59000,231.43500,231.55000,37585
2021-05-03 14:05:00,231.55000,231.84000,231.51401,231.79990,68580
2021-05-03 14:10:00,231.73000,231.87000,231.73000,231.81000,56313
2021-05-03 14:15:00,231.88000,231.95990,231.82001,231.92000,33820
2021-05-03 14:20:00,231.92000,231.92999,231.77000,231.85001,29193
2021-05-03 14:25:00,231.82001,232.06000,231.80029,232.04500,31114
2021-05-03 14:30:00,232.06000,232.39000,232.03999,232.36000,62032
2021-05-03 14:35:00,232.37000,232.37000,232.03999,232.27000,66028
2021-05-03 14:40:00,232.23000,232.29500,232.09000,232.21001,35867
2021-05-03 14:45:00,232.20000,232.31000,232.18359,232.25999,25673
2021-05-03 14:50:00,232.25000,232.33000,232.12000,232.32500,37672
2021-05-03 14:55:00,232.31000,232.39400,232.30000,232.39000,30218
2021-05-03 15:00:00,232.35001,232.38000,232.17000,232.17999,38893
2021-05-03 15:05:00,232.17000,232.34500,232.13000,232.28000,38512
2021-05-03 15:10:00,232.28999,232.28999,232.11000,232.13000,31389
2021-05-03 15:15:00,232.13000,232.14000,231.89000,232.00000,61448
2021-05-03 15:20:00,231.98000,232.18500,231.98000,232.16499,44257
2021-05-03 15:25:00,232.17999,232.35500,232.12500,232.25999,36501
2021-05-03 15:30:00,232.27000,232.34000,232.08000,232.28000,67835
2021-05-03 15:35:00,232.31000,232.49001,232.25000,232.37000,86651
2021-05-03 15:40:00,232.39000,232.39000,232.03999,232.38000,89747
2021-05-03 15:45:00,232.38000,232.64999,232.37000,232.64999,109892
2021-05-03 15:50:00,232.64999,232.82001,232.45000,232.61000,170006
2021-05-03 15:55:00,232.61000,232.70000,232.47000,232.70000,207369
2021-05-04 09:30:00,232.36000,232.36000,230.81000,231.70500,238711
2021-05-04 09:35:00,231.63000,232.35001,231.52000,232.10001,57593
2021-05-04 09:40:00,231.95000,231.95000,231.24159,231.32001,60620
2021-05-04 09:45:00,231.48500,231.48500,230.89999,230.95610,50484
2021-05-04 09:50:00,230.95500,231.48000,230.64999,231.39000,69893
2021-05-04 09:55:00,231.41000,231.41000,230.84010,231.02499,58171
