,open,high,low,close,volume
2001-09-20,45.35000,45.94000,45.01000,45.31000,12656400
2001-09-21,44.15000,45.95000,43.90000,44.66000,16443600
2001-09-24,46.50000,47.98000,46.01000,47.28000,13901700
2001-09-25,48.20000,49.10000,48.05000,48.40000,15973800
2001-09-26,49.35000,49.48000,48.62000,49.48000,12116300
2001-09-27,49.48000,49.69000,48.11000,49.39000,9247000
2001-09-28,49.45000,49.95000,48.81000,49.50000,9560200
2001-10-01,49.50000,50.05000,48.14000,49.76000,11988600
2001-10-02,50.05000,52.00000,49.80000,51.60000,11404200
2001-10-03,51.89000,53.47000,51.50000,52.73000,13951800
2001-10-04,52.80000,52.95000,51.42000,51.50000,10199000
2001-10-05,51.52000,52.40000,51.00000,52.40000,9463200
2001-10-08,52.41000,52.41000,50.96000,51.11000,6702000
2001-10-09,51.50000,52.20000,51.00000,52.08000,8068400
2001-10-10,52.33000,53.70000,52.20000,53.63000,9481900
2001-10-11,53.95000,54.75000,52.85000,53.49000,12260600
2001-10-12,52.85000,53.00000,51.80000,52.90000,10740100
2001-10-15,52.62000,53.48000,52.41000,53.48000,6259700
2001-10-16,53.48000,54.00000,52.50000,53.14000,6767600
2001-10-17,53.25000,53.74000,52.15000,52.22000,6638500
2001-10-18,52.33000,52.80000,51.42000,51.90000,7829100
2001-10-19,52.15000,53.07000,51.60000,53.01000,6044500
2001-10-22,52.80000,53.60000,52.08000,53.04000,6544200
2001-10-23,53.04000,53.55000,52.15000,52.61000,6188400
2001-10-24,52.97000,53.19000,52.43000,52.48000,5230800
2001-10-25,51.80000,53.30000,51.51000,53.30000,6892800
2001-10-26,53.15000,53.82000,52.50000,53.42000,5123700
2001-10-29,52.90000,53.06000,51.71000,51.90000,6024800
2001-10-30,51.50000,51.75000,50.36000,50.60000,7094900
2001-10-31,50.70000,52.32000,50.65000,51.40000,7034600
2001-11-01,51.20000,52.95000,50.86000,52.24000,8601900
2001-11-02,51.80000,53.18000,51.76000,52.97000,5794300
2001-11-05,53.15000,54.30000,52.39000,53.90000,6841200
2001-11-06,54.05000,55.10000,53.65000,54.94000,8781200
2001-11-07,54.85000,54.99000,53.40000,53.82000,8222400
2001-11-08,54.60000,55.40000,53.99000,54.50000,8584100
2001-11-09,54.55000,55.25000,53.89000,55.10000,5045700
2001-11-12,54.55000,55.68000,54.00000,55.58000,6500700
2001-11-13,55.90000,55.95000,54.25000,54.26000,10522000
2001-11-14,55.60000,55.80000,55.05000,55.28000,9589300
2001-11-15,55.58000,56.24000,55.28000,56.00000,8452000
2001-11-16,56.00000,56.00000,54.65000,55.10000,10558400
2001-11-19,54.60000,55.86000,54.60000,55.75000,7963900
2001-11-20,55.70000,55.98000,55.11000,55.70000,6336400
2001-11-21,55.52000,55.61000,54.84000,55.12000,4989500
2001-11-23,55.07000,55.85000,55.06000,55.80000,2307000
2001-11-26,55.70000,56.02000,55.31000,55.75000,7702400
2001-11-27,55.55000,55.81000,54.83000,55.08000,9664100
2001-11-28,54.90000,55.76000,54.48000,55.00000,7469400
2001-11-29,55.10000,55.29000,54.50000,54.65000,5727700
2001-11-30,55.00000,55.90000,54.90000,55.15000,8414300
2001-12-03,55.06000,55.23000,54.18000,54.58000,7615500
2001-12-04,54.40000,55.17000,54.20000,55.17000,6865500
2001-12-05,55.17000,56.57000,54.94000,56.57000,9031700
2001-12-06,55.95000,55.99000,55.41000,55.62000,7044300
2001-12-07,55.21000,55.60000,54.75000,55.34000,4602400
2001-12-10,55.10000,55.40000,54.27000,54.27000,5293400
2001-12-11,54.12000,54.80000,53.51000,54.08000,6097600
2001-12-12,54.02000,54.70000,53.50000,54.33000,5772300
2001-12-13,54.08000,54.09000,53.10000,53.36000,7847100
2001-12-14,53.70000,54.41000,53.03000,54.06000,6015900
2001-12-17,54.15000,55.85000,53.88000,55.85000,8463200
2001-12-18,55.91000,56.10000,55.42000,55.78000,8798500
2001-12-19,55.68000,56.50000,55.35000,56.28000,8212100
2001-12-20,56.33000,57.14000,56.20000,56.26000,7845000
2001-12-21,56.84000,57.58000,56.53000,57.57000,13126800
