,open,high,low,close,volume
2021-07-14 10:40:00,141.00000,141.05000,140.99001,141.05000,7992
2021-07-14 10:41:00,141.07001,141.11000,141.06000,141.09000,16436
2021-07-14 10:42:00,141.09000,141.09000,141.03999,141.07001,9945
2021-07-14 10:43:00,141.03999,141.07001,141.02499,141.04500,9524
2021-07-14 10:44:00,141.02000,141.03999,141.00000,141.03999,19624
2021-07-14 10:45:00,141.05000,141.05200,140.99570,140.99570,7388
2021-07-14 10:46:00,141.00999,141.06000,141.00000,141.06000,4789
2021-07-14 10:47:00,141.05499,141.13000,141.05000,141.13000,7845
2021-07-14 10:48:00,141.13000,141.16000,141.11000,141.12000,9470
2021-07-14 10:49:00,141.10001,141.15990,141.08000,141.14999,9464
2021-07-14 10:50:00,141.15970,141.31010,141.14000,141.25000,59837
2021-07-14 10:51:00,141.24001,141.31000,141.24001,141.28101,20109
2021-07-14 10:52:00,141.28999,141.31000,141.27000,141.30499,16752
2021-07-14 10:53:00,141.30850,141.34000,141.28999,141.28999,18678
2021-07-14 10:54:00,141.28000,141.28000,141.23000,141.26500,16852
2021-07-14 10:55:00,141.28000,141.36501,141.28000,141.36501,11151
2021-07-14 10:56:00,141.37000,141.38000,141.35001,141.37990,21120
2021-07-14 10:57:00,141.39000,141.46001,141.38499,141.39000,14405
2021-07-14 10:58:00,141.39500,141.39999,141.28999,141.32001,16906
2021-07-14 10:59:00,141.32570,141.32570,141.22000,141.22000,26140
2021-07-14 11:00:00,141.23000,141.23990,141.12000,141.14000,15350
2021-07-14 11:01:00,141.17751,141.17751,141.14999,141.17000,7576
2021-07-14 11:02:00,141.17999,141.23370,141.17999,141.19000,15299
2021-07-14 11:03:00,141.20000,141.25999,141.19000,141.19000,20596
2021-07-14 11:04:00,141.19000,141.19000,141.03999,141.06000,34326
2021-07-14 11:05:00,141.03999,141.05000,140.96001,140.97000,12258
2021-07-14 11:06:00,140.98000,140.99001,140.92999,140.93500,8981
2021-07-14 11:07:00,140.94000,140.98500,140.94000,140.98000,6206
2021-07-14 11:08:00,140.99001,141.06000,140.99001,141.06000,8520
2021-07-14 11:09:00,141.03999,141.07001,141.02000,141.06000,8324
2021-07-14 11:10:00,141.06500,141.10001,141.00999,141.10001,9486
2021-07-14 11:11:00,141.08501,141.12000,141.07001,141.11501,7651
2021-07-14 11:12:00,141.09000,141.14999,141.07001,141.14999,8510
2021-07-14 11:13:00,141.14999,141.22000,141.12000,141.20000,27830
