,open,high,low,close,volume
2021-04-17 04:00:00,1.71661,1.73298,1.67310,1.67707,
2021-04-17 04:30:00,1.67722,1.69668,1.66874,1.69226,
2021-04-17 05:00:00,1.69454,1.69454,1.64567,1.65558,
2021-04-17 05:30:00,1.65641,1.65876,1.62743,1.64153,
2021-04-17 06:00:00,1.64706,1.66106,1.61995,1.65644,
2021-04-17 06:30:00,1.65206,1.66375,1.63802,1.65244,
2021-04-17 07:00:00,1.64484,1.65240,1.59960,1.59960,
2021-04-17 07:30:00,1.59750,1.61149,1.57076,1.59761,
2021-04-17 08:00:00,1.58588,1.61990,1.57353,1.60116,
2021-04-17 08:30:00,1.59722,1.62767,1.58991,1.61977,
2021-04-17 09:00:00,1.62053,1.62501,1.58200,1.60232,
2021-04-17 09:30:00,1.60891,1.64005,1.60891,1.62341,
2021-04-17 10:00:00,1.62649,1.64888,1.61399,1.63198,
2021-04-17 10:30:00,1.63900,1.64117,1.61901,1.62367,
2021-04-17 11:00:00,1.62132,1.62132,1.58629,1.60413,
2021-04-17 11:30:00,1.60449,1.60449,1.55663,1.57329,
2021-04-17 12:00:00,1.55880,1.58427,1.53117,1.58085,
2021-04-17 12:30:00,1.57996,1.60104,1.57312,1.57326,
2021-04-17 13:00:00,1.57577,1.58243,1.56140,1.57859,
2021-04-17 13:30:00,1.57719,1.59009,1.54616,1.54616,
2021-04-17 14:00:00,1.54760,1.58406,1.54194,1.57771,
2021-04-17 14:30:00,1.58060,1.58658,1.57751,1.58299,
2021-04-17 15:00:00,1.58483,1.60165,1.58132,1.58537,
2021-04-17 15:30:00,1.58118,1.58419,1.56873,1.57431,
2021-04-17 16:00:00,1.57878,1.58940,1.57011,1.58156,
2021-04-17 16:30:00,1.58569,1.60569,1.58494,1.60569,
2021-04-17 17:00:00,1.59877,1.59892,1.58757,1.59625,
2021-04-17 17:30:00,1.59632,1.59632,1.58386,1.59091,
2021-04-17 18:00:00,1.58769,1.58769,1.57579,1.57830,
2021-04-17 18:30:00,1.57697,1.58379,1.56577,1.57360,
2021-04-17 19:00:00,1.57833,1.58300,1.55591,1.55609,
2021-04-17 19:30:00,1.56124,1.56124,1.53552,1.53960,
2021-04-17 20:00:00,1.55062,1.56249,1.50411,1.50441,
2021-04-17 20:30:00,1.50028,1.51983,1.47399,1.48057,
2021-04-17 21:00:00,1.48238,1.50047,1.44770,1.48531,
2021-04-17 21:30:00,1.48118,1.50770,1.47251,1.49206,
2021-04-17 22:00:00,1.48500,1.51319,1.47258,1.50500,
2021-04-17 22:30:00,1.49643,1.51037,1.46363,1.46891,
2021-04-17 23:00:00,1.46849,1.48516,1.30796,1.36000,
2021-04-17 23:30:00,1.35555,1.35555,1.17000,1.34973,
2021-04-18 00:00:00,1.33190,1.34733,1.29432,1.32837,
2021-04-18 00:30:00,1.32197,1.35142,1.24340,1.25771,
2021-04-18 01:00:00,1.25253,1.32000,1.25253,1.30326,
2021-04-18 01:30:00,1.30159,1.33874,1.28118,1.33533,
2021-04-18 02:00:00,1.33413,1.36453,1.31642,1.34707,
2021-04-18 02:30:00,1.35137,1.35137,1.30817,1.32395,
2021-04-18 03:00:00,1.32391,1.37623,1.32391,1.37122,
2021-04-18 03:30:00,1.37315,1.38634,1.36400,1.36635,
2021-04-18 04:00:00,1.37510,1.38925,1.33833,1.35203,
2021-04-18 04:30:00,1.35279,1.35493,1.27305,1.27932,
2021-04-18 05:00:00,1.29216,1.30202,1.25613,1.26000,
2021-04-18 05:30:00,1.25132,1.28019,1.23205,1.27883,
2021-04-18 06:00:00,1.27843,1.29744,1.26543,1.28163,
2021-04-18 06:30:00,1.27409,1.29300,1.25788,1.26330,
2021-04-18 07:00:00,1.25235,1.28807,1.25235,1.25825,
2021-04-18 07:30:00,1.27015,1.27015,1.16812,1.18747,
2021-04-18 08:00:00,1.18696,1.22289,1.18413,1.22229,
2021-04-18 08:30:00,1.22192,1.27111,1.20856,1.27111,
2021-04-18 09:00:00,1.26657,1.32031,1.26305,1.31487,
2021-04-18 09:30:00,1.30920,1.32447,1.29052,1.31527,
