,open,high,low,close,volume
2019-09-26 12:00:00,0.24133,0.24134,0.24121,0.24134,
2019-09-26 16:00:00,0.24184,0.24560,0.23858,0.24216,
2019-09-26 20:00:00,0.24216,0.24349,0.23674,0.23982,
2019-09-27 00:00:00,0.23992,0.24449,0.23768,0.24299,
2019-09-27 04:00:00,0.24320,0.24327,0.23652,0.23715,
2019-09-27 08:00:00,0.23741,0.24087,0.23350,0.23718,
2019-09-27 12:00:00,0.23737,0.24044,0.23582,0.23924,
2019-09-27 16:00:00,0.24409,0.24409,0.23986,0.24209,
2019-09-27 20:00:00,0.24216,0.24420,0.24103,0.24156,
2019-09-28 00:00:00,0.24163,0.24237,0.23996,0.24200,
2019-09-28 04:00:00,0.24211,0.24245,0.24046,0.24064,
2019-09-28 08:00:00,0.24030,0.24109,0.23816,0.23983,
2019-09-28 12:00:00,0.23982,0.24344,0.23907,0.24166,
2019-09-28 16:00:00,0.24167,0.24305,0.23951,0.24181,
2019-09-28 20:00:00,0.24163,0.24208,0.24004,0.24016,
2019-09-29 00:00:00,0.24006,0.24019,0.23744,0.23871,
2019-09-29 04:00:00,0.23866,0.23936,0.23661,0.23699,
2019-09-29 08:00:00,0.23719,0.23776,0.23449,0.23650,
2019-09-29 12:00:00,0.23643,0.23923,0.23554,0.23806,
2019-09-29 16:00:00,0.23817,0.24227,0.23794,0.24018,
2019-09-29 20:00:00,0.24021,0.24038,0.23768,0.23872,
2019-09-30 00:00:00,0.23861,0.23930,0.23566,0.23850,
2019-09-30 04:00:00,0.23834,0.26089,0.23805,0.25923,
2019-09-30 08:00:00,0.25874,0.26066,0.25427,0.25724,
2019-09-30 12:00:00,0.25790,0.26024,0.25459,0.25572,
2019-09-30 16:00:00,0.25555,0.25644,0.25043,0.25644,
2019-09-30 20:00:00,0.25690,0.26092,0.25254,0.25703,
2019-10-01 00:00:00,0.25673,0.25915,0.25409,0.25636,
2019-10-01 04:00:00,0.25620,0.25638,0.25327,0.25544,
2019-10-01 08:00:00,0.25533,0.25683,0.25094,0.25325,
2019-10-01 12:00:00,0.25303,0.25430,0.24486,0.24815,
2019-10-01 16:00:00,0.24830,0.25070,0.24688,0.24795,
2019-10-01 20:00:00,0.24788,0.24885,0.24521,0.24562,
2019-10-02 00:00:00,0.24566,0.24660,0.24465,0.24532,
2019-10-02 04:00:00,0.24538,0.24779,0.24431,0.24644,
2019-10-02 08:00:00,0.24655,0.25444,0.24485,0.24930,
2019-10-02 12:00:00,0.24949,0.25225,0.24873,0.25107,
2019-10-02 16:00:00,0.25138,0.25329,0.24925,0.25264,
2019-10-02 20:00:00,0.25264,0.25284,0.24998,0.25019,
2019-10-03 00:00:00,0.25017,0.25092,0.24666,0.24912,
2019-10-03 04:00:00,0.24917,0.24917,0.24591,0.24694,
2019-10-03 08:00:00,0.24692,0.24967,0.24209,0.24328,
2019-10-03 12:00:00,0.24310,0.24621,0.24264,0.24478,
2019-10-03 16:00:00,0.24504,0.24847,0.24428,0.24686,
2019-10-03 20:00:00,0.24683,0.24971,0.24484,0.24786,
2019-10-04 00:00:00,0.24792,0.24979,0.24525,0.24967,
2019-10-04 04:00:00,0.24995,0.25371,0.24789,0.25239,
2019-10-04 08:00:00,0.25248,0.25427,0.25106,0.25295,
2019-10-04 12:00:00,0.25311,0.25625,0.25173,0.25334,
2019-10-04 16:00:00,0.25330,0.25437,0.25097,0.25247,
2019-10-04 20:00:00,0.25239,0.25241,0.25031,0.25204,
2019-10-05 00:00:00,0.25206,0.25478,0.25175,0.25254,
2019-10-05 04:00:00,0.25253,0.25267,0.25043,0.25167,
2019-10-05 08:00:00,0.25168,0.25524,0.25038,0.25522,
2019-10-05 12:00:00,0.25521,0.25620,0.25237,0.25335,
2019-10-05 16:00:00,0.25279,0.25370,0.24701,0.25329,
2019-10-05 20:00:00,0.25328,0.25339,0.25088,0.25202,
2019-10-06 00:00:00,0.25198,0.25500,0.25105,0.25270,
2019-10-06 04:00:00,0.25264,0.25315,0.25087,0.25315,
2019-10-06 08:00:00,0.25332,0.25600,0.25081,0.25444,
2019-10-06 12:00:00,0.25475,0.25627,0.25156,0.25286,
2019-10-06 16:00:00,0.25296,0.25569,0.25208,0.25540,
2019-10-06 20:00:00,0.25545,0.27068,0.25340,0.26743,
2019-10-07 00:00:00,0.26800,0.27022,0.26320,0.26879,
2019-10-07 04:00:00,0.26887,0.27844,0.26666,0.27503,
2019-10-07 08:00:00,0.27517,0.27951,0.27385,0.27872,
2019-10-07 12:00:00,0.27855,0.28065,0.27293,0.27564,
2019-10-07 16:00:00,0.27559,0.27660,0.27311,0.27578,
2019-10-07 20:00:00,0.27584,0.28487,0.27478,0.28152,
2019-10-08 00:00:00,0.28161,0.28263,0.27626,0.27626,
2019-10-08 04:00:00,0.27652,0.27705,0.27322,0.27535,
2019-10-08 08:00:00,0.27493,0.27511,0.27080,0.27302,
2019-10-08 12:00:00,0.27306,0.27935,0.27255,0.27474,
2019-10-08 16:00:00,0.27475,0.27803,0.27312,0.27746,
2019-10-08 20:00:00,0.27748,0.27979,0.27366,0.27366,
2019-10-09 00:00:00,0.27371,0.27889,0.27371,0.27732,
2019-10-09 04:00:00,0.27731,0.28172,0.27608,0.28011,
2019-10-09 08:00:00,0.28007,0.28673,0.27784,0.28070,
2019-10-09 12:00:00,0.28118,0.28243,0.27868,0.28103,
2019-10-09 16:00:00,0.28102,0.28230,0.27934,0.28082,
2019-10-09 20:00:00,0.28098,0.28168,0.27582,0.27698,
2019-10-10 00:00:00,0.27720,0.27832,0.27549,0.27549,
2019-10-10 04:00:00,0.27565,0.27667,0.26495,0.27104,
2019-10-10 08:00:00,0.27105,0.27327,0.26753,0.27254,
2019-10-10 12:00:00,0.27250,0.27342,0.27080,0.27190,
2019-10-10 16:00:00,0.27208,0.27339,0.26942,0.27019,
2019-10-10 20:00:00,0.27101,0.27134,0.26753,0.27111,
2019-10-11 00:00:00,0.27110,0.27478,0.26563,0.26576,
2019-10-11 04:00:00,0.26574,0.26975,0.26472,0.26689,
2019-10-11 08:00:00,0.26695,0.27195,0.26641,0.27072,
2019-10-11 12:00:00,0.27060,0.27112,0.26731,0.26992,
2019-10-11 16:00:00,0.26959,0.27020,0.26676,0.26744,
2019-10-11 20:00:00,0.26735,0.27302,0.26735,0.27132,
2019-10-12 00:00:00,0.27110,0.27702,0.27110,0.27440,
2019-10-12 04:00:00,0.27448,0.27542,0.27106,0.27264,
2019-10-12 08:00:00,0.27239,0.27501,0.27202,0.27202,
2019-10-12 12:00:00,0.27273,0.27365,0.27062,0.27088,
2019-10-12 16:00:00,0.27090,0.27369,0.27090,0.27237,
2019-10-12 20:00:00,0.27236,0.27579,0.27164,0.27448,
2019-10-13 00:00:00,0.27474,0.27883,0.27432,0.27754,
2019-10-13 04:00:00,0.27797,0.28100,0.27627,0.27800,
2019-10-13 08:00:00,0.27822,0.27973,0.27712,0.27968,
2019-10-13 12:00:00,0.27978,0.28130,0.27884,0.28054,
2019-10-13 16:00:00,0.28057,0.28057,0.27420,0.27743,
2019-10-13 20:00:00,0.27726,0.28552,0.27650,0.28322,
2019-10-14 00:00:00,0.28310,0.29298,0.28199,0.28878,
2019-10-14 04:00:00,0.28903,0.29206,0.28790,0.28940,
2019-10-14 08:00:00,0.28886,0.29078,0.28599,0.28892,
2019-10-14 12:00:00,0.28893,0.29404,0.28797,0.29091,
2019-10-14 16:00:00,0.29089,0.29779,0.28874,0.29727,
2019-10-14 20:00:00,0.29755,0.29878,0.29421,0.29548,
2019-10-15 00:00:00,0.29551,0.29684,0.28857,0.28951,
2019-10-15 04:00:00,0.28937,0.29355,0.28809,0.29174,
2019-10-15 08:00:00,0.29149,0.29525,0.28860,0.29182,
2019-10-15 12:00:00,0.29164,0.29189,0.28313,0.28587,
